"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","NHANES 1999-2000 Public Release",9965,9965,NA,"SDDSRVYR"
".","Missing",0,9965,NA,"SDDSRVYR"
"1","Interviewed Only",683,683,NA,"RIDSTATR"
"2","Both Interviewed and MEC examined",9282,9965,NA,"RIDSTATR"
".","Missing",0,9965,NA,"RIDSTATR"
"1","November 1 through April 30",3910,3910,NA,"RIDEXMON"
"2","May 1 through October 31",5372,9282,NA,"RIDEXMON"
".","Missing",683,9965,NA,"RIDEXMON"
"1","Male",4883,4883,NA,"RIAGENDR"
"2","Female",5082,9965,NA,"RIAGENDR"
".","Missing",0,9965,NA,"RIAGENDR"
"0 to 84","Range of Values",9792,9792,NA,"RIDAGEYR"
"85",">= 85 years of age",173,9965,NA,"RIDAGEYR"
".","Missing",0,9965,NA,"RIDAGEYR"
"0 to 1019","Range of Values",9792,9792,NA,"RIDAGEMN"
".","Missing",173,9965,NA,"RIDAGEMN"
"0 to 1019","Range of Values",9141,9141,NA,"RIDAGEEX"
".","Missing",824,9965,NA,"RIDAGEEX"
"1","Mexican American",3393,3393,NA,"RIDRETH1"
"2","Other Hispanic",589,3982,NA,"RIDRETH1"
"3","Non-Hispanic White",3367,7349,NA,"RIDRETH1"
"4","Non-Hispanic Black",2228,9577,NA,"RIDRETH1"
"5","Other Race - Including Multi-Racial",388,9965,NA,"RIDRETH1"
".","Missing",0,9965,NA,"RIDRETH1"
"1","Non-Hispanic White",3423,3423,NA,"RIDRETH2"
"2","Non-Hispanic Black",2273,5696,NA,"RIDRETH2"
"3","Mexican American",3393,9089,NA,"RIDRETH2"
"4","Other Race - Including Multi-Racial",287,9376,NA,"RIDRETH2"
"5","Other Hispanic",589,9965,NA,"RIDRETH2"
".","Missing",0,9965,NA,"RIDRETH2"
"1","Yes",717,717,NA,"DMQMILIT"
"2","No",5004,5721,NA,"DMQMILIT"
"7","Refused",5,5726,NA,"DMQMILIT"
"9","Don't know",5,5731,NA,"DMQMILIT"
".","Missing",4234,9965,NA,"DMQMILIT"
"1","Born in 50 US States or Washington, DC",8069,8069,NA,"DMDBORN"
"2","Born in Mexico",1146,9215,NA,"DMDBORN"
"3","Born Elsewhere",737,9952,NA,"DMDBORN"
"7","Refused",1,9953,NA,"DMDBORN"
"9","Don't Know",1,9954,NA,"DMDBORN"
".","Missing",11,9965,NA,"DMDBORN"
"1","Citizen by birth or naturalization",8663,8663,NA,"DMDCITZN"
"2","Not a citizen of the US",1240,9903,NA,"DMDCITZN"
"7","Refused",30,9933,NA,"DMDCITZN"
"9","Don't know",29,9962,NA,"DMDCITZN"
".","Missing",3,9965,NA,"DMDCITZN"
"1","Less than 1 year",116,116,NA,"DMDYRSUS"
"2","1 yr., less than 5 yrs.",341,457,NA,"DMDYRSUS"
"3","5 yrs., less than 10 yrs.",359,816,NA,"DMDYRSUS"
"4","10 yrs., less than 15 yrs.",256,1072,NA,"DMDYRSUS"
"5","15 yrs., less than 20 yrs.",156,1228,NA,"DMDYRSUS"
"6","20 yrs., less than 30 yrs.",252,1480,NA,"DMDYRSUS"
"7","30 yrs., less than 40 yrs.",174,1654,NA,"DMDYRSUS"
"8","40 yrs., less than 50 yrs.",120,1774,NA,"DMDYRSUS"
"9","50 years or more",63,1837,NA,"DMDYRSUS"
"77","Refused",34,1871,NA,"DMDYRSUS"
"88","Could not determine",1,1872,NA,"DMDYRSUS"
"99","Don't know",26,1898,NA,"DMDYRSUS"
".","Missing",8067,9965,NA,"DMDYRSUS"
"0","Never Attended / Kindergarten Only",210,210,NA,"DMDEDUC3"
"1","1st Grade",202,412,NA,"DMDEDUC3"
"2","2nd Grade",186,598,NA,"DMDEDUC3"
"3","3rd Grade",186,784,NA,"DMDEDUC3"
"4","4th Grade",204,988,NA,"DMDEDUC3"
"5","5th Grade",244,1232,NA,"DMDEDUC3"
"6","6th Grade",318,1550,NA,"DMDEDUC3"
"7","7th Grade",323,1873,NA,"DMDEDUC3"
"8","8th Grade",320,2193,NA,"DMDEDUC3"
