"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"0 to 404655.623","Range of Values",3315,3315,NA,"WTSAF2YR"
".","Missing",0,3315,NA,"WTSAF2YR"
"38 to 584","Range of Values",3110,3110,NA,"LBXGLU"
".","Missing",205,3315,NA,"LBXGLU"
"2.109 to 32.418","Range of Values",3110,3110,NA,"LBDGLUSI"
".","Missing",205,3315,NA,"LBDGLUSI"
"1 to 231.67","Range of Values",3071,3071,NA,"LBXIN"
".","Missing",244,3315,NA,"LBXIN"
"6 to 1390.02","Range of Values",3071,3071,NA,"LBDINSI"
".","Missing",244,3315,NA,"LBDINSI"
"0 to 40","Range of Values",3223,3223,NA,"PHAFSTHR"
".","Missing",92,3315,NA,"PHAFSTHR"
"0 to 59","Range of Values",3223,3223,NA,"PHAFSTMN"
".","Missing",92,3315,NA,"PHAFSTMN"
