"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"0 to 337218.92","Range of Values",3581,3581,NA,"WTSAF2YR"
".","Missing",0,3581,NA,"WTSAF2YR"
"36 to 375","Range of Values",3386,3386,NA,"LBXGLU"
".","Missing",195,3581,NA,"LBXGLU"
"1.998 to 20.816","Range of Values",3386,3386,NA,"LBDGLUSI"
".","Missing",195,3581,NA,"LBDGLUSI"
"0.88 to 320.22","Range of Values",3337,3337,NA,"LBXIN"
".","Missing",244,3581,NA,"LBXIN"
"5.28 to 1921.32","Range of Values",3337,3337,NA,"LBDINSI"
".","Missing",244,3581,NA,"LBDINSI"
"0 to 39","Range of Values",3535,3535,NA,"PHAFSTHR"
".","Missing",46,3581,NA,"PHAFSTHR"
"0 to 59","Range of Values",3535,3535,NA,"PHAFSTMN"
".","Missing",46,3581,NA,"PHAFSTMN"
