"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"0 to 521033.371","Range of Values",3239,3239,NA,"WTSAF2YR"
".","Missing",0,3239,NA,"WTSAF2YR"
"39 to 382","Range of Values",3033,3033,NA,"LBXGLU"
".","Missing",206,3239,NA,"LBXGLU"
"2.165 to 21.205","Range of Values",3033,3033,NA,"LBDGLUSI"
".","Missing",206,3239,NA,"LBDGLUSI"
"0.14 to 647.5","Range of Values",2881,2881,NA,"LBXIN"
".","Missing",358,3239,NA,"LBXIN"
"0.85 to 3885","Range of Values",2881,2881,NA,"LBDINSI"
".","Missing",358,3239,NA,"LBDINSI"
"0 to 36","Range of Values",3167,3167,NA,"PHAFSTHR"
".","Missing",72,3239,NA,"PHAFSTHR"
"0 to 59","Range of Values",3167,3167,NA,"PHAFSTMN"
".","Missing",72,3239,NA,"PHAFSTMN"
