"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"12937.987305 to 395978.46579","Range of Values",2927,2927,NA,"WTSAF2YR"
"0","No Lab Result",402,3329,NA,"WTSAF2YR"
".","Missing",0,3329,NA,"WTSAF2YR"
"51 to 421","Range of Values",3172,3172,NA,"LBXGLU"
".","Missing",157,3329,NA,"LBXGLU"
"2.831 to 23.37","Range of Values",3172,3172,NA,"LBDGLUSI"
".","Missing",157,3329,NA,"LBDGLUSI"
"0 to 34","Range of Values",3291,3291,NA,"PHAFSTHR"
".","Missing",38,3329,NA,"PHAFSTHR"
"0 to 59","Range of Values",3291,3291,NA,"PHAFSTMN"
".","Missing",38,3329,NA,"PHAFSTMN"
