"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",448,448,NA,"LBXHBC"
"2","Negative",6676,7124,NA,"LBXHBC"
"3","Indeterminate",0,7124,NA,"LBXHBC"
".","Missing",897,8021,NA,"LBXHBC"
"1","Positive",33,33,NA,"LBDHBG"
"2","Negative",415,448,NA,"LBDHBG"
"3","Indeterminate",0,448,NA,"LBDHBG"
".","Missing",7573,8021,NA,"LBDHBG"
"1","Positive",19,19,NA,"LBDHD"
"2","Negative",429,448,NA,"LBDHD"
"3","Indeterminate",0,448,NA,"LBDHD"
".","Missing",7573,8021,NA,"LBDHD"
