"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",407,407,NA,"LBXHBC"
"2","Negative",6386,6793,NA,"LBXHBC"
"3","Indeterminate",1,6794,NA,"LBXHBC"
".","Missing",641,7435,NA,"LBXHBC"
"1","Positive",31,31,NA,"LBDHBG"
"2","Negative",375,406,NA,"LBDHBG"
"3","Indeterminate",0,406,NA,"LBDHBG"
".","Missing",7029,7435,NA,"LBDHBG"
"1","Positive",6,6,NA,"LBDHD"
"2","Negative",398,404,NA,"LBDHD"
"3","Indeterminate",0,404,NA,"LBDHD"
".","Missing",7031,7435,NA,"LBDHD"
