"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",78,78,NA,"LBDHCV"
"2","Negative",7278,7356,NA,"LBDHCV"
"5","Indeterminate",37,7393,NA,"LBDHCV"
".","Missing",693,8086,NA,"LBDHCV"
"1","Positive",54,54,NA,"LBXHCR"
"2","Negative",58,112,NA,"LBXHCR"
".","Missing",7974,8086,NA,"LBXHCR"
"1","Genotype 1a",27,27,NA,"LBXHCG"
"2","Genotype 1b",12,39,NA,"LBXHCG"
"3","Genotype 1 other than 1a/1b/or with subtype not determined",0,39,NA,"LBXHCG"
"4","Genotype 2",9,48,NA,"LBXHCG"
"5","Genotype 3",4,52,NA,"LBXHCG"
"6","Genotype 4",0,52,NA,"LBXHCG"
"7","Genotype 5",0,52,NA,"LBXHCG"
"8","Genotype 6",0,52,NA,"LBXHCG"
"9","Genotype undetermined",1,53,NA,"LBXHCG"
".","Missing",8033,8086,NA,"LBXHCG"
