"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",114,114,NA,"LBDHCV"
"2","Negative",7280,7394,NA,"LBDHCV"
"5","Indeterminate",16,7410,NA,"LBDHCV"
".","Missing",722,8132,NA,"LBDHCV"
"1","Positive",88,88,NA,"LBXHCR"
"2","Negative",33,121,NA,"LBXHCR"
".","Missing",8011,8132,NA,"LBXHCR"
"1","Genotype 1a",53,53,NA,"LBXHCG"
"2","Genotype 1b",21,74,NA,"LBXHCG"
"3","Genotype 1 other than 1a/1b/or with subtype not determined",1,75,NA,"LBXHCG"
"4","Genotype 2",7,82,NA,"LBXHCG"
"5","Genotype 3",5,87,NA,"LBXHCG"
"6","Genotype 4",0,87,NA,"LBXHCG"
"7","Genotype 5",0,87,NA,"LBXHCG"
"8","Genotype 6",0,87,NA,"LBXHCG"
"9","Genotype undetermined",1,88,NA,"LBXHCG"
".","Missing",8044,8132,NA,"LBXHCG"
