"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",93,93,NA,"LBDHCV"
"2","Negative",6952,7045,NA,"LBDHCV"
"5","Indeterminate",19,7064,NA,"LBDHCV"
".","Missing",757,7821,NA,"LBDHCV"
"1","Positive",64,64,NA,"LBXHCR"
"2","Negative",33,97,NA,"LBXHCR"
".","Missing",7724,7821,NA,"LBXHCR"
"1","Genotype 1a",42,42,NA,"LBXHCG"
"2","Genotype 1b",14,56,NA,"LBXHCG"
"3","Genotype 1 other than 1a/1b/or with subtype not determined",0,56,NA,"LBXHCG"
"4","Genotype 2",4,60,NA,"LBXHCG"
"5","Genotype 3",2,62,NA,"LBXHCG"
"6","Genotype 4",0,62,NA,"LBXHCG"
"7","Genotype 5",0,62,NA,"LBXHCG"
"8","Genotype 6",0,62,NA,"LBXHCG"
"9","Genotype undetermined",1,63,NA,"LBXHCG"
".","Missing",7758,7821,NA,"LBXHCG"
