"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",67,67,NA,"LBXHCR"
"2","Negative",70,137,NA,"LBXHCR"
"3","Negative Screening HCV Antibody",7490,7627,NA,"LBXHCR"
".","Missing",664,8291,NA,"LBXHCR"
"1","Genotype 1a",47,47,NA,"LBXHCG"
"2","Genotype 1b",10,57,NA,"LBXHCG"
"3","Gen1 other than a/b/not determined",0,57,NA,"LBXHCG"
"4","Genotype 2",4,61,NA,"LBXHCG"
"5","Genotype 3",5,66,NA,"LBXHCG"
"6","Genotype 4",0,66,NA,"LBXHCG"
"7","Genotype 5",0,66,NA,"LBXHCG"
"8","Genotype 6",0,66,NA,"LBXHCG"
"9","Genotype undetermined",1,67,NA,"LBXHCG"
".","Missing",8224,8291,NA,"LBXHCG"
