"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",50,50,NA,"LBXHCR"
"2","Negative",63,113,NA,"LBXHCR"
"3","Negative Screening HCV Antibody",6964,7077,NA,"LBXHCR"
".","Missing",944,8021,NA,"LBXHCR"
"1","Genotype 1a",34,34,NA,"LBXHCG"
"2","Genotype 1b",6,40,NA,"LBXHCG"
"3","Gen1 other than a/b/not determined",0,40,NA,"LBXHCG"
"4","Genotype 2",5,45,NA,"LBXHCG"
"5","Genotype 3",4,49,NA,"LBXHCG"
"6","Genotype 4",0,49,NA,"LBXHCG"
"7","Genotype 5",0,49,NA,"LBXHCG"
"8","Genotype 6",0,49,NA,"LBXHCG"
"9","Genotype undetermined",1,50,NA,"LBXHCG"
".","Missing",7971,8021,NA,"LBXHCG"
