"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",51,51,NA,"LBXHCR"
"2","Negative",98,149,NA,"LBXHCR"
"3","Negative Screening HCV Antibody",6541,6690,NA,"LBXHCR"
".","Missing",745,7435,NA,"LBXHCR"
"1","Positive",49,49,NA,"LBDHCI"
"2","Negative",33,82,NA,"LBDHCI"
"3","Negative Screening HCV Antibody",6541,6623,NA,"LBDHCI"
"4","Positive HCV RNA",51,6674,NA,"LBDHCI"
".","Missing",761,7435,NA,"LBDHCI"
"1","Genotype 1a",25,25,NA,"LBXHCG"
"2","Genotype 1b",7,32,NA,"LBXHCG"
"3","Gen 1 other than a/b/not determined",1,33,NA,"LBXHCG"
"4","Genotype 2",6,39,NA,"LBXHCG"
"5","Genotype 3",6,45,NA,"LBXHCG"
"6","Genotype 4",1,46,NA,"LBXHCG"
"7","Genotype 5",0,46,NA,"LBXHCG"
"8","Genotype 6",1,47,NA,"LBXHCG"
"9","Genotype undetermined",2,49,NA,"LBXHCG"
".","Missing",7386,7435,NA,"LBXHCG"
