"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8935,8935,"","HID010"
"2","No",1900,10835,"HIQ220","HID010"
"7","Refused",3,10838,"HIQ220","HID010"
"9","Don't know",27,10865,"HIQ220","HID010"
".","Missing",174,11039,"","HID010"
"1","Yes",5888,5888,NA,"HID030A"
"2","No",2986,8874,NA,"HID030A"
"7","Refused",9,8883,NA,"HID030A"
"9","Don't know",52,8935,NA,"HID030A"
".","Missing",2104,11039,NA,"HID030A"
"1","Yes",1385,1385,NA,"HID030B"
"2","No",7489,8874,NA,"HID030B"
"7","Refused",9,8883,NA,"HID030B"
"9","Don't know",52,8935,NA,"HID030B"
".","Missing",2104,11039,NA,"HID030B"
"1","Yes",1861,1861,NA,"HID030C"
"2","No",7010,8871,NA,"HID030C"
"7","Refused",9,8880,NA,"HID030C"
"9","Don't know",55,8935,NA,"HID030C"
".","Missing",2104,11039,NA,"HID030C"
"1","Covered by other government insurance",691,691,NA,"HID030D"
"2","Not covered by other government insurance",8180,8871,NA,"HID030D"
"7","Refused",9,8880,NA,"HID030D"
"9","Don't know",55,8935,NA,"HID030D"
".","Missing",2104,11039,NA,"HID030D"
"1","Yes",368,368,NA,"HID030E"
"2","No",8503,8871,NA,"HID030E"
"7","Refused",9,8880,NA,"HID030E"
"9","Don't know",55,8935,NA,"HID030E"
".","Missing",2104,11039,NA,"HID030E"
"1","Yes",6483,6483,NA,"HID040"
"2","No",2148,8631,NA,"HID040"
"7","Refused",4,8635,NA,"HID040"
"9","Don't know",242,8877,NA,"HID040"
".","Missing",2162,11039,NA,"HID040"
"1","Yes",518,518,"","HIQ210"
"2","No",8338,8856,"End of Section","HIQ210"
"7","Refused",2,8858,"End of Section","HIQ210"
"9","Don't know",19,8877,"End of Section","HIQ210"
".","Missing",2162,11039,"","HIQ210"
"1","6 months or less",264,264,NA,"HIQ220"
"2","More than 6 months, but not more than 1 year ago",178,442,NA,"HIQ220"
"3","More than 1 year, but not more than 3 years ago",350,792,NA,"HIQ220"
"4","More than 3 years",356,1148,NA,"HIQ220"
"5","Never",726,1874,NA,"HIQ220"
"7","Refused",3,1877,NA,"HIQ220"
"9","Don't know",53,1930,NA,"HIQ220"
".","Missing",9109,11039,NA,"HIQ220"
