"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8263,8263,"","HID010"
"2","No",1708,9971,"HIQ220","HID010"
"7","Refused",3,9974,"HIQ220","HID010"
"9","Don't know",15,9989,"HIQ220","HID010"
".","Missing",133,10122,"","HID010"
"1","Yes",4790,4790,NA,"HID030A"
"2","No",3435,8225,NA,"HID030A"
"7","Refused",3,8228,NA,"HID030A"
"9","Don't know",35,8263,NA,"HID030A"
".","Missing",1859,10122,NA,"HID030A"
"1","Yes",1483,1483,NA,"HID030B"
"2","No",6742,8225,NA,"HID030B"
"7","Refused",3,8228,NA,"HID030B"
"9","Don't know",35,8263,NA,"HID030B"
".","Missing",1859,10122,NA,"HID030B"
"1","Yes",2101,2101,NA,"HID030C"
"2","No",6124,8225,NA,"HID030C"
"7","Refused",3,8228,NA,"HID030C"
"9","Don't know",35,8263,NA,"HID030C"
".","Missing",1859,10122,NA,"HID030C"
"1","Covered by other government insurance",821,821,NA,"HID030D"
"2","Not covered by other government insurance",7404,8225,NA,"HID030D"
"7","Refused",3,8228,NA,"HID030D"
"9","Don't know",35,8263,NA,"HID030D"
".","Missing",1859,10122,NA,"HID030D"
"1","Yes",216,216,NA,"HID030E"
"2","No",8009,8225,NA,"HID030E"
"7","Refused",3,8228,NA,"HID030E"
"9","Don't know",35,8263,NA,"HID030E"
".","Missing",1859,10122,NA,"HID030E"
"1","Yes",5805,5805,NA,"HID040"
"2","No",2150,7955,NA,"HID040"
"7","Refused",2,7957,NA,"HID040"
"9","Don't know",264,8221,NA,"HID040"
".","Missing",1901,10122,NA,"HID040"
"1","Yes",575,575,"End of Section","HIQ210"
"2","No",7637,8212,"End of Section","HIQ210"
"7","Refused",1,8213,"End of Section","HIQ210"
"9","Don't know",12,8225,"End of Section","HIQ210"
".","Missing",1897,10122,"","HIQ210"
"1","6 months or less",319,319,NA,"HIQ220"
"2","More than 6 months, but not more than 1 year ago",178,497,NA,"HIQ220"
"3","More than 1 year, but not more than 3 years ago",289,786,NA,"HIQ220"
"4","More than 3 years",386,1172,NA,"HIQ220"
"5","Never",497,1669,NA,"HIQ220"
"7","Refused",2,1671,NA,"HIQ220"
"9","Don't know",43,1714,NA,"HIQ220"
".","Missing",8408,10122,NA,"HIQ220"
