"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8400,8400,"","HIQ011"
"2","No",1917,10317,"HIQ065","HIQ011"
"7","Refused",5,10322,"HIQ065","HIQ011"
"9","Don't know",26,10348,"HIQ065","HIQ011"
".","Missing",0,10348,"","HIQ011"
"14","Covered by private insurance",5118,5118,NA,"HIQ031A"
"77","Refused",1,5119,NA,"HIQ031A"
"99","Don't know",25,5144,NA,"HIQ031A"
".","Missing",5204,10348,NA,"HIQ031A"
"15","Covered by Medicare",1193,1193,NA,"HIQ031B"
".","Missing",9155,10348,NA,"HIQ031B"
"16","Covered by Medi-Gap",29,29,NA,"HIQ031C"
".","Missing",10319,10348,NA,"HIQ031C"
"17","Covered by Medicaid",1649,1649,NA,"HIQ031D"
".","Missing",8699,10348,NA,"HIQ031D"
"18","Covered by SCHIP",110,110,NA,"HIQ031E"
".","Missing",10238,10348,NA,"HIQ031E"
"19","Covered by military health care",229,229,NA,"HIQ031F"
".","Missing",10119,10348,NA,"HIQ031F"
"20","Covered by Indian Health Service",15,15,NA,"HIQ031G"
".","Missing",10333,10348,NA,"HIQ031G"
"21","Covered by state-sponsored health plan",621,621,NA,"HIQ031H"
".","Missing",9727,10348,NA,"HIQ031H"
"22","Covered by other government insurance",343,343,NA,"HIQ031I"
".","Missing",10005,10348,NA,"HIQ031I"
"23","Covered by single service plan",261,261,NA,"HIQ031J"
".","Missing",10087,10348,NA,"HIQ031J"
"40","No coverage of any type",5,5,NA,"HIQ031AA"
".","Missing",10343,10348,NA,"HIQ031AA"
"1","Yes",120,120,"","HIQ260"
"2","No",61,181,"HIQ269","HIQ260"
"7","Refused",4,185,"HIQ269","HIQ260"
"9","Don't know",4,189,"HIQ269","HIQ260"
".","Missing",10159,10348,"","HIQ260"
"1","Yes",806,806,NA,"HIQ105"
"2","No",80,886,NA,"HIQ105"
".","Missing",9462,10348,NA,"HIQ105"
"1","Yes",7781,7781,NA,"HIQ270"
"2","No",504,8285,NA,"HIQ270"
"7","Refused",0,8285,NA,"HIQ270"
"9","Don't know",123,8408,NA,"HIQ270"
".","Missing",1940,10348,NA,"HIQ270"
"1","Yes",718,718,NA,"HIQ210"
"2","No",7675,8393,NA,"HIQ210"
"7","Refused",0,8393,NA,"HIQ210"
"9","Don't know",12,8405,NA,"HIQ210"
".","Missing",1943,10348,NA,"HIQ210"
