"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8145,8145,"","HIQ011"
"2","No",1983,10128,"HIQ065","HIQ011"
"7","Refused",7,10135,"HIQ065","HIQ011"
"9","Don't know",14,10149,"HIQ065","HIQ011"
".","Missing",0,10149,"","HIQ011"
"14","Covered by private insurance",4880,4880,NA,"HIQ031A"
"77","Refused",3,4883,NA,"HIQ031A"
"99","Don't know",18,4901,NA,"HIQ031A"
".","Missing",5248,10149,NA,"HIQ031A"
"15","Covered by Medicare",1506,1506,NA,"HIQ031B"
".","Missing",8643,10149,NA,"HIQ031B"
"16","Covered by Medi-Gap",37,37,NA,"HIQ031C"
".","Missing",10112,10149,NA,"HIQ031C"
"17","Covered by Medicaid",1694,1694,NA,"HIQ031D"
".","Missing",8455,10149,NA,"HIQ031D"
"18","Covered by SCHIP",125,125,NA,"HIQ031E"
".","Missing",10024,10149,NA,"HIQ031E"
"19","Covered by military health care",217,217,NA,"HIQ031F"
".","Missing",9932,10149,NA,"HIQ031F"
"20","Covered by Indian Health Service",2,2,NA,"HIQ031G"
".","Missing",10147,10149,NA,"HIQ031G"
"21","Covered by state-sponsored health plan",452,452,NA,"HIQ031H"
".","Missing",9697,10149,NA,"HIQ031H"
"22","Covered by other government insurance",311,311,NA,"HIQ031I"
".","Missing",9838,10149,NA,"HIQ031I"
"23","Covered by single service plan",228,228,NA,"HIQ031J"
".","Missing",9921,10149,NA,"HIQ031J"
"40","No coverage of any type",4,4,NA,"HIQ031AA"
".","Missing",10145,10149,NA,"HIQ031AA"
"1","Yes",148,148,"","HIQ260"
"2","No",90,238,"HIQ269","HIQ260"
"7","Refused",1,239,"HIQ269","HIQ260"
"9","Don't know",9,248,"HIQ269","HIQ260"
".","Missing",9901,10149,"","HIQ260"
"1","Yes",1070,1070,NA,"HIQ105"
"2","No",111,1181,NA,"HIQ105"
".","Missing",8968,10149,NA,"HIQ105"
"1","Yes",7570,7570,NA,"HIQ270"
"2","No",509,8079,NA,"HIQ270"
"7","Refused",2,8081,NA,"HIQ270"
"9","Don't know",80,8161,NA,"HIQ270"
".","Missing",1988,10149,NA,"HIQ270"
"1","Yes",593,593,NA,"HIQ210"
"2","No",7563,8156,NA,"HIQ210"
"7","Refused",0,8156,NA,"HIQ210"
"9","Don't know",2,8158,NA,"HIQ210"
".","Missing",1991,10149,NA,"HIQ210"
