"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8500,8500,"","HIQ011"
"2","No",2022,10522,"HIQ065","HIQ011"
"7","Refused",4,10526,"HIQ065","HIQ011"
"9","Don't know",10,10536,"HIQ065","HIQ011"
".","Missing",1,10537,"","HIQ011"
"14","Covered by private insurance",4894,4894,NA,"HIQ031A"
"77","Refused",0,4894,NA,"HIQ031A"
"99","Don't know",24,4918,NA,"HIQ031A"
".","Missing",5619,10537,NA,"HIQ031A"
"15","Covered by Medicare",1461,1461,NA,"HIQ031B"
".","Missing",9076,10537,NA,"HIQ031B"
"16","Covered by Medi-Gap",24,24,NA,"HIQ031C"
".","Missing",10513,10537,NA,"HIQ031C"
"17","Covered by Medicaid",1828,1828,NA,"HIQ031D"
".","Missing",8709,10537,NA,"HIQ031D"
"18","Covered by SCHIP",92,92,NA,"HIQ031E"
".","Missing",10445,10537,NA,"HIQ031E"
"19","Covered by military health care",321,321,NA,"HIQ031F"
".","Missing",10216,10537,NA,"HIQ031F"
"21","Covered by state-sponsored health plan",738,738,NA,"HIQ031H"
".","Missing",9799,10537,NA,"HIQ031H"
"22","Covered by other government insurance",230,230,NA,"HIQ031I"
".","Missing",10307,10537,NA,"HIQ031I"
"23","Covered by single service plan",295,295,NA,"HIQ031J"
".","Missing",10242,10537,NA,"HIQ031J"
"40","No coverage of any type",0,0,NA,"HIQ031AA"
".","Missing",10537,10537,NA,"HIQ031AA"
"1","Yes",129,129,"","HIQ260"
"2","No",124,253,"HIQ269","HIQ260"
"7","Refused",0,253,"HIQ269","HIQ260"
"9","Don't know",4,257,"HIQ269","HIQ260"
".","Missing",10280,10537,"","HIQ260"
"1","Yes",950,950,NA,"HIQ105"
"2","No",113,1063,NA,"HIQ105"
".","Missing",9474,10537,NA,"HIQ105"
"1","Yes",7984,7984,NA,"HIQ270"
"2","No",458,8442,NA,"HIQ270"
"7","Refused",8,8450,NA,"HIQ270"
"9","Don't know",59,8509,NA,"HIQ270"
".","Missing",2028,10537,NA,"HIQ270"
"1","Yes",510,510,NA,"HIQ210"
"2","No",7996,8506,NA,"HIQ210"
"7","Refused",0,8506,NA,"HIQ210"
"9","Don't know",3,8509,NA,"HIQ210"
".","Missing",2028,10537,NA,"HIQ210"
