"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8033,8033,"","HIQ011"
"2","No",1703,9736,"HIQ065","HIQ011"
"7","Refused",4,9740,"HIQ065","HIQ011"
"9","Don't know",16,9756,"HIQ065","HIQ011"
".","Missing",0,9756,"","HIQ011"
"14","Covered by private insurance",4357,4357,NA,"HIQ031A"
"77","Refused",1,4358,NA,"HIQ031A"
"99","Don't know",26,4384,NA,"HIQ031A"
".","Missing",5372,9756,NA,"HIQ031A"
"15","Covered by Medicare",1206,1206,NA,"HIQ031B"
".","Missing",8550,9756,NA,"HIQ031B"
"16","Covered by Medi-Gap",14,14,NA,"HIQ031C"
".","Missing",9742,9756,NA,"HIQ031C"
"17","Covered by Medicaid",2175,2175,NA,"HIQ031D"
".","Missing",7581,9756,NA,"HIQ031D"
"18","Covered by SCHIP",98,98,NA,"HIQ031E"
".","Missing",9658,9756,NA,"HIQ031E"
"19","Covered by military health care",162,162,NA,"HIQ031F"
".","Missing",9594,9756,NA,"HIQ031F"
"20","Covered by Indian Health Service",11,11,NA,"HIQ031G"
".","Missing",9745,9756,NA,"HIQ031G"
"21","Covered by state-sponsored health plan",592,592,NA,"HIQ031H"
".","Missing",9164,9756,NA,"HIQ031H"
"22","Covered by other government insurance",299,299,NA,"HIQ031I"
".","Missing",9457,9756,NA,"HIQ031I"
"23","Covered by single service plan",119,119,NA,"HIQ031J"
".","Missing",9637,9756,NA,"HIQ031J"
"40","No coverage of any type",3,3,NA,"HIQ031AA"
".","Missing",9753,9756,NA,"HIQ031AA"
"1","Yes",132,132,"","HIQ260"
"2","No",112,244,"HIQ269","HIQ260"
"7","Refused",3,247,"HIQ269","HIQ260"
"9","Don't know",0,247,"HIQ269","HIQ260"
".","Missing",9509,9756,"","HIQ260"
"1","Yes",767,767,NA,"HIQ105"
"2","No",88,855,NA,"HIQ105"
".","Missing",8901,9756,NA,"HIQ105"
"1","Yes",7596,7596,NA,"HIQ270"
"2","No",381,7977,NA,"HIQ270"
"7","Refused",3,7980,NA,"HIQ270"
"9","Don't know",66,8046,NA,"HIQ270"
".","Missing",1710,9756,NA,"HIQ270"
"1","Yes",509,509,NA,"HIQ210"
"2","No",7533,8042,NA,"HIQ210"
"7","Refused",0,8042,NA,"HIQ210"
"9","Don't know",4,8046,NA,"HIQ210"
".","Missing",1710,9756,NA,"HIQ210"
