"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8594,8594,"","HIQ011"
"2","No",1570,10164,"HIQ065","HIQ011"
"7","Refused",3,10167,"HIQ065","HIQ011"
"9","Don't know",8,10175,"HIQ065","HIQ011"
".","Missing",0,10175,"","HIQ011"
"14","Covered by private insurance",4797,4797,NA,"HIQ031A"
"77","Refused",1,4798,NA,"HIQ031A"
"99","Don't know",23,4821,NA,"HIQ031A"
".","Missing",5354,10175,NA,"HIQ031A"
"15","Covered by Medicare",1226,1226,NA,"HIQ031B"
".","Missing",8949,10175,NA,"HIQ031B"
"16","Covered by Medi-Gap",11,11,NA,"HIQ031C"
".","Missing",10164,10175,NA,"HIQ031C"
"17","Covered by Medicaid",2402,2402,NA,"HIQ031D"
".","Missing",7773,10175,NA,"HIQ031D"
"18","Covered by SCHIP",53,53,NA,"HIQ031E"
".","Missing",10122,10175,NA,"HIQ031E"
"19","Covered by military health care",240,240,NA,"HIQ031F"
".","Missing",9935,10175,NA,"HIQ031F"
"20","Covered by Indian Health Service",10,10,NA,"HIQ031G"
".","Missing",10165,10175,NA,"HIQ031G"
"21","Covered by state-sponsored health plan",563,563,NA,"HIQ031H"
".","Missing",9612,10175,NA,"HIQ031H"
"22","Covered by other government insurance",206,206,NA,"HIQ031I"
".","Missing",9969,10175,NA,"HIQ031I"
"23","Covered by single service plan",233,233,NA,"HIQ031J"
".","Missing",9942,10175,NA,"HIQ031J"
"40","No coverage of any type",8,8,NA,"HIQ031AA"
".","Missing",10167,10175,NA,"HIQ031AA"
"1","Yes",142,142,"","HIQ260"
"2","No",111,253,"HIQ269","HIQ260"
"7","Refused",2,255,"HIQ269","HIQ260"
"9","Don't know",5,260,"HIQ269","HIQ260"
".","Missing",9915,10175,"","HIQ260"
"1","Yes",848,848,NA,"HIQ105"
"2","No",86,934,NA,"HIQ105"
".","Missing",9241,10175,NA,"HIQ105"
"1","Yes",8236,8236,NA,"HIQ270"
"2","No",310,8546,NA,"HIQ270"
"7","Refused",4,8550,NA,"HIQ270"
"9","Don't know",53,8603,NA,"HIQ270"
".","Missing",1572,10175,NA,"HIQ270"
"1","Yes",479,479,NA,"HIQ210"
"2","No",8119,8598,NA,"HIQ210"
"7","Refused",0,8598,NA,"HIQ210"
"9","Don't know",5,8603,NA,"HIQ210"
".","Missing",1572,10175,NA,"HIQ210"
