"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8640,8640,"","HIQ011"
"2","No",1312,9952,"HIQ065","HIQ011"
"7","Refused",4,9956,"HIQ065","HIQ011"
"9","Don't know",15,9971,"HIQ065","HIQ011"
".","Missing",0,9971,"","HIQ011"
"14","Covered by private insurance",4424,4424,NA,"HIQ031A"
"77","Refused",4,4428,NA,"HIQ031A"
"99","Don't know",81,4509,NA,"HIQ031A"
".","Missing",5462,9971,NA,"HIQ031A"
"15","Covered by Medicare",1371,1371,NA,"HIQ031B"
".","Missing",8600,9971,NA,"HIQ031B"
"16","Covered by Medi-Gap",48,48,NA,"HIQ031C"
".","Missing",9923,9971,NA,"HIQ031C"
"17","Covered by Medicaid",2384,2384,NA,"HIQ031D"
".","Missing",7587,9971,NA,"HIQ031D"
"18","Covered by SCHIP",97,97,NA,"HIQ031E"
".","Missing",9874,9971,NA,"HIQ031E"
"19","Covered by military health care",331,331,NA,"HIQ031F"
".","Missing",9640,9971,NA,"HIQ031F"
"20","Covered by Indian Health Service",6,6,NA,"HIQ031G"
".","Missing",9965,9971,NA,"HIQ031G"
"21","Covered by state-sponsored health plan",715,715,NA,"HIQ031H"
".","Missing",9256,9971,NA,"HIQ031H"
"22","Covered by other government insurance",366,366,NA,"HIQ031I"
".","Missing",9605,9971,NA,"HIQ031I"
"23","Covered by single service plan",773,773,NA,"HIQ031J"
".","Missing",9198,9971,NA,"HIQ031J"
"40","No coverage of any type",4,4,NA,"HIQ031AA"
".","Missing",9967,9971,NA,"HIQ031AA"
"1","Yes",101,101,"","HIQ260"
"2","No",104,205,"HIQ269","HIQ260"
"7","Refused",0,205,"HIQ269","HIQ260"
"9","Don't know",7,212,"HIQ269","HIQ260"
".","Missing",9759,9971,"","HIQ260"
"1","Yes",966,966,NA,"HIQ105"
"2","No",38,1004,NA,"HIQ105"
".","Missing",8967,9971,NA,"HIQ105"
"1","Yes",8147,8147,NA,"HIQ270"
"2","No",383,8530,NA,"HIQ270"
"7","Refused",3,8533,NA,"HIQ270"
"9","Don't know",117,8650,NA,"HIQ270"
".","Missing",1321,9971,NA,"HIQ270"
"1","Yes",674,674,NA,"HIQ210"
"2","No",7965,8639,NA,"HIQ210"
"7","Refused",0,8639,NA,"HIQ210"
"9","Don't know",11,8650,NA,"HIQ210"
".","Missing",1321,9971,NA,"HIQ210"
