"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",8157,8157,"","HIQ011"
"2","No",1072,9229,"HIQ065","HIQ011"
"7","Refused",7,9236,"HIQ065","HIQ011"
"9","Don't know",18,9254,"HIQ065","HIQ011"
".","Missing",0,9254,"","HIQ011"
"14","Covered by private insurance",4188,4188,NA,"HIQ031A"
"77","Refused",3,4191,NA,"HIQ031A"
"99","Don't know",63,4254,NA,"HIQ031A"
".","Missing",5000,9254,NA,"HIQ031A"
"15","Covered by Medicare",1582,1582,NA,"HIQ031B"
".","Missing",7672,9254,NA,"HIQ031B"
"16","Covered by Medi-Gap",58,58,NA,"HIQ031C"
".","Missing",9196,9254,NA,"HIQ031C"
"17","Covered by Medicaid",2527,2527,NA,"HIQ031D"
".","Missing",6727,9254,NA,"HIQ031D"
"18","Covered by CHIP",93,93,NA,"HIQ031E"
".","Missing",9161,9254,NA,"HIQ031E"
"19","Covered by military health care",295,295,NA,"HIQ031F"
".","Missing",8959,9254,NA,"HIQ031F"
"21","Covered by state-sponsored health plan",533,533,NA,"HIQ031H"
".","Missing",8721,9254,NA,"HIQ031H"
"22","Covered by other government insurance",301,301,NA,"HIQ031I"
".","Missing",8953,9254,NA,"HIQ031I"
"23","Covered by single service plan",708,708,NA,"HIQ031J"
".","Missing",8546,9254,NA,"HIQ031J"
"40","No coverage of any type",1,1,NA,"HIQ031AA"
".","Missing",9253,9254,NA,"HIQ031AA"
"1","Yes",77,77,"","HIQ260"
"2","No",87,164,"HIQ269","HIQ260"
"7","Refused",3,167,"HIQ269","HIQ260"
"9","Don't know",5,172,"HIQ269","HIQ260"
".","Missing",9082,9254,"","HIQ260"
"1","Yes",1081,1081,NA,"HIQ105"
"2","No",60,1141,NA,"HIQ105"
".","Missing",8113,9254,NA,"HIQ105"
"1","Yes",7678,7678,NA,"HIQ270"
"2","No",379,8057,NA,"HIQ270"
"7","Refused",4,8061,NA,"HIQ270"
"9","Don't know",110,8171,NA,"HIQ270"
".","Missing",1083,9254,NA,"HIQ270"
"1","Yes",561,561,NA,"HIQ210"
"2","No",7591,8152,NA,"HIQ210"
"7","Refused",1,8153,NA,"HIQ210"
"9","Don't know",18,8171,NA,"HIQ210"
".","Missing",1083,9254,NA,"HIQ210"
