"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","HIV-1/2 Reactive",17,17,NA,"LBXHIVC"
"2","HIV-1/2 Non-reactive",3644,3661,NA,"LBXHIVC"
".","Missing",265,3926,NA,"LBXHIVC"
"1","Reactive",16,16,NA,"LBXHIV1"
"2","Non-reactive",1,17,NA,"LBXHIV1"
"3","Indeterminate",0,17,NA,"LBXHIV1"
".","Missing",3909,3926,NA,"LBXHIV1"
"1","Reactive",0,0,NA,"LBXHIV2"
"2","Non-reactive",17,17,NA,"LBXHIV2"
"3","Indeterminate",0,17,NA,"LBXHIV2"
".","Missing",3909,3926,NA,"LBXHIV2"
"1","Reactive for HIV-1",0,0,NA,"LBXHNAT"
"2","Non-reactive for HIV-1",2,2,NA,"LBXHNAT"
".","Missing",3924,3926,NA,"LBXHNAT"
