"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",145,145,"","KIQ022"
"2","No",5246,5391,"KIQ042","KIQ022"
"7","Refused",2,5393,"KIQ042","KIQ022"
"9","Don't know",17,5410,"KIQ042","KIQ022"
".","Missing",1,5411,"","KIQ022"
"1","Yes",19,19,NA,"KIQ025"
"2","No",126,145,NA,"KIQ025"
"7","Refused",0,145,NA,"KIQ025"
"9","Don't know",0,145,NA,"KIQ025"
".","Missing",5266,5411,NA,"KIQ025"
"1","Yes",1183,1183,"","KIQ042"
"2","No",3761,4944,"KIQ044","KIQ042"
"7","Refused",3,4947,"KIQ044","KIQ042"
"9","Don't know",6,4953,"KIQ044","KIQ042"
".","Missing",458,5411,"","KIQ042"
"1","Every day,",271,271,NA,"KIQ043"
"2","A few times a week,",256,527,NA,"KIQ043"
"3","A few times a month, or",301,828,NA,"KIQ043"
"4","A few times a year?",351,1179,NA,"KIQ043"
"7","Refused",0,1179,NA,"KIQ043"
"9","Don't know",4,1183,NA,"KIQ043"
".","Missing",4228,5411,NA,"KIQ043"
"1","Yes",1025,1025,"","KIQ044"
"2","No",3919,4944,"KIQ046","KIQ044"
"7","Refused",2,4946,"KIQ046","KIQ044"
"9","Don't know",7,4953,"KIQ046","KIQ044"
".","Missing",458,5411,"","KIQ044"
"1","Every day,",210,210,NA,"KIQ045"
"2","A few times a week,",232,442,NA,"KIQ045"
"3","A few times a month, or",279,721,NA,"KIQ045"
"4","A few times a year?",297,1018,NA,"KIQ045"
"7","Refused",0,1018,NA,"KIQ045"
"9","Don't know",7,1025,NA,"KIQ045"
".","Missing",4386,5411,NA,"KIQ045"
"1","Yes",471,471,"","KIQ046"
"2","No",4474,4945,"KIQ050","KIQ046"
"7","Refused",2,4947,"KIQ050","KIQ046"
"9","Don't know",6,4953,"KIQ050","KIQ046"
".","Missing",458,5411,"","KIQ046"
"1","Every day,",166,166,NA,"KIQ047"
"2","A few times a week,",118,284,NA,"KIQ047"
"3","A few times a month, or",87,371,NA,"KIQ047"
"4","A few times a year?",98,469,NA,"KIQ047"
"7","Refused",0,469,NA,"KIQ047"
"9","Don't know",2,471,NA,"KIQ047"
".","Missing",4940,5411,NA,"KIQ047"
"1","Not at all,",487,487,NA,"KIQ050"
"2","only a little,",564,1051,NA,"KIQ050"
"3","somewhat,",340,1391,NA,"KIQ050"
"4","very much, or",165,1556,NA,"KIQ050"
"5","greatly",110,1666,NA,"KIQ050"
"7","Refused",1,1667,NA,"KIQ050"
"9","Don't know",8,1675,NA,"KIQ050"
".","Missing",3736,5411,NA,"KIQ050"
"1","Not at all,",1149,1149,NA,"KIQ052"
"2","only a little,",288,1437,NA,"KIQ052"
"3","somewhat,",158,1595,NA,"KIQ052"
"4","very much, or",41,1636,NA,"KIQ052"
"5","greatly",33,1669,NA,"KIQ052"
"7","Refused",1,1670,NA,"KIQ052"
"9","Don't know",5,1675,NA,"KIQ052"
".","Missing",3736,5411,NA,"KIQ052"
"1","Sample Person Questionnaire (20-150 Yrs) for all items -- Use Interview Weights for Analysis",2012,2012,NA,"KIDUQUEX"
"2","MEC CAPI Questionnaire (20-59 Yrs) for items KIQ042-KIQ052 -- Use Examination Weights for Analysis",3399,5411,NA,"KIDUQUEX"
".","Missing",0,5411,NA,"KIDUQUEX"
