"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",144,144,"","KIQ022"
"1","Yes",144,144,"","KIQ022"
"2","No",4885,5029,"KIQ042","KIQ022"
"2","No",4885,5029,"KIQ042","KIQ022"
"7","Refused",0,5029,"KIQ042","KIQ022"
"7","Refused",0,5029,"KIQ042","KIQ022"
"9","Don't know",11,5040,"KIQ042","KIQ022"
"9","Don't know",11,5040,"KIQ042","KIQ022"
".","Missing",1,5041,"","KIQ022"
".","Missing",1,5041,"","KIQ022"
"1","Yes",9,9,NA,"KIQ025"
"1","Yes",9,9,NA,"KIQ025"
"2","No",135,144,NA,"KIQ025"
"2","No",135,144,NA,"KIQ025"
"7","Refused",0,144,NA,"KIQ025"
"7","Refused",0,144,NA,"KIQ025"
"9","Don't know",0,144,NA,"KIQ025"
"9","Don't know",0,144,NA,"KIQ025"
".","Missing",4897,5041,NA,"KIQ025"
".","Missing",4897,5041,NA,"KIQ025"
"1","Yes",1131,1131,"","KIQ042"
"1","Yes",1131,1131,"","KIQ042"
"2","No",3424,4555,"KIQ044","KIQ042"
"2","No",3424,4555,"KIQ044","KIQ042"
"7","Refused",1,4556,"KIQ044","KIQ042"
"7","Refused",1,4556,"KIQ044","KIQ042"
"9","Don't know",9,4565,"KIQ044","KIQ042"
"9","Don't know",9,4565,"KIQ044","KIQ042"
".","Missing",476,5041,"","KIQ042"
".","Missing",476,5041,"","KIQ042"
"1","Every day,",270,270,NA,"KIQ043"
"1","Every day,",270,270,NA,"KIQ043"
"2","A few times a week,",261,531,NA,"KIQ043"
"2","A few times a week,",261,531,NA,"KIQ043"
"3","A few times a month, or",279,810,NA,"KIQ043"
"3","A few times a month, or",279,810,NA,"KIQ043"
"4","A few times a year?",320,1130,NA,"KIQ043"
"4","A few times a year?",320,1130,NA,"KIQ043"
"7","Refused",0,1130,NA,"KIQ043"
"7","Refused",0,1130,NA,"KIQ043"
"9","Don't know",1,1131,NA,"KIQ043"
"9","Don't know",1,1131,NA,"KIQ043"
".","Missing",3910,5041,NA,"KIQ043"
".","Missing",3910,5041,NA,"KIQ043"
"1","Yes",1036,1036,"","KIQ044"
"1","Yes",1036,1036,"","KIQ044"
"2","No",3517,4553,"KIQ046","KIQ044"
"2","No",3517,4553,"KIQ046","KIQ044"
"7","Refused",1,4554,"KIQ046","KIQ044"
"7","Refused",1,4554,"KIQ046","KIQ044"
"9","Don't know",10,4564,"KIQ046","KIQ044"
"9","Don't know",10,4564,"KIQ046","KIQ044"
".","Missing",477,5041,"","KIQ044"
".","Missing",477,5041,"","KIQ044"
"1","Every day,",190,190,NA,"KIQ045"
"1","Every day,",190,190,NA,"KIQ045"
"2","A few times a week,",231,421,NA,"KIQ045"
"2","A few times a week,",231,421,NA,"KIQ045"
"3","A few times a month, or",261,682,NA,"KIQ045"
"3","A few times a month, or",261,682,NA,"KIQ045"
"4","A few times a year?",353,1035,NA,"KIQ045"
"4","A few times a year?",353,1035,NA,"KIQ045"
"7","Refused",0,1035,NA,"KIQ045"
"7","Refused",0,1035,NA,"KIQ045"
"9","Don't know",1,1036,NA,"KIQ045"
"9","Don't know",1,1036,NA,"KIQ045"
".","Missing",4005,5041,NA,"KIQ045"
".","Missing",4005,5041,NA,"KIQ045"
"1","Yes",433,433,"","KIQ046"
"1","Yes",433,433,"","KIQ046"
"2","No",4118,4551,"KIQ050","KIQ046"
"2","No",4118,4551,"KIQ050","KIQ046"
"7","Refused",1,4552,"KIQ050","KIQ046"
"7","Refused",1,4552,"KIQ050","KIQ046"
"9","Don't know",12,4564,"KIQ050","KIQ046"
"9","Don't know",12,4564,"KIQ050","KIQ046"
".","Missing",477,5041,"","KIQ046"
".","Missing",477,5041,"","KIQ046"
"1","Every day,",163,163,NA,"KIQ047"
"1","Every day,",163,163,NA,"KIQ047"
"2","A few times a week,",116,279,NA,"KIQ047"
"2","A few times a week,",116,279,NA,"KIQ047"
"3","A few times a month, or",67,346,NA,"KIQ047"
"3","A few times a month, or",67,346,NA,"KIQ047"
"4","A few times a year?",87,433,NA,"KIQ047"
"4","A few times a year?",87,433,NA,"KIQ047"
"7","Refused",0,433,NA,"KIQ047"
"7","Refused",0,433,NA,"KIQ047"
"9","Don't know",0,433,NA,"KIQ047"
"9","Don't know",0,433,NA,"KIQ047"
".","Missing",4608,5041,NA,"KIQ047"
".","Missing",4608,5041,NA,"KIQ047"
"1","Not at all,",491,491,NA,"KIQ050"
"1","Not at all,",491,491,NA,"KIQ050"
"2","only a little,",566,1057,NA,"KIQ050"
"2","only a little,",566,1057,NA,"KIQ050"
"3","somewhat,",321,1378,NA,"KIQ050"
"3","somewhat,",321,1378,NA,"KIQ050"
"4","very much, or",162,1540,NA,"KIQ050"
"4","very much, or",162,1540,NA,"KIQ050"
"5","greatly",96,1636,NA,"KIQ050"
"5","greatly",96,1636,NA,"KIQ050"
"7","Refused",0,1636,NA,"KIQ050"
"7","Refused",0,1636,NA,"KIQ050"
"9","Don't know",2,1638,NA,"KIQ050"
"9","Don't know",2,1638,NA,"KIQ050"
".","Missing",3403,5041,NA,"KIQ050"
".","Missing",3403,5041,NA,"KIQ050"
"1","Not at all,",1136,1136,NA,"KIQ052"
"1","Not at all,",1136,1136,NA,"KIQ052"
"2","only a little,",273,1409,NA,"KIQ052"
"2","only a little,",273,1409,NA,"KIQ052"
"3","somewhat,",148,1557,NA,"KIQ052"
"3","somewhat,",148,1557,NA,"KIQ052"
"4","very much, or",51,1608,NA,"KIQ052"
"4","very much, or",51,1608,NA,"KIQ052"
"5","greatly",29,1637,NA,"KIQ052"
"5","greatly",29,1637,NA,"KIQ052"
"7","Refused",0,1637,NA,"KIQ052"
"7","Refused",0,1637,NA,"KIQ052"
"9","Don't know",1,1638,NA,"KIQ052"
"9","Don't know",1,1638,NA,"KIQ052"
".","Missing",3403,5041,NA,"KIQ052"
".","Missing",3403,5041,NA,"KIQ052"
"1","Household in-person interview:  KIQ022 and KIQ025 (20-150 yrs); KIQ042-KIQ052 (60+ yrs)",2049,2049,NA,"KIDUQUEX"
"1","Household in-person interview:  KIQ022 and KIQ025 (20-150 yrs); KIQ042-KIQ052 (60+ yrs)",2049,2049,NA,"KIDUQUEX"
"2","MEC CAPI:  KIQ042-KIQ052 (20-59 yrs)",2992,5041,NA,"KIDUQUEX"
"2","MEC CAPI:  KIQ042-KIQ052 (20-59 yrs)",2992,5041,NA,"KIDUQUEX"
".","Missing",0,5041,NA,"KIDUQUEX"
".","Missing",0,5041,NA,"KIDUQUEX"
