"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",136,136,"","KIQ022"
"2","No",4829,4965,"KIQ005","KIQ022"
"7","Refused",0,4965,"KIQ005","KIQ022"
"9","Don't know",14,4979,"KIQ005","KIQ022"
".","Missing",0,4979,"","KIQ022"
"1","Yes",17,17,NA,"KIQ025"
"2","No",119,136,NA,"KIQ025"
"7","Refused",0,136,NA,"KIQ025"
"9","Don't know",0,136,NA,"KIQ025"
".","Missing",4843,4979,NA,"KIQ025"
"1","never,",3229,3229,"KIQ042","KIQ005"
"2","less than once a month,",407,3636,"","KIQ005"
"3","a few times a month,",324,3960,"","KIQ005"
"4","a few times a week, or",188,4148,"","KIQ005"
"5","every day and/or night?",192,4340,"","KIQ005"
"7","Refused",0,4340,"KIQ042","KIQ005"
"9","Don't know",8,4348,"KIQ042","KIQ005"
".","Missing",631,4979,"","KIQ005"
"1","drops,",807,807,NA,"KIQ010"
"2","small splashes, or",217,1024,NA,"KIQ010"
"3","more?",78,1102,NA,"KIQ010"
"7","Refused",0,1102,NA,"KIQ010"
"9","Don't know",9,1111,NA,"KIQ010"
".","Missing",3868,4979,NA,"KIQ010"
"1","Yes",992,992,"","KIQ042"
"2","No",3345,4337,"KIQ044","KIQ042"
"7","Refused",0,4337,"KIQ044","KIQ042"
"9","Don't know",9,4346,"KIQ044","KIQ042"
".","Missing",633,4979,"","KIQ042"
"1","less than once a month,",482,482,NA,"KIQ430"
"2","a few times a month,",277,759,NA,"KIQ430"
"3","a few times a week, or",137,896,NA,"KIQ430"
"4","every day and/or night?",92,988,NA,"KIQ430"
"7","Refused",0,988,NA,"KIQ430"
"9","Don't know",4,992,NA,"KIQ430"
".","Missing",3987,4979,NA,"KIQ430"
"1","Yes",887,887,"","KIQ044"
"2","No",3449,4336,"KIQ046","KIQ044"
"7","Refused",0,4336,"KIQ046","KIQ044"
"9","Don't know",10,4346,"KIQ046","KIQ044"
".","Missing",633,4979,"","KIQ044"
"1","less than once a month,",418,418,NA,"KIQ450"
"2","a few times a month,",263,681,NA,"KIQ450"
"3","a few times a week, or",125,806,NA,"KIQ450"
"4","every day and/or night?",78,884,NA,"KIQ450"
"7","Refused",0,884,NA,"KIQ450"
"9","Don't know",2,886,NA,"KIQ450"
".","Missing",4093,4979,NA,"KIQ450"
"1","Yes",289,289,"","KIQ046"
"2","No",4041,4330,"KIQ048A","KIQ046"
"7","Refused",0,4330,"KIQ048A","KIQ046"
"9","Don't know",14,4344,"KIQ048A","KIQ046"
".","Missing",635,4979,"","KIQ046"
"1","less than once a month,",86,86,NA,"KIQ470"
"2","a few times a month,",90,176,NA,"KIQ470"
"3","a few times a week, or",62,238,NA,"KIQ470"
"4","every day and/or night?",49,287,NA,"KIQ470"
"7","Refused",0,287,NA,"KIQ470"
"9","Don't know",2,289,NA,"KIQ470"
".","Missing",4690,4979,NA,"KIQ470"
"1","Not at all,",640,640,NA,"KIQ050"
"2","only a little,",489,1129,NA,"KIQ050"
"3","somewhat,",245,1374,NA,"KIQ050"
"4","very much, or",103,1477,NA,"KIQ050"
"5","greatly",66,1543,NA,"KIQ050"
"7","Refused",0,1543,NA,"KIQ050"
"9","Don't know",3,1546,NA,"KIQ050"
".","Missing",3433,4979,NA,"KIQ050"
"1","Not at all,",1218,1218,NA,"KIQ052"
"2","only a little,",195,1413,NA,"KIQ052"
"3","somewhat,",86,1499,NA,"KIQ052"
"4","very much, or",29,1528,NA,"KIQ052"
"5","greatly",16,1544,NA,"KIQ052"
"7","Refused",0,1544,NA,"KIQ052"
"9","Don't know",2,1546,NA,"KIQ052"
".","Missing",3433,4979,NA,"KIQ052"
"0","0",1519,1519,NA,"KIQ480"
"1","1",1448,2967,NA,"KIQ480"
"2","2",804,3771,NA,"KIQ480"
"3","3",336,4107,NA,"KIQ480"
"4","4",115,4222,NA,"KIQ480"
"5","5 or more?",105,4327,NA,"KIQ480"
"7","Refused",0,4327,NA,"KIQ480"
"9","Don't know",17,4344,NA,"KIQ480"
".","Missing",635,4979,NA,"KIQ480"
