"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",179,179,"","KIQ022"
"2","No",5745,5924,"KIQ026","KIQ022"
"7","Refused",0,5924,"KIQ026","KIQ022"
"9","Don't know",11,5935,"KIQ026","KIQ022"
".","Missing",0,5935,"","KIQ022"
"1","Yes",22,22,NA,"KIQ025"
"2","No",157,179,NA,"KIQ025"
"7","Refused",0,179,NA,"KIQ025"
"9","Don't know",0,179,NA,"KIQ025"
".","Missing",5756,5935,NA,"KIQ025"
"1","Yes",539,539,"","KIQ026"
"2","No",5370,5909,"KIQ005","KIQ026"
"7","Refused",0,5909,"KIQ005","KIQ026"
"9","Don't know",26,5935,"KIQ005","KIQ026"
".","Missing",0,5935,"","KIQ026"
"0 to 80","Range of Values",528,528,NA,"KID028"
"777","Refused",0,528,NA,"KID028"
"999","Don't know",11,539,NA,"KID028"
".","Missing",5396,5935,NA,"KID028"
"1","never,",3677,3677,"KIQ042","KIQ005"
"2","less than once a month,",561,4238,"","KIQ005"
"3","a few times a month,",466,4704,"","KIQ005"
"4","a few times a week, or",228,4932,"","KIQ005"
"5","every day and/or night?",267,5199,"","KIQ005"
"7","Refused",2,5201,"KIQ042","KIQ005"
"9","Don't know",28,5229,"KIQ042","KIQ005"
".","Missing",706,5935,"","KIQ005"
"1","drops,",1051,1051,NA,"KIQ010"
"2","small splashes, or",322,1373,NA,"KIQ010"
"3","more?",141,1514,NA,"KIQ010"
"7","Refused",0,1514,NA,"KIQ010"
"9","Don't know",8,1522,NA,"KIQ010"
".","Missing",4413,5935,NA,"KIQ010"
"1","Yes",1276,1276,"","KIQ042"
"2","No",3937,5213,"KIQ044","KIQ042"
"7","Refused",2,5215,"KIQ044","KIQ042"
"9","Don't know",13,5228,"KIQ044","KIQ042"
".","Missing",707,5935,"","KIQ042"
"1","less than once a month,",594,594,NA,"KIQ430"
"2","a few times a month,",405,999,NA,"KIQ430"
"3","a few times a week, or",151,1150,NA,"KIQ430"
"4","every day and/or night?",119,1269,NA,"KIQ430"
"7","Refused",0,1269,NA,"KIQ430"
"9","Don't know",7,1276,NA,"KIQ430"
".","Missing",4659,5935,NA,"KIQ430"
"1","Yes",1214,1214,"","KIQ044"
"2","No",3991,5205,"KIQ046","KIQ044"
"7","Refused",2,5207,"KIQ046","KIQ044"
"9","Don't know",21,5228,"KIQ046","KIQ044"
".","Missing",707,5935,"","KIQ044"
"1","less than once a month,",521,521,NA,"KIQ450"
"2","a few times a month,",403,924,NA,"KIQ450"
"3","a few times a week, or",173,1097,NA,"KIQ450"
"4","every day and/or night?",112,1209,NA,"KIQ450"
"7","Refused",0,1209,NA,"KIQ450"
"9","Don't know",5,1214,NA,"KIQ450"
".","Missing",4721,5935,NA,"KIQ450"
"1","Yes",398,398,"","KIQ046"
"2","No",4795,5193,"KIQ048A","KIQ046"
"7","Refused",2,5195,"KIQ048A","KIQ046"
"9","Don't know",33,5228,"KIQ048A","KIQ046"
".","Missing",707,5935,"","KIQ046"
"1","less than once a month,",122,122,NA,"KIQ470"
"2","a few times a month,",130,252,NA,"KIQ470"
"3","a few times a week, or",71,323,NA,"KIQ470"
"4","every day and/or night?",71,394,NA,"KIQ470"
"7","Refused",0,394,NA,"KIQ470"
"9","Don't know",4,398,NA,"KIQ470"
".","Missing",5537,5935,NA,"KIQ470"
"1","Not at all,",796,796,NA,"KIQ050"
"2","only a little,",627,1423,NA,"KIQ050"
"3","somewhat,",310,1733,NA,"KIQ050"
"4","very much, or",166,1899,NA,"KIQ050"
"5","greatly",104,2003,NA,"KIQ050"
"7","Refused",0,2003,NA,"KIQ050"
"9","Don't know",13,2016,NA,"KIQ050"
".","Missing",3919,5935,NA,"KIQ050"
"1","Not at all,",1551,1551,NA,"KIQ052"
"2","only a little,",252,1803,NA,"KIQ052"
"3","somewhat,",120,1923,NA,"KIQ052"
"4","very much, or",63,1986,NA,"KIQ052"
"5","greatly",19,2005,NA,"KIQ052"
"7","Refused",0,2005,NA,"KIQ052"
"9","Don't know",11,2016,NA,"KIQ052"
".","Missing",3919,5935,NA,"KIQ052"
"0","0",1765,1765,NA,"KIQ480"
"1","1",1774,3539,NA,"KIQ480"
"2","2",995,4534,NA,"KIQ480"
"3","3",445,4979,NA,"KIQ480"
"4","4",133,5112,NA,"KIQ480"
"5","5 or more?",95,5207,NA,"KIQ480"
"7","Refused",2,5209,NA,"KIQ480"
"9","Don't know",16,5225,NA,"KIQ480"
".","Missing",710,5935,NA,"KIQ480"
