"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",158,158,"","KIQ022"
"2","No",6047,6205,"KIQ026","KIQ022"
"7","Refused",0,6205,"KIQ026","KIQ022"
"9","Don't know",13,6218,"KIQ026","KIQ022"
".","Missing",0,6218,"","KIQ022"
"1","Yes",22,22,NA,"KIQ025"
"2","No",136,158,NA,"KIQ025"
"7","Refused",0,158,NA,"KIQ025"
"9","Don't know",0,158,NA,"KIQ025"
".","Missing",6060,6218,NA,"KIQ025"
"1","Yes",542,542,"","KIQ026"
"2","No",5659,6201,"KIQ005","KIQ026"
"7","Refused",0,6201,"KIQ005","KIQ026"
"9","Don't know",17,6218,"KIQ005","KIQ026"
".","Missing",0,6218,"","KIQ026"
"0 to 80","Range of Values",533,533,NA,"KID028"
"777","Refused",0,533,NA,"KID028"
"999","Don't know",9,542,NA,"KID028"
".","Missing",5676,6218,NA,"KID028"
"1","never,",3810,3810,"KIQ042","KIQ005"
"2","less than once a month,",513,4323,"","KIQ005"
"3","a few times a month,",445,4768,"","KIQ005"
"4","a few times a week, or",247,5015,"","KIQ005"
"5","every day and/or night?",290,5305,"","KIQ005"
"7","Refused",0,5305,"KIQ042","KIQ005"
"9","Don't know",12,5317,"KIQ042","KIQ005"
".","Missing",901,6218,"","KIQ005"
"1","drops,",1046,1046,NA,"KIQ010"
"2","small splashes, or",300,1346,NA,"KIQ010"
"3","more?",145,1491,NA,"KIQ010"
"7","Refused",0,1491,NA,"KIQ010"
"9","Don't know",4,1495,NA,"KIQ010"
".","Missing",4723,6218,NA,"KIQ010"
"1","Yes",1267,1267,"","KIQ042"
"2","No",4035,5302,"KIQ044","KIQ042"
"7","Refused",0,5302,"KIQ044","KIQ042"
"9","Don't know",15,5317,"KIQ044","KIQ042"
".","Missing",901,6218,"","KIQ042"
"1","less than once a month,",614,614,NA,"KIQ430"
"2","a few times a month,",374,988,NA,"KIQ430"
"3","a few times a week, or",154,1142,NA,"KIQ430"
"4","every day and/or night?",124,1266,NA,"KIQ430"
"7","Refused",0,1266,NA,"KIQ430"
"9","Don't know",0,1266,NA,"KIQ430"
".","Missing",4952,6218,NA,"KIQ430"
"1","Yes",1225,1225,"","KIQ044"
"2","No",4081,5306,"KIQ046","KIQ044"
"7","Refused",0,5306,"KIQ046","KIQ044"
"9","Don't know",10,5316,"KIQ046","KIQ044"
".","Missing",902,6218,"","KIQ044"
"1","less than once a month,",566,566,NA,"KIQ450"
"2","a few times a month,",399,965,NA,"KIQ450"
"3","a few times a week, or",157,1122,NA,"KIQ450"
"4","every day and/or night?",101,1223,NA,"KIQ450"
"7","Refused",0,1223,NA,"KIQ450"
"9","Don't know",2,1225,NA,"KIQ450"
".","Missing",4993,6218,NA,"KIQ450"
"1","Yes",386,386,"","KIQ046"
"2","No",4911,5297,"KIQ048A","KIQ046"
"7","Refused",1,5298,"KIQ048A","KIQ046"
"9","Don't know",18,5316,"KIQ048A","KIQ046"
".","Missing",902,6218,"","KIQ046"
"1","less than once a month,",124,124,NA,"KIQ470"
"2","a few times a month,",118,242,NA,"KIQ470"
"3","a few times a week, or",68,310,NA,"KIQ470"
"4","every day and/or night?",75,385,NA,"KIQ470"
"7","Refused",0,385,NA,"KIQ470"
"9","Don't know",1,386,NA,"KIQ470"
".","Missing",5832,6218,NA,"KIQ470"
"1","Not at all,",897,897,NA,"KIQ050"
"2","only a little,",614,1511,NA,"KIQ050"
"3","somewhat,",264,1775,NA,"KIQ050"
"4","very much, or",142,1917,NA,"KIQ050"
"5","greatly",103,2020,NA,"KIQ050"
"7","Refused",0,2020,NA,"KIQ050"
"9","Don't know",4,2024,NA,"KIQ050"
".","Missing",4194,6218,NA,"KIQ050"
"1","Not at all,",1594,1594,NA,"KIQ052"
"2","only a little,",258,1852,NA,"KIQ052"
"3","somewhat,",98,1950,NA,"KIQ052"
"4","very much, or",47,1997,NA,"KIQ052"
"5","greatly",25,2022,NA,"KIQ052"
"7","Refused",0,2022,NA,"KIQ052"
"9","Don't know",2,2024,NA,"KIQ052"
".","Missing",4194,6218,NA,"KIQ052"
"0","0",1665,1665,NA,"KIQ480"
"1","1",2020,3685,NA,"KIQ480"
"2","2",916,4601,NA,"KIQ480"
"3","3",445,5046,NA,"KIQ480"
"4","4",152,5198,NA,"KIQ480"
"5","5 or more?",104,5302,NA,"KIQ480"
"7","Refused",1,5303,NA,"KIQ480"
"9","Don't know",12,5315,NA,"KIQ480"
".","Missing",903,6218,NA,"KIQ480"
