"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",200,200,"","KIQ022"
"2","No",5354,5554,"KIQ026","KIQ022"
"7","Refused",1,5555,"KIQ026","KIQ022"
"9","Don't know",4,5559,"KIQ026","KIQ022"
".","Missing",1,5560,"","KIQ022"
"1","Yes",27,27,NA,"KIQ025"
"2","No",173,200,NA,"KIQ025"
"7","Refused",0,200,NA,"KIQ025"
"9","Don't know",0,200,NA,"KIQ025"
".","Missing",5360,5560,NA,"KIQ025"
"1","Yes",458,458,"","KIQ026"
"2","No",5090,5548,"KIQ005","KIQ026"
"7","Refused",1,5549,"KIQ005","KIQ026"
"9","Don't know",10,5559,"KIQ005","KIQ026"
".","Missing",1,5560,"","KIQ026"
"0 to 50","Range of Values",451,451,NA,"KID028"
"777","Refused",0,451,NA,"KID028"
"999","Don't know",7,458,NA,"KID028"
".","Missing",5102,5560,NA,"KID028"
"1","never,",3433,3433,"KIQ042","KIQ005"
"2","less than once a month,",373,3806,"","KIQ005"
"3","a few times a month,",397,4203,"","KIQ005"
"4","a few times a week, or",194,4397,"","KIQ005"
"5","every day and/or night?",279,4676,"","KIQ005"
"7","Refused",0,4676,"KIQ042","KIQ005"
"9","Don't know",8,4684,"KIQ042","KIQ005"
".","Missing",876,5560,"","KIQ005"
"1","drops,",815,815,NA,"KIQ010"
"2","small splashes, or",278,1093,NA,"KIQ010"
"3","more?",147,1240,NA,"KIQ010"
"7","Refused",0,1240,NA,"KIQ010"
"9","Don't know",3,1243,NA,"KIQ010"
".","Missing",4317,5560,NA,"KIQ010"
"1","Yes",969,969,"","KIQ042"
"2","No",3705,4674,"KIQ044","KIQ042"
"7","Refused",0,4674,"KIQ044","KIQ042"
"9","Don't know",8,4682,"KIQ044","KIQ042"
".","Missing",878,5560,"","KIQ042"
"1","less than once a month,",447,447,NA,"KIQ430"
"2","a few times a month,",283,730,NA,"KIQ430"
"3","a few times a week, or",140,870,NA,"KIQ430"
"4","every day and/or night?",96,966,NA,"KIQ430"
"7","Refused",0,966,NA,"KIQ430"
"9","Don't know",3,969,NA,"KIQ430"
".","Missing",4591,5560,NA,"KIQ430"
"1","Yes",1019,1019,"","KIQ044"
"2","No",3658,4677,"KIQ046","KIQ044"
"7","Refused",0,4677,"KIQ046","KIQ044"
"9","Don't know",5,4682,"KIQ046","KIQ044"
".","Missing",878,5560,"","KIQ044"
"1","less than once a month,",443,443,NA,"KIQ450"
"2","a few times a month,",318,761,NA,"KIQ450"
"3","a few times a week, or",141,902,NA,"KIQ450"
"4","every day and/or night?",115,1017,NA,"KIQ450"
"7","Refused",0,1017,NA,"KIQ450"
"9","Don't know",2,1019,NA,"KIQ450"
".","Missing",4541,5560,NA,"KIQ450"
"1","Yes",351,351,"","KIQ046"
"2","No",4321,4672,"KIQ048A","KIQ046"
"7","Refused",0,4672,"KIQ048A","KIQ046"
"9","Don't know",9,4681,"KIQ048A","KIQ046"
".","Missing",879,5560,"","KIQ046"
"1","less than once a month,",99,99,NA,"KIQ470"
"2","a few times a month,",103,202,NA,"KIQ470"
"3","a few times a week, or",61,263,NA,"KIQ470"
"4","every day and/or night?",86,349,NA,"KIQ470"
"7","Refused",0,349,NA,"KIQ470"
"9","Don't know",1,350,NA,"KIQ470"
".","Missing",5210,5560,NA,"KIQ470"
"1","Not at all,",597,597,NA,"KIQ050"
"2","only a little,",503,1100,NA,"KIQ050"
"3","somewhat,",268,1368,NA,"KIQ050"
"4","very much, or",159,1527,NA,"KIQ050"
"5","greatly",90,1617,NA,"KIQ050"
"7","Refused",0,1617,NA,"KIQ050"
"9","Don't know",0,1617,NA,"KIQ050"
".","Missing",3943,5560,NA,"KIQ050"
"1","Not at all,",1175,1175,NA,"KIQ052"
"2","only a little,",254,1429,NA,"KIQ052"
"3","somewhat,",110,1539,NA,"KIQ052"
"4","very much, or",50,1589,NA,"KIQ052"
"5","greatly",27,1616,NA,"KIQ052"
"7","Refused",0,1616,NA,"KIQ052"
"9","Don't know",1,1617,NA,"KIQ052"
".","Missing",3943,5560,NA,"KIQ052"
"0","0",1480,1480,NA,"KIQ480"
"1","1",1733,3213,NA,"KIQ480"
"2","2",844,4057,NA,"KIQ480"
"3","3",386,4443,NA,"KIQ480"
"4","4",149,4592,NA,"KIQ480"
"5","5 or more?",83,4675,NA,"KIQ480"
"7","Refused",0,4675,NA,"KIQ480"
"9","Don't know",4,4679,NA,"KIQ480"
".","Missing",881,5560,NA,"KIQ480"
