"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",187,187,"","KIQ022"
"2","No",5574,5761,"KIQ026","KIQ022"
"7","Refused",0,5761,"KIQ026","KIQ022"
"9","Don't know",8,5769,"KIQ026","KIQ022"
".","Missing",0,5769,"","KIQ022"
"1","Yes",20,20,NA,"KIQ025"
"2","No",167,187,NA,"KIQ025"
"7","Refused",0,187,NA,"KIQ025"
"9","Don't know",0,187,NA,"KIQ025"
".","Missing",5582,5769,NA,"KIQ025"
"1","Yes",535,535,"","KIQ026"
"2","No",5223,5758,"KIQ005","KIQ026"
"7","Refused",0,5758,"KIQ005","KIQ026"
"9","Don't know",11,5769,"KIQ005","KIQ026"
".","Missing",0,5769,"","KIQ026"
"0 to 24","Range of Values",520,520,NA,"KID028"
"777","Refused",0,520,NA,"KID028"
"999","Don't know",15,535,NA,"KID028"
".","Missing",5234,5769,NA,"KID028"
"1","never,",3513,3513,"KIQ042","KIQ005"
"2","less than once a month,",463,3976,"","KIQ005"
"3","a few times a month,",526,4502,"","KIQ005"
"4","a few times a week, or",293,4795,"","KIQ005"
"5","every day and/or night?",295,5090,"","KIQ005"
"7","Refused",2,5092,"KIQ042","KIQ005"
"9","Don't know",4,5096,"KIQ042","KIQ005"
".","Missing",673,5769,"","KIQ005"
"1","drops,",1057,1057,NA,"KIQ010"
"2","small splashes, or",341,1398,NA,"KIQ010"
"3","more?",170,1568,NA,"KIQ010"
"7","Refused",1,1569,NA,"KIQ010"
"9","Don't know",8,1577,NA,"KIQ010"
".","Missing",4192,5769,NA,"KIQ010"
"1","Yes",1169,1169,"","KIQ042"
"2","No",3920,5089,"KIQ044","KIQ042"
"7","Refused",1,5090,"KIQ044","KIQ042"
"9","Don't know",6,5096,"KIQ044","KIQ042"
".","Missing",673,5769,"","KIQ042"
"1","less than once a month,",523,523,NA,"KIQ430"
"2","a few times a month,",350,873,NA,"KIQ430"
"3","a few times a week, or",188,1061,NA,"KIQ430"
"4","every day and/or night?",105,1166,NA,"KIQ430"
"7","Refused",0,1166,NA,"KIQ430"
"9","Don't know",3,1169,NA,"KIQ430"
".","Missing",4600,5769,NA,"KIQ430"
"1","Yes",1087,1087,"","KIQ044"
"2","No",3998,5085,"KIQ046","KIQ044"
"7","Refused",1,5086,"KIQ046","KIQ044"
"9","Don't know",9,5095,"KIQ046","KIQ044"
".","Missing",674,5769,"","KIQ044"
"1","less than once a month,",459,459,NA,"KIQ450"
"2","a few times a month,",347,806,NA,"KIQ450"
"3","a few times a week, or",163,969,NA,"KIQ450"
"4","every day and/or night?",114,1083,NA,"KIQ450"
"7","Refused",0,1083,NA,"KIQ450"
"9","Don't know",4,1087,NA,"KIQ450"
".","Missing",4682,5769,NA,"KIQ450"
"1","Yes",468,468,"","KIQ046"
"2","No",4620,5088,"KIQ048A","KIQ046"
"7","Refused",1,5089,"KIQ048A","KIQ046"
"9","Don't know",7,5096,"KIQ048A","KIQ046"
".","Missing",673,5769,"","KIQ046"
"1","less than once a month,",134,134,NA,"KIQ470"
"2","a few times a month,",145,279,NA,"KIQ470"
"3","a few times a week, or",100,379,NA,"KIQ470"
"4","every day and/or night?",89,468,NA,"KIQ470"
"7","Refused",0,468,NA,"KIQ470"
"9","Don't know",0,468,NA,"KIQ470"
".","Missing",5301,5769,NA,"KIQ470"
"1","Not at all,",574,574,NA,"KIQ050"
"2","only a little,",636,1210,NA,"KIQ050"
"3","somewhat,",326,1536,NA,"KIQ050"
"4","very much, or",179,1715,NA,"KIQ050"
"5","greatly",114,1829,NA,"KIQ050"
"7","Refused",0,1829,NA,"KIQ050"
"9","Don't know",1,1830,NA,"KIQ050"
".","Missing",3939,5769,NA,"KIQ050"
"1","Not at all,",1201,1201,NA,"KIQ052"
"2","only a little,",394,1595,NA,"KIQ052"
"3","somewhat,",140,1735,NA,"KIQ052"
"4","very much, or",67,1802,NA,"KIQ052"
"5","greatly",27,1829,NA,"KIQ052"
"7","Refused",0,1829,NA,"KIQ052"
"9","Don't know",0,1829,NA,"KIQ052"
".","Missing",3940,5769,NA,"KIQ052"
"0","0",1544,1544,NA,"KIQ480"
"1","1",1941,3485,NA,"KIQ480"
"2","2",947,4432,NA,"KIQ480"
"3","3",431,4863,NA,"KIQ480"
"4","4",123,4986,NA,"KIQ480"
"5","5 or more?",106,5092,NA,"KIQ480"
"7","Refused",0,5092,NA,"KIQ480"
"9","Don't know",3,5095,NA,"KIQ480"
".","Missing",674,5769,NA,"KIQ480"
