"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",239,239,"","KIQ022"
"2","No",5472,5711,"KIQ026","KIQ022"
"7","Refused",0,5711,"KIQ026","KIQ022"
"9","Don't know",8,5719,"KIQ026","KIQ022"
".","Missing",0,5719,"","KIQ022"
"1","Yes",20,20,NA,"KIQ025"
"2","No",218,238,NA,"KIQ025"
"7","Refused",0,238,NA,"KIQ025"
"9","Don't know",1,239,NA,"KIQ025"
".","Missing",5480,5719,NA,"KIQ025"
"1","Yes",606,606,"","KIQ026"
"2","No",5099,5705,"KIQ005","KIQ026"
"7","Refused",0,5705,"KIQ005","KIQ026"
"9","Don't know",14,5719,"KIQ005","KIQ026"
".","Missing",0,5719,"","KIQ026"
"1","Yes",88,88,NA,"KIQ029"
"2","No",517,605,NA,"KIQ029"
"7","Refused",0,605,NA,"KIQ029"
"9","Don't know",1,606,NA,"KIQ029"
".","Missing",5113,5719,NA,"KIQ029"
"1","Never",3400,3400,"KIQ042","KIQ005"
"2","Less than once a month",465,3865,"","KIQ005"
"3","A few times a month",488,4353,"","KIQ005"
"4","A few times a week",293,4646,"","KIQ005"
"5","Every day and/or night",298,4944,"","KIQ005"
"7","Refused",1,4945,"KIQ042","KIQ005"
"9","Don't know",6,4951,"KIQ042","KIQ005"
".","Missing",768,5719,"","KIQ005"
"1","Drops",1092,1092,NA,"KIQ010"
"2","Small splashes",281,1373,NA,"KIQ010"
"3","More",167,1540,NA,"KIQ010"
"7","Refused",0,1540,NA,"KIQ010"
"9","Don't know",4,1544,NA,"KIQ010"
".","Missing",4175,5719,NA,"KIQ010"
"1","Yes",1134,1134,"","KIQ042"
"2","No",3808,4942,"KIQ044","KIQ042"
"7","Refused",0,4942,"KIQ044","KIQ042"
"9","Don't know",9,4951,"KIQ044","KIQ042"
".","Missing",768,5719,"","KIQ042"
"1","Less than once a month",474,474,NA,"KIQ430"
"2","A few times a month",352,826,NA,"KIQ430"
"3","A few times a week",184,1010,NA,"KIQ430"
"4","Every day and/or night",121,1131,NA,"KIQ430"
"7","Refused",0,1131,NA,"KIQ430"
"9","Don't know",3,1134,NA,"KIQ430"
".","Missing",4585,5719,NA,"KIQ430"
"1","Yes",1183,1183,"","KIQ044"
"2","No",3762,4945,"KIQ046","KIQ044"
"7","Refused",0,4945,"KIQ046","KIQ044"
"9","Don't know",6,4951,"KIQ046","KIQ044"
".","Missing",768,5719,"","KIQ044"
"1","Less than once a month",506,506,NA,"KIQ450"
"2","A few times a month",366,872,NA,"KIQ450"
"3","A few times a week",194,1066,NA,"KIQ450"
"4","Every day and/or night",115,1181,NA,"KIQ450"
"7","Refused",0,1181,NA,"KIQ450"
"9","Don't know",2,1183,NA,"KIQ450"
".","Missing",4536,5719,NA,"KIQ450"
"1","Yes",479,479,"","KIQ046"
"2","No",4463,4942,"KIQ048A","KIQ046"
"7","Refused",1,4943,"KIQ048A","KIQ046"
"9","Don't know",8,4951,"KIQ048A","KIQ046"
".","Missing",768,5719,"","KIQ046"
"1","Less than once a month",135,135,NA,"KIQ470"
"2","A few times a month",136,271,NA,"KIQ470"
"3","A few times a week",97,368,NA,"KIQ470"
"4","Every day and/or night",109,477,NA,"KIQ470"
"7","Refused",0,477,NA,"KIQ470"
"9","Don't know",2,479,NA,"KIQ470"
".","Missing",5240,5719,NA,"KIQ470"
"1","Not at all",661,661,NA,"KIQ050"
"2","Only a little",674,1335,NA,"KIQ050"
"3","Somewhat",262,1597,NA,"KIQ050"
"4","Very much",183,1780,NA,"KIQ050"
"5","Greatly",88,1868,NA,"KIQ050"
"7","Refused",2,1870,NA,"KIQ050"
"9","Don't know",2,1872,NA,"KIQ050"
".","Missing",3847,5719,NA,"KIQ050"
"1","Not at all",1254,1254,NA,"KIQ052"
"2","Only a little",372,1626,NA,"KIQ052"
"3","Somewhat",157,1783,NA,"KIQ052"
"4","Very much",59,1842,NA,"KIQ052"
"5","Greatly",26,1868,NA,"KIQ052"
"7","Refused",2,1870,NA,"KIQ052"
"9","Don't know",2,1872,NA,"KIQ052"
".","Missing",3847,5719,NA,"KIQ052"
"0","0",1407,1407,NA,"KIQ480"
"1","1",1850,3257,NA,"KIQ480"
"2","2",928,4185,NA,"KIQ480"
"3","3",486,4671,NA,"KIQ480"
"4","4",165,4836,NA,"KIQ480"
"5","5 or more",108,4944,NA,"KIQ480"
"7","Refused",2,4946,NA,"KIQ480"
"9","Don't know",5,4951,NA,"KIQ480"
".","Missing",768,5719,NA,"KIQ480"
