"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",223,223,"","KIQ022"
"2","No",5337,5560,"KIQ026","KIQ022"
"7","Refused",0,5560,"KIQ026","KIQ022"
"9","Don't know",9,5569,"KIQ026","KIQ022"
".","Missing",0,5569,"","KIQ022"
"1","Yes",19,19,NA,"KIQ025"
"2","No",204,223,NA,"KIQ025"
"7","Refused",0,223,NA,"KIQ025"
"9","Don't know",0,223,NA,"KIQ025"
".","Missing",5346,5569,NA,"KIQ025"
"1","Yes",554,554,"","KIQ026"
"2","No",5004,5558,"KIQ005","KIQ026"
"7","Refused",0,5558,"KIQ005","KIQ026"
"9","Don't know",11,5569,"KIQ005","KIQ026"
".","Missing",0,5569,"","KIQ026"
"1","Yes",96,96,NA,"KIQ029"
"2","No",450,546,NA,"KIQ029"
"7","Refused",0,546,NA,"KIQ029"
"9","Don't know",8,554,NA,"KIQ029"
".","Missing",5015,5569,NA,"KIQ029"
"1","Never",3153,3153,"KIQ042","KIQ005"
"2","Less than once a month",537,3690,"","KIQ005"
"3","A few times a month",497,4187,"","KIQ005"
"4","A few times a week",307,4494,"","KIQ005"
"5","Every day and/or night",373,4867,"","KIQ005"
"7","Refused",4,4871,"KIQ042","KIQ005"
"9","Don't know",8,4879,"KIQ042","KIQ005"
".","Missing",690,5569,"","KIQ005"
"1","Drops",1164,1164,NA,"KIQ010"
"2","Small splashes",366,1530,NA,"KIQ010"
"3","More",180,1710,NA,"KIQ010"
"7","Refused",2,1712,NA,"KIQ010"
"9","Don't know",2,1714,NA,"KIQ010"
".","Missing",3855,5569,NA,"KIQ010"
"1","Yes",1211,1211,"","KIQ042"
"2","No",3655,4866,"KIQ044","KIQ042"
"7","Refused",4,4870,"KIQ044","KIQ042"
"9","Don't know",8,4878,"KIQ044","KIQ042"
".","Missing",691,5569,"","KIQ042"
"1","Less than once a month",497,497,NA,"KIQ430"
"2","A few times a month",353,850,NA,"KIQ430"
"3","A few times a week",197,1047,NA,"KIQ430"
"4","Every day and/or night",160,1207,NA,"KIQ430"
"7","Refused",2,1209,NA,"KIQ430"
"9","Don't know",0,1209,NA,"KIQ430"
".","Missing",4360,5569,NA,"KIQ430"
"1","Yes",1315,1315,"","KIQ044"
"2","No",3549,4864,"KIQ046","KIQ044"
"7","Refused",5,4869,"KIQ046","KIQ044"
"9","Don't know",8,4877,"KIQ046","KIQ044"
".","Missing",692,5569,"","KIQ044"
"1","Less than once a month",583,583,NA,"KIQ450"
"2","A few times a month",391,974,NA,"KIQ450"
"3","A few times a week",212,1186,NA,"KIQ450"
"4","Every day and/or night",127,1313,NA,"KIQ450"
"7","Refused",0,1313,NA,"KIQ450"
"9","Don't know",2,1315,NA,"KIQ450"
".","Missing",4254,5569,NA,"KIQ450"
"1","Yes",476,476,"","KIQ046"
"2","No",4385,4861,"KIQ048A","KIQ046"
"7","Refused",5,4866,"KIQ048A","KIQ046"
"9","Don't know",10,4876,"KIQ048A","KIQ046"
".","Missing",693,5569,"","KIQ046"
"1","Less than once a month",142,142,NA,"KIQ470"
"2","A few times a month",122,264,NA,"KIQ470"
"3","A few times a week",99,363,NA,"KIQ470"
"4","Every day and/or night",112,475,NA,"KIQ470"
"7","Refused",0,475,NA,"KIQ470"
"9","Don't know",1,476,NA,"KIQ470"
".","Missing",5093,5569,NA,"KIQ470"
"1","Not at all",695,695,NA,"KIQ050"
"2","Only a little",656,1351,NA,"KIQ050"
"3","Somewhat",367,1718,NA,"KIQ050"
"4","Very much",164,1882,NA,"KIQ050"
"5","Greatly",148,2030,NA,"KIQ050"
"7","Refused",1,2031,NA,"KIQ050"
"9","Don't know",1,2032,NA,"KIQ050"
".","Missing",3537,5569,NA,"KIQ050"
"1","Not at all",1404,1404,NA,"KIQ052"
"2","Only a little",357,1761,NA,"KIQ052"
"3","Somewhat",170,1931,NA,"KIQ052"
"4","Very much",64,1995,NA,"KIQ052"
"5","Greatly",35,2030,NA,"KIQ052"
"7","Refused",2,2032,NA,"KIQ052"
"9","Don't know",0,2032,NA,"KIQ052"
".","Missing",3537,5569,NA,"KIQ052"
"0","0",1288,1288,NA,"KIQ480"
"1","1",1869,3157,NA,"KIQ480"
"2","2",941,4098,NA,"KIQ480"
"3","3",480,4578,NA,"KIQ480"
"4","4",155,4733,NA,"KIQ480"
"5","5 or more",133,4866,NA,"KIQ480"
"7","Refused",1,4867,NA,"KIQ480"
"9","Don't know",9,4876,NA,"KIQ480"
".","Missing",693,5569,NA,"KIQ480"
