"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",355,355,NA,"LBXHBC"
"2","Negative",7595,7950,NA,"LBXHBC"
".","Missing",1648,9598,NA,"LBXHBC"
"1","Positive",13,13,NA,"LBDHBG"
"2","Negative",7937,7950,NA,"LBDHBG"
".","Missing",1648,9598,NA,"LBDHBG"
"1","Positive",112,112,NA,"LBDHCV"
"2","Negative",7811,7923,NA,"LBDHCV"
"5","Indeterminate",28,7951,NA,"LBDHCV"
".","Missing",1647,9598,NA,"LBDHCV"
"1","Positive",87,87,NA,"LBXHCR"
"2","Negative",41,128,NA,"LBXHCR"
".","Missing",9470,9598,NA,"LBXHCR"
"1","Positive",1,1,NA,"LBDHD"
"2","Negative",7949,7950,NA,"LBDHD"
".","Missing",1648,9598,NA,"LBDHD"
