"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Positive",359,359,NA,"LBXHBC"
"2","Negative",7026,7385,NA,"LBXHBC"
".","Missing",1462,8847,NA,"LBXHBC"
"1","Positive",28,28,NA,"LBDHBG"
"2","Negative",7357,7385,NA,"LBDHBG"
".","Missing",1462,8847,NA,"LBDHBG"
"1","Positive",87,87,NA,"LBDHCV"
"2","Negative",7269,7356,NA,"LBDHCV"
"5","Indeterminate",30,7386,NA,"LBDHCV"
".","Missing",1461,8847,NA,"LBDHCV"
"1","Positive",1,1,NA,"LBDHD"
"2","Negative",7384,7385,NA,"LBDHD"
".","Missing",1462,8847,NA,"LBDHD"
