"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"0 to 523301.61139","Range of Values",3666,3666,NA,"WTSAF2YR"
".","Missing",0,3666,NA,"WTSAF2YR"
"0 to 263680.65678","Range of Values",3666,3666,NA,"WTSAF4YR"
".","Missing",0,3666,NA,"WTSAF4YR"
"38.4 to 686.2","Range of Values",3441,3441,NA,"LBXGLU"
".","Missing",225,3666,NA,"LBXGLU"
"2.133 to 38.122","Range of Values",3441,3441,NA,"LBXGLUSI"
".","Missing",225,3666,NA,"LBXGLUSI"
"0.021 to 6.828","Range of Values",3379,3379,NA,"LBXCPSI"
".","Missing",287,3666,NA,"LBXCPSI"
"0.71 to 377.28","Range of Values",3379,3379,NA,"LBXIN"
".","Missing",287,3666,NA,"LBXIN"
"4.26 to 2263.68","Range of Values",3379,3379,NA,"LBXINSI"
".","Missing",287,3666,NA,"LBXINSI"
