"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"0 to 355659.48","Range of Values",3356,3356,NA,"WTSAF2YR"
".","Missing",0,3356,NA,"WTSAF2YR"
"45.7 to 547.6","Range of Values",3169,3169,NA,"LBXGLU"
".","Missing",187,3356,NA,"LBXGLU"
"2.537 to 30.397","Range of Values",3169,3169,NA,"LBDGLUSI"
".","Missing",187,3356,NA,"LBDGLUSI"
"0.068 to 5.112","Range of Values",3131,3131,NA,"LBXCPSI"
"0.021","Below Limit of Detection",6,3137,NA,"LBXCPSI"
".","Missing",219,3356,NA,"LBXCPSI"
"1 to 205.69","Range of Values",3120,3120,NA,"LBXIN"
"0.71","Below Limit of Detection",16,3136,NA,"LBXIN"
".","Missing",220,3356,NA,"LBXIN"
"6 to 1234.14","Range of Values",3120,3120,NA,"LBDINSI"
"4.26","Below Limit of Detection",16,3136,NA,"LBDINSI"
".","Missing",220,3356,NA,"LBDINSI"
