"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"2.1 to 5.5","Range of Values",6891,6891,NA,"LBXSAL"
".","Missing",554,7445,NA,"LBXSAL"
"21 to 55","Range of Values",6891,6891,NA,"LBDSALSI"
".","Missing",554,7445,NA,"LBDSALSI"
"3 to 1925","Range of Values",6891,6891,NA,"LBXSATSI"
".","Missing",554,7445,NA,"LBXSATSI"
"7 to 279","Range of Values",6891,6891,NA,"LBXSASSI"
".","Missing",554,7445,NA,"LBXSASSI"
"12 to 673","Range of Values",6891,6891,NA,"LBDSAPSI"
".","Missing",554,7445,NA,"LBDSAPSI"
"1 to 122","Range of Values",6891,6891,NA,"LBXSBU"
".","Missing",554,7445,NA,"LBXSBU"
"0.36 to 43.55","Range of Values",6891,6891,NA,"LBDSBUSI"
".","Missing",554,7445,NA,"LBDSBUSI"
"6.9 to 12.4","Range of Values",6891,6891,NA,"LBXSCA"
".","Missing",554,7445,NA,"LBXSCA"
"1.725 to 3.1","Range of Values",6891,6891,NA,"LBDSCASI"
".","Missing",554,7445,NA,"LBDSCASI"
"70 to 598","Range of Values",6891,6891,NA,"LBXSCH"
".","Missing",554,7445,NA,"LBXSCH"
"1.81 to 15.46","Range of Values",6891,6891,NA,"LBDSCHSI"
".","Missing",554,7445,NA,"LBDSCHSI"
"10 to 32","Range of Values",6891,6891,NA,"LBXSC3SI"
".","Missing",554,7445,NA,"LBXSC3SI"
"4 to 1464","Range of Values",6891,6891,NA,"LBXSGTSI"
".","Missing",554,7445,NA,"LBXSGTSI"
"30 to 707","Range of Values",6891,6891,NA,"LBXSGL"
".","Missing",554,7445,NA,"LBXSGL"
"1.665 to 39.246","Range of Values",6891,6891,NA,"LBDSGLSI"
".","Missing",554,7445,NA,"LBDSGLSI"
"7 to 357","Range of Values",6890,6890,NA,"LBXSIR"
".","Missing",555,7445,NA,"LBXSIR"
"1.25 to 63.94","Range of Values",6890,6890,NA,"LBDSIRSI"
".","Missing",555,7445,NA,"LBDSIRSI"
"35 to 587","Range of Values",6890,6890,NA,"LBDSLDSI"
".","Missing",555,7445,NA,"LBDSLDSI"
"1.8 to 7.4","Range of Values",6891,6891,NA,"LBDSPH"
".","Missing",554,7445,NA,"LBDSPH"
"0.58 to 2.39","Range of Values",6891,6891,NA,"LBDSPHSI"
".","Missing",554,7445,NA,"LBDSPHSI"
"0.1 to 4.4","Range of Values",6890,6890,NA,"LBDSTB"
".","Missing",555,7445,NA,"LBDSTB"
"1.71 to 75.24","Range of Values",6890,6890,NA,"LBDSTBSI"
".","Missing",555,7445,NA,"LBDSTBSI"
"5.3 to 10.1","Range of Values",6888,6888,NA,"LBXSTP"
".","Missing",557,7445,NA,"LBXSTP"
"53 to 101","Range of Values",6888,6888,NA,"LBDSTPSI"
".","Missing",557,7445,NA,"LBDSTPSI"
"16 to 3854","Range of Values",6890,6890,NA,"LBXSTR"
".","Missing",555,7445,NA,"LBXSTR"
"0.181 to 43.512","Range of Values",6890,6890,NA,"LBDSTRSI"
".","Missing",555,7445,NA,"LBDSTRSI"
"0.4 to 14.5","Range of Values",6891,6891,NA,"LBXSUA"
".","Missing",554,7445,NA,"LBXSUA"
"23.8 to 862.5","Range of Values",6891,6891,NA,"LBDSUASI"
".","Missing",554,7445,NA,"LBDSUASI"
"0.1 to 12.9","Range of Values",6891,6891,NA,"LBDSCR"
".","Missing",554,7445,NA,"LBDSCR"
"8.84 to 1140.36","Range of Values",6891,6891,NA,"LBDSCRSI"
".","Missing",554,7445,NA,"LBDSCRSI"
"100 to 149","Range of Values",6891,6891,NA,"LBXSNASI"
".","Missing",554,7445,NA,"LBXSNASI"
"2.5 to 6.8","Range of Values",6891,6891,NA,"LBXSKSI"
".","Missing",554,7445,NA,"LBXSKSI"
"72 to 114","Range of Values",6884,6884,NA,"LBXSCLSI"
".","Missing",561,7445,NA,"LBXSCLSI"
"201 to 312","Range of Values",6891,6891,NA,"LBXSOSSI"
".","Missing",554,7445,NA,"LBXSOSSI"
"1.6 to 6.2","Range of Values",6888,6888,NA,"LBXSGB"
".","Missing",557,7445,NA,"LBXSGB"
"16 to 62","Range of Values",6888,6888,NA,"LBDSGBSI"
".","Missing",557,7445,NA,"LBDSGBSI"
"0.14 to 196.1","Range of Values",943,943,NA,"LBXFSH"
".","Missing",6502,7445,NA,"LBXFSH"
"0.14 to 196.1","Range of Values",943,943,NA,"LBDFSHSI"
".","Missing",6502,7445,NA,"LBDFSHSI"
"0.1 to 126.51","Range of Values",951,951,NA,"LBXLH"
".","Missing",6494,7445,NA,"LBXLH"
"0.1 to 126.51","Range of Values",951,951,NA,"LBDLHSI"
".","Missing",6494,7445,NA,"LBDLHSI"
