"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1.9 to 5.5","Range of Values",6492,6492,NA,"LBXSAL"
".","Missing",498,6990,NA,"LBXSAL"
"19 to 55","Range of Values",6492,6492,NA,"LBDSALSI"
".","Missing",498,6990,NA,"LBDSALSI"
"5 to 1997","Range of Values",6489,6489,NA,"LBXSATSI"
".","Missing",501,6990,NA,"LBXSATSI"
"7 to 1672","Range of Values",6488,6488,NA,"LBXSASSI"
".","Missing",502,6990,NA,"LBXSASSI"
"16 to 1378","Range of Values",6492,6492,NA,"LBXSAPSI"
".","Missing",498,6990,NA,"LBXSAPSI"
"2 to 91","Range of Values",6492,6492,NA,"LBXSBU"
".","Missing",498,6990,NA,"LBXSBU"
"0.71 to 32.49","Range of Values",6492,6492,NA,"LBDSBUSI"
".","Missing",498,6990,NA,"LBDSBUSI"
"6.7 to 12.5","Range of Values",6492,6492,NA,"LBXSCA"
".","Missing",498,6990,NA,"LBXSCA"
"1.675 to 3.125","Range of Values",6492,6492,NA,"LBDSCASI"
".","Missing",498,6990,NA,"LBDSCASI"
"72 to 712","Range of Values",6492,6492,NA,"LBXSCH"
".","Missing",498,6990,NA,"LBXSCH"
"1.862 to 18.412","Range of Values",6492,6492,NA,"LBDSCHSI"
".","Missing",498,6990,NA,"LBDSCHSI"
"12 to 35","Range of Values",6492,6492,NA,"LBXSC3SI"
".","Missing",498,6990,NA,"LBXSC3SI"
"3 to 2274","Range of Values",6491,6491,NA,"LBXSGTSI"
".","Missing",499,6990,NA,"LBXSGTSI"
"46 to 512","Range of Values",6492,6492,NA,"LBXSGL"
".","Missing",498,6990,NA,"LBXSGL"
"2.55 to 28.42","Range of Values",6492,6492,NA,"LBDSGLSI"
".","Missing",498,6990,NA,"LBDSGLSI"
"5 to 278","Range of Values",6486,6486,NA,"LBXSIR"
".","Missing",504,6990,NA,"LBXSIR"
"0.9 to 49.8","Range of Values",6486,6486,NA,"LBDSIRSI"
".","Missing",504,6990,NA,"LBDSIRSI"
"39 to 1292","Range of Values",6487,6487,NA,"LBXSLDSI"
".","Missing",503,6990,NA,"LBXSLDSI"
"2.2 to 6.8","Range of Values",6491,6491,NA,"LBXSPH"
".","Missing",499,6990,NA,"LBXSPH"
"0.71 to 2.196","Range of Values",6491,6491,NA,"LBDSPHSI"
".","Missing",499,6990,NA,"LBDSPHSI"
"0.1 to 12.9","Range of Values",6487,6487,NA,"LBXSTB"
".","Missing",503,6990,NA,"LBXSTB"
"1.71 to 220.59","Range of Values",6487,6487,NA,"LBDSTBSI"
".","Missing",503,6990,NA,"LBDSTBSI"
"5.4 to 10","Range of Values",6489,6489,NA,"LBXSTP"
".","Missing",501,6990,NA,"LBXSTP"
"54 to 100","Range of Values",6489,6489,NA,"LBDSTPSI"
".","Missing",501,6990,NA,"LBDSTPSI"
"20 to 5210","Range of Values",6488,6488,NA,"LBXSTR"
".","Missing",502,6990,NA,"LBXSTR"
"0.226 to 58.821","Range of Values",6488,6488,NA,"LBDSTRSI"
".","Missing",502,6990,NA,"LBDSTRSI"
"1.4 to 14.9","Range of Values",6490,6490,NA,"LBXSUA"
".","Missing",500,6990,NA,"LBXSUA"
"83.3 to 886.3","Range of Values",6490,6490,NA,"LBDSUASI"
".","Missing",500,6990,NA,"LBDSUASI"
"0.3 to 13.7","Range of Values",6492,6492,NA,"LBXSCR"
".","Missing",498,6990,NA,"LBXSCR"
"26.52 to 1211.08","Range of Values",6492,6492,NA,"LBDSCRSI"
".","Missing",498,6990,NA,"LBDSCRSI"
"126 to 153","Range of Values",6491,6491,NA,"LBXSNASI"
".","Missing",499,6990,NA,"LBXSNASI"
"2.5 to 5.9","Range of Values",6491,6491,NA,"LBXSKSI"
".","Missing",499,6990,NA,"LBXSKSI"
"86 to 116","Range of Values",6492,6492,NA,"LBXSCLSI"
".","Missing",498,6990,NA,"LBXSCLSI"
"250 to 306","Range of Values",6491,6491,NA,"LBXSOSSI"
".","Missing",499,6990,NA,"LBXSOSSI"
"1.7 to 7.4","Range of Values",6489,6489,NA,"LBXSGB"
".","Missing",501,6990,NA,"LBXSGB"
"17 to 74","Range of Values",6489,6489,NA,"LBDSGBSI"
".","Missing",501,6990,NA,"LBDSGBSI"
