"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1288,1288,"","MCQ010"
"2","No",9172,10460,"MCQ053","MCQ010"
"7","Refused",0,10460,"MCQ053","MCQ010"
"9","Don't know",9,10469,"MCQ053","MCQ010"
".","Missing",1,10470,"","MCQ010"
"1 to 82","Range of Values",1271,1271,NA,"MCQ025"
"85","85 years or older",1,1272,NA,"MCQ025"
"77777","Refused",0,1272,NA,"MCQ025"
"99999","Don't know",16,1288,NA,"MCQ025"
".","Missing",9182,10470,NA,"MCQ025"
"1","Yes",793,793,"","MCQ035"
"2","No",474,1267,"MCQ053","MCQ035"
"7","Refused",0,1267,"MCQ053","MCQ035"
"9","Don't know",21,1288,"MCQ053","MCQ035"
".","Missing",9182,10470,"","MCQ035"
"1","Yes",436,436,"","MCQ040"
"2","No",355,791,"MCQ053","MCQ040"
"7","Refused",0,791,"MCQ053","MCQ040"
"9","Don't know",2,793,"MCQ053","MCQ040"
".","Missing",9677,10470,"","MCQ040"
"1","Yes",153,153,NA,"MCQ050"
"2","No",282,435,NA,"MCQ050"
"7","Refused",0,435,NA,"MCQ050"
"9","Don't know",1,436,NA,"MCQ050"
".","Missing",10034,10470,NA,"MCQ050"
"1","Yes",261,261,NA,"MCQ053"
"2","No",10203,10464,NA,"MCQ053"
"7","Refused",0,10464,NA,"MCQ053"
"9","Don't know",5,10469,NA,"MCQ053"
".","Missing",1,10470,NA,"MCQ053"
"1","Yes",276,276,NA,"MCQ060"
"2","No",3846,4122,NA,"MCQ060"
"7","Refused",0,4122,NA,"MCQ060"
"9","Don't know",10,4132,NA,"MCQ060"
".","Missing",6338,10470,NA,"MCQ060"
"1","Yes",441,441,NA,"MCQ080"
"2","No",4269,4710,NA,"MCQ080"
"7","Refused",0,4710,NA,"MCQ080"
"9","Don't know",6,4716,NA,"MCQ080"
".","Missing",5754,10470,NA,"MCQ080"
"1","Yes",312,312,NA,"MCQ083"
"2","No",2591,2903,NA,"MCQ083"
"7","Refused",0,2903,NA,"MCQ083"
"9","Don't know",5,2908,NA,"MCQ083"
".","Missing",7562,10470,NA,"MCQ083"
"1","Yes",770,770,"","MCQ092"
"2","No",8262,9032,"MCQ120A","MCQ092"
"7","Refused",0,9032,"MCQ120A","MCQ092"
"9","Don't know",108,9140,"MCQ120A","MCQ092"
".","Missing",1330,10470,"","MCQ092"
"1","Before 1972",210,210,NA,"MCD093"
"2","1972 - 1991",272,482,NA,"MCD093"
"3","1992 to present",268,750,NA,"MCD093"
"7","Refused",0,750,NA,"MCD093"
"9","Don't know",20,770,NA,"MCD093"
".","Missing",9700,10470,NA,"MCD093"
"1","Yes",432,432,"","MCQ114"
"2","No",815,1247,"MCQ120A","MCQ114"
