"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1336,1336,"","MCQ010"
"2","No",8290,9626,"MCQ053","MCQ010"
"7","Refused",0,9626,"MCQ053","MCQ010"
"9","Don't know",19,9645,"MCQ053","MCQ010"
".","Missing",0,9645,"","MCQ010"
"1 to 84","Range of Values",1314,1314,NA,"MCQ025"
"85","85 years or older",4,1318,NA,"MCQ025"
"77777","Refused",0,1318,NA,"MCQ025"
"99999","Don't know",17,1335,NA,"MCQ025"
".","Missing",8310,9645,NA,"MCQ025"
"1","Yes",845,845,"","MCQ035"
"2","No",459,1304,"MCQ053","MCQ035"
"7","Refused",0,1304,"MCQ053","MCQ035"
"9","Don't know",32,1336,"MCQ053","MCQ035"
".","Missing",8309,9645,"","MCQ035"
"1","Yes",436,436,"","MCQ040"
"2","No",407,843,"MCQ053","MCQ040"
"7","Refused",0,843,"MCQ053","MCQ040"
"9","Don't know",2,845,"MCQ053","MCQ040"
".","Missing",8800,9645,"","MCQ040"
"1","Yes",147,147,NA,"MCQ050"
"2","No",289,436,NA,"MCQ050"
"7","Refused",0,436,NA,"MCQ050"
"9","Don't know",0,436,NA,"MCQ050"
".","Missing",9209,9645,NA,"MCQ050"
"1","Yes",283,283,NA,"MCQ053"
"2","No",9356,9639,NA,"MCQ053"
"7","Refused",1,9640,NA,"MCQ053"
"9","Don't know",5,9645,NA,"MCQ053"
".","Missing",0,9645,NA,"MCQ053"
"1","Yes",260,260,NA,"MCQ060"
"2","No",3482,3742,NA,"MCQ060"
"7","Refused",0,3742,NA,"MCQ060"
"9","Don't know",9,3751,NA,"MCQ060"
".","Missing",5894,9645,NA,"MCQ060"
"1","Yes",463,463,NA,"MCQ080"
"2","No",3794,4257,NA,"MCQ080"
"7","Refused",0,4257,NA,"MCQ080"
"9","Don't know",6,4263,NA,"MCQ080"
".","Missing",5382,9645,NA,"MCQ080"
"1","Yes",279,279,NA,"MCQ083"
"2","No",2294,2573,NA,"MCQ083"
"7","Refused",0,2573,NA,"MCQ083"
"9","Don't know",6,2579,NA,"MCQ083"
".","Missing",7066,9645,NA,"MCQ083"
"1","Yes",780,780,"","MCQ092"
"2","No",7517,8297,"MCQ120A","MCQ092"
"7","Refused",0,8297,"MCQ120A","MCQ092"
"9","Don't know",81,8378,"MCQ120A","MCQ092"
".","Missing",1267,9645,"","MCQ092"
"1","Before 1972",204,204,NA,"MCD093"
"2","1972 - 1991",261,465,NA,"MCD093"
"3","1992 to present",289,754,NA,"MCD093"
"7","Refused",0,754,NA,"MCD093"
"9","Don't know",26,780,NA,"MCD093"
".","Missing",8865,9645,NA,"MCD093"
"1","Yes",441,441,"","MCQ114"
