"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1389,1389,"","MCQ010"
"2","No",8420,9809,"MCQ053","MCQ010"
"7","Refused",0,9809,"MCQ053","MCQ010"
"9","Don't know",13,9822,"MCQ053","MCQ010"
".","Missing",0,9822,"","MCQ010"
"1 to 83","Range of Values",1377,1377,NA,"MCQ025"
"85","85 years or older",3,1380,NA,"MCQ025"
"77777","Refused",0,1380,NA,"MCQ025"
"99999","Don't know",9,1389,NA,"MCQ025"
".","Missing",8433,9822,NA,"MCQ025"
"1","Yes",873,873,"","MCQ035"
"2","No",492,1365,"MCQ053","MCQ035"
"7","Refused",0,1365,"MCQ053","MCQ035"
"9","Don't know",24,1389,"MCQ053","MCQ035"
".","Missing",8433,9822,"","MCQ035"
"1","Yes",476,476,"","MCQ040"
"2","No",397,873,"MCQ053","MCQ040"
"7","Refused",0,873,"MCQ053","MCQ040"
"9","Don't know",0,873,"MCQ053","MCQ040"
".","Missing",8949,9822,"","MCQ040"
"1","Yes",162,162,NA,"MCQ050"
"2","No",314,476,NA,"MCQ050"
"7","Refused",0,476,NA,"MCQ050"
"9","Don't know",0,476,NA,"MCQ050"
".","Missing",9346,9822,NA,"MCQ050"
"1","Yes",215,215,NA,"MCQ053"
"2","No",9604,9819,NA,"MCQ053"
"7","Refused",0,9819,NA,"MCQ053"
"9","Don't know",3,9822,NA,"MCQ053"
".","Missing",0,9822,NA,"MCQ053"
"1","Yes",1694,1694,NA,"MCQ080"
"2","No",4439,6133,NA,"MCQ080"
"7","Refused",0,6133,NA,"MCQ080"
"9","Don't know",6,6139,NA,"MCQ080"
".","Missing",3683,9822,NA,"MCQ080"
"1","Yes",692,692,"","MCQ092"
"2","No",7638,8330,"MCQ140","MCQ092"
"7","Refused",0,8330,"MCQ140","MCQ092"
"9","Don't know",81,8411,"MCQ140","MCQ092"
".","Missing",1411,9822,"","MCQ092"
"1","Before 1972",162,162,NA,"MCD093"
"2","1972 - 1991",203,365,NA,"MCD093"
"3","1992 to present",307,672,NA,"MCD093"
"7","Refused",0,672,NA,"MCD093"
"9","Don't know",20,692,NA,"MCD093"
".","Missing",9130,9822,NA,"MCD093"
"1","Yes",1388,1388,NA,"MCQ140"
"2","No",8069,9457,NA,"MCQ140"
"7","Refused",0,9457,NA,"MCQ140"
"9","Don't know",6,9463,NA,"MCQ140"
".","Missing",359,9822,NA,"MCQ140"
"1","Yes",40,40,NA,"MCQ149"
"2","No",354,394,NA,"MCQ149"
"7","Refused",1,395,NA,"MCQ149"
"9","Don't know",0,395,NA,"MCQ149"
".","Missing",9427,9822,NA,"MCQ149"
"1","Enter number",3210,3210,"","MCQ150G"
"2","Did not go to school",218,3428,"MCQ160A","MCQ150G"
"7","Refused",0,3428,"MCQ160A","MCQ150G"
"9","Don't know",3,3431,"MCQ160A","MCQ150G"
".","Missing",6391,9822,"","MCQ150G"
"0 to 180","Range of Values",3208,3208,NA,"MCQ150Q"
"77777","Refused",0,3208,NA,"MCQ150Q"
"99999","Don't know",2,3210,NA,"MCQ150Q"
".","Missing",6612,9822,NA,"MCQ150Q"
"1","Yes",1247,1247,"MCQ180A","MCQ160A"
"2","No",3722,4969,"","MCQ160A"
"7","Refused",0,4969,"","MCQ160A"
"9","Don't know",10,4979,"","MCQ160A"
".","Missing",4843,9822,"","MCQ160A"
"1","Yes",180,180,"MCQ180B","MCQ160B"
"2","No",4782,4962,"","MCQ160B"
"7","Refused",0,4962,"","MCQ160B"
"9","Don't know",17,4979,"","MCQ160B"
".","Missing",4843,9822,"","MCQ160B"
"1","Yes",200,200,"MCQ180C","MCQ160C"
"2","No",4753,4953,"","MCQ160C"
"7","Refused",0,4953,"","MCQ160C"
"9","Don't know",26,4979,"","MCQ160C"
".","Missing",4843,9822,"","MCQ160C"
"1","Yes",155,155,"MCQ180D","MCQ160D"
"2","No",4807,4962,"","MCQ160D"
"7","Refused",0,4962,"","MCQ160D"
"9","Don't know",17,4979,"","MCQ160D"
".","Missing",4843,9822,"","MCQ160D"
"1","Yes",215,215,"MCQ180E","MCQ160E"
"2","No",4756,4971,"","MCQ160E"
"7","Refused",0,4971,"","MCQ160E"
"9","Don't know",8,4979,"","MCQ160E"
".","Missing",4843,9822,"","MCQ160E"
"1","Yes",193,193,"MCQ180F","MCQ160F"
"2","No",4777,4970,"","MCQ160F"
"7","Refused",0,4970,"","MCQ160F"
"9","Don't know",9,4979,"","MCQ160F"
".","Missing",4843,9822,"","MCQ160F"
"1","Yes",98,98,"MCQ180G","MCQ160G"
"2","No",4872,4970,"","MCQ160G"
"7","Refused",0,4970,"","MCQ160G"
"9","Don't know",9,4979,"","MCQ160G"
".","Missing",4843,9822,"","MCQ160G"
"1","Yes",290,290,"MCQ170K","MCQ160K"
"2","No",4676,4966,"","MCQ160K"
"7","Refused",0,4966,"","MCQ160K"
"9","Don't know",13,4979,"","MCQ160K"
".","Missing",4843,9822,"","MCQ160K"
"1","Yes",163,163,"MCQ170L","MCQ160L"
"2","No",4805,4968,"","MCQ160L"
"7","Refused",0,4968,"","MCQ160L"
"9","Don't know",11,4979,"","MCQ160L"
".","Missing",4843,9822,"","MCQ160L"
"1","Yes",459,459,"MCQ170M","MCQ160M"
"2","No",4509,4968,"","MCQ160M"
"7","Refused",1,4969,"","MCQ160M"
"9","Don't know",10,4979,"","MCQ160M"
".","Missing",4843,9822,"","MCQ160M"
"1","Yes",141,141,"MCQ180K","MCQ170K"
"2","No",140,281,"MCQ180K","MCQ170K"
"7","Refused",0,281,"MCQ180K","MCQ170K"
"9","Don't know",9,290,"MCQ180K","MCQ170K"
".","Missing",9532,9822,"","MCQ170K"
"1","Yes",91,91,"MCQ180L","MCQ170L"
"2","No",56,147,"MCQ180L","MCQ170L"
"7","Refused",0,147,"MCQ180L","MCQ170L"
"9","Don't know",16,163,"MCQ180L","MCQ170L"
".","Missing",9659,9822,"","MCQ170L"
"1","Yes",329,329,"MCQ180M","MCQ170M"
"2","No",114,443,"MCQ180M","MCQ170M"
"7","Refused",0,443,"MCQ180M","MCQ170M"
"9","Don't know",16,459,"MCQ180M","MCQ170M"
".","Missing",9363,9822,"","MCQ170M"
"1 to 84","Range of Values",1202,1202,"MCQ190","MCQ180A"
"85","85 years or older",19,1221,"MCQ190","MCQ180A"
"77777","Refused",0,1221,"MCQ190","MCQ180A"
"99999","Don't know",26,1247,"MCQ190","MCQ180A"
".","Missing",8575,9822,"MCQ190","MCQ180A"
"0 to 84","Range of Values",169,169,"MCQ160C","MCQ180B"
"85","85 years or older",9,178,"MCQ160C","MCQ180B"
"77777","Refused",0,178,"MCQ160C","MCQ180B"
"99999","Don't know",2,180,"MCQ160C","MCQ180B"
".","Missing",9642,9822,"MCQ160C","MCQ180B"
"3 to 82","Range of Values",187,187,"MCQ160D","MCQ180C"
"85","85 years or older",8,195,"MCQ160D","MCQ180C"
"77777","Refused",0,195,"MCQ160D","MCQ180C"
"99999","Don't know",5,200,"MCQ160D","MCQ180C"
".","Missing",9622,9822,"MCQ160D","MCQ180C"
"7 to 84","Range of Values",151,151,"MCQ160E","MCQ180D"
"85","85 years or older",2,153,"MCQ160E","MCQ180D"
"77777","Refused",0,153,"MCQ160E","MCQ180D"
"99999","Don't know",2,155,"MCQ160E","MCQ180D"
".","Missing",9667,9822,"MCQ160E","MCQ180D"
"2 to 84","Range of Values",197,197,"MCQ160F","MCQ180E"
"85","85 years or older",13,210,"MCQ160F","MCQ180E"
"77777","Refused",0,210,"MCQ160F","MCQ180E"
"99999","Don't know",5,215,"MCQ160F","MCQ180E"
".","Missing",9607,9822,"MCQ160F","MCQ180E"
"4 to 84","Range of Values",177,177,"MCQ160G","MCQ180F"
"85","85 years or older",9,186,"MCQ160G","MCQ180F"
"77777","Refused",0,186,"MCQ160G","MCQ180F"
"99999","Don't know",7,193,"MCQ160G","MCQ180F"
".","Missing",9629,9822,"MCQ160G","MCQ180F"
"4 to 83","Range of Values",93,93,"MCQ160J","MCQ180G"
