"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1385,1385,"","MCQ010"
"2","No",8274,9659,"MCQ053","MCQ010"
"7","Refused",1,9660,"MCQ053","MCQ010"
"9","Don't know",6,9666,"MCQ053","MCQ010"
".","Missing",0,9666,"","MCQ010"
"1 to 79","Range of Values",1358,1358,NA,"MCQ025"
"80","80 years or older",6,1364,NA,"MCQ025"
"77777","Refused",0,1364,NA,"MCQ025"
"99999","Don't know",19,1383,NA,"MCQ025"
".","Missing",8283,9666,NA,"MCQ025"
"1","Yes",835,835,"","MCQ035"
"2","No",523,1358,"MCQ053","MCQ035"
"7","Refused",0,1358,"MCQ053","MCQ035"
"9","Don't know",27,1385,"MCQ053","MCQ035"
".","Missing",8281,9666,"","MCQ035"
"1","Yes",440,440,"","MCQ040"
"2","No",394,834,"MCQ051","MCQ040"
"7","Refused",0,834,"MCQ051","MCQ040"
"9","Don't know",1,835,"MCQ051","MCQ040"
".","Missing",8831,9666,"","MCQ040"
"1","Yes",147,147,NA,"MCQ050"
"2","No",293,440,NA,"MCQ050"
"7","Refused",0,440,NA,"MCQ050"
"9","Don't know",0,440,NA,"MCQ050"
".","Missing",9226,9666,NA,"MCQ050"
"1","Yes",581,581,NA,"MCQ051"
"2","No",253,834,NA,"MCQ051"
"7","Refused",0,834,NA,"MCQ051"
"9","Don't know",1,835,NA,"MCQ051"
".","Missing",8831,9666,NA,"MCQ051"
"1","Yes",290,290,NA,"MCQ053"
"2","No",9368,9658,NA,"MCQ053"
"7","Refused",1,9659,NA,"MCQ053"
"9","Don't know",7,9666,NA,"MCQ053"
".","Missing",0,9666,NA,"MCQ053"
"1","Yes",2058,2058,NA,"MCQ080"
"2","No",4482,6540,NA,"MCQ080"
"7","Refused",1,6541,NA,"MCQ080"
"9","Don't know",5,6546,NA,"MCQ080"
".","Missing",3120,9666,NA,"MCQ080"
"1","Yes",824,824,"","MCQ092"
"2","No",7516,8340,"MCQ140","MCQ092"
"7","Refused",0,8340,"MCQ140","MCQ092"
"9","Don't know",95,8435,"MCQ140","MCQ092"
".","Missing",1231,9666,"","MCQ092"
"1","Before 1972",182,182,NA,"MCD093"
"2","1972 - 1991",226,408,NA,"MCD093"
"3","1992 to present",394,802,NA,"MCD093"
"7","Refused",0,802,NA,"MCD093"
"9","Don't know",22,824,NA,"MCD093"
".","Missing",8842,9666,NA,"MCD093"
"1","Yes",1565,1565,NA,"MCQ140"
"2","No",7787,9352,NA,"MCQ140"
"7","Refused",0,9352,NA,"MCQ140"
"9","Don't know",8,9360,NA,"MCQ140"
".","Missing",306,9666,NA,"MCQ140"
"1","Yes",41,41,NA,"MCQ149"
"2","No",384,425,NA,"MCQ149"
"7","Refused",3,428,NA,"MCQ149"
"9","Don't know",0,428,NA,"MCQ149"
".","Missing",9238,9666,NA,"MCQ149"
"1","Enter number",2367,2367,"","MCQ150G"
"2","Did not go to school",128,2495,"MCQ160A","MCQ150G"
"7","Refused",0,2495,"MCQ160A","MCQ150G"
"9","Don't know",5,2500,"MCQ160A","MCQ150G"
".","Missing",7166,9666,"","MCQ150G"
"0 to 100","Range of Values",2364,2364,NA,"MCQ150Q"
"77777","Refused",0,2364,NA,"MCQ150Q"
"99999","Don't know",3,2367,NA,"MCQ150Q"
".","Missing",7299,9666,NA,"MCQ150Q"
"1","Yes",1755,1755,"","MCQ160A"
"2","No",4170,5925,"MCQ160N","MCQ160A"
"7","Refused",0,5925,"MCQ160N","MCQ160A"
"9","Don't know",10,5935,"MCQ160N","MCQ160A"
".","Missing",3731,9666,"","MCQ160A"
"1 to 79","Range of Values",1680,1680,NA,"MCQ180A"
"80","80 years or older",48,1728,NA,"MCQ180A"
"77777","Refused",0,1728,NA,"MCQ180A"
"99999","Don't know",27,1755,NA,"MCQ180A"
".","Missing",7911,9666,NA,"MCQ180A"
"1","Rheumatoid arthritis",346,346,NA,"MCQ190"
"2","Osteoarthritis",531,877,NA,"MCQ190"
"3","Other",219,1096,NA,"MCQ190"
"7","Refused",1,1097,NA,"MCQ190"
"9","Don't know",658,1755,NA,"MCQ190"
".","Missing",7911,9666,NA,"MCQ190"
"1","Yes",299,299,"","MCQ160N"
"2","No",5628,5927,"MCQ160B","MCQ160N"
"7","Refused",0,5927,"MCQ160B","MCQ160N"
"9","Don't know",8,5935,"MCQ160B","MCQ160N"
".","Missing",3731,9666,"","MCQ160N"
"3 to 79","Range of Values",282,282,NA,"MCQ180N"
"80","80 years or older",15,297,NA,"MCQ180N"
"77777","Refused",0,297,NA,"MCQ180N"
"99999","Don't know",2,299,NA,"MCQ180N"
".","Missing",9367,9666,NA,"MCQ180N"
"1","Yes",217,217,"","MCQ160B"
"2","No",5693,5910,"MCQ160C","MCQ160B"
"7","Refused",0,5910,"MCQ160C","MCQ160B"
"9","Don't know",25,5935,"MCQ160C","MCQ160B"
".","Missing",3731,9666,"","MCQ160B"
"1 to 79","Range of Values",193,193,NA,"MCQ180B"
"80","80 years or older",17,210,NA,"MCQ180B"
"77777","Refused",0,210,NA,"MCQ180B"
"99999","Don't know",7,217,NA,"MCQ180B"
".","Missing",9449,9666,NA,"MCQ180B"
"1","Yes",253,253,"","MCQ160C"
"2","No",5653,5906,"MCQ160D","MCQ160C"
"7","Refused",0,5906,"MCQ160D","MCQ160C"
"9","Don't know",29,5935,"MCQ160D","MCQ160C"
".","Missing",3731,9666,"","MCQ160C"
"1 to 79","Range of Values",235,235,NA,"MCQ180C"
"80","80 years or older",12,247,NA,"MCQ180C"
"77777","Refused",0,247,NA,"MCQ180C"
"99999","Don't know",6,253,NA,"MCQ180C"
".","Missing",9413,9666,NA,"MCQ180C"
"1","Yes",164,164,"","MCQ160D"
"2","No",5749,5913,"MCQ160E","MCQ160D"
"7","Refused",0,5913,"MCQ160E","MCQ160D"
"9","Don't know",22,5935,"MCQ160E","MCQ160D"
".","Missing",3731,9666,"","MCQ160D"
"6 to 79","Range of Values",154,154,NA,"MCQ180D"
"80","80 years or older",7,161,NA,"MCQ180D"
"77777","Refused",0,161,NA,"MCQ180D"
"99999","Don't know",3,164,NA,"MCQ180D"
".","Missing",9502,9666,NA,"MCQ180D"
"1","Yes",282,282,"","MCQ160E"
"2","No",5642,5924,"MCQ160F","MCQ160E"
"7","Refused",0,5924,"MCQ160F","MCQ160E"
"9","Don't know",11,5935,"MCQ160F","MCQ160E"
".","Missing",3731,9666,"","MCQ160E"
"4 to 79","Range of Values",263,263,NA,"MCQ180E"
