"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1451,1451,"","MCQ010"
"2","No",8641,10092,"MCQ053","MCQ010"
"7","Refused",1,10093,"MCQ053","MCQ010"
"9","Don't know",16,10109,"MCQ053","MCQ010"
".","Missing",0,10109,"","MCQ010"
"1 to 78","Range of Values",1433,1433,NA,"MCQ025"
"80","80 years or older",6,1439,NA,"MCQ025"
"77777","Refused",0,1439,NA,"MCQ025"
"99999","Don't know",12,1451,NA,"MCQ025"
".","Missing",8658,10109,NA,"MCQ025"
"1","Yes",873,873,"","MCQ035"
"2","No",548,1421,"MCQ053","MCQ035"
"7","Refused",0,1421,"MCQ053","MCQ035"
"9","Don't know",30,1451,"MCQ053","MCQ035"
".","Missing",8658,10109,"","MCQ035"
"1","Yes",435,435,"","MCQ040"
"2","No",436,871,"MCQ051","MCQ040"
"7","Refused",0,871,"MCQ051","MCQ040"
"9","Don't know",2,873,"MCQ051","MCQ040"
".","Missing",9236,10109,"","MCQ040"
"1","Yes",160,160,NA,"MCQ050"
"2","No",275,435,NA,"MCQ050"
"7","Refused",0,435,NA,"MCQ050"
"9","Don't know",0,435,NA,"MCQ050"
".","Missing",9674,10109,NA,"MCQ050"
"1","Yes",629,629,NA,"MCQ051"
"2","No",244,873,NA,"MCQ051"
"7","Refused",0,873,NA,"MCQ051"
"9","Don't know",0,873,NA,"MCQ051"
".","Missing",9236,10109,NA,"MCQ051"
"1","Yes",335,335,NA,"MCQ053"
"2","No",9767,10102,NA,"MCQ053"
"7","Refused",1,10103,NA,"MCQ053"
"9","Don't know",6,10109,NA,"MCQ053"
".","Missing",0,10109,NA,"MCQ053"
"1","Yes",191,191,NA,"MCQ070"
"2","No",6695,6886,NA,"MCQ070"
"7","Refused",0,6886,NA,"MCQ070"
"9","Don't know",3,6889,NA,"MCQ070"
".","Missing",3220,10109,NA,"MCQ070"
"1","Yes",2230,2230,NA,"MCQ080"
"2","No",4654,6884,NA,"MCQ080"
"7","Refused",0,6884,NA,"MCQ080"
"9","Don't know",5,6889,NA,"MCQ080"
".","Missing",3220,10109,NA,"MCQ080"
"1","Yes",14,14,NA,"MCQ082"
"2","No",8787,8801,NA,"MCQ082"
"7","Refused",0,8801,NA,"MCQ082"
"9","Don't know",12,8813,NA,"MCQ082"
".","Missing",1296,10109,NA,"MCQ082"
"1","Yes",63,63,NA,"MCQ086"
"2","No",8743,8806,NA,"MCQ086"
"7","Refused",0,8806,NA,"MCQ086"
"9","Don't know",7,8813,NA,"MCQ086"
".","Missing",1296,10109,NA,"MCQ086"
"1","Yes",814,814,"","MCQ092"
"2","No",7911,8725,"MCQ140","MCQ092"
"7","Refused",1,8726,"MCQ140","MCQ092"
"9","Don't know",87,8813,"MCQ140","MCQ092"
".","Missing",1296,10109,"","MCQ092"
"1","Before 1972",157,157,NA,"MCD093"
"2","1972 - 1991",227,384,NA,"MCD093"
"3","1992 to present",411,795,NA,"MCD093"
"7","Refused",0,795,NA,"MCD093"
"9","Don't know",19,814,NA,"MCD093"
".","Missing",9295,10109,NA,"MCD093"
"1","Yes",1357,1357,NA,"MCQ140"
"2","No",8422,9779,NA,"MCQ140"
"7","Refused",1,9780,NA,"MCQ140"
"9","Don't know",6,9786,NA,"MCQ140"
".","Missing",323,10109,NA,"MCQ140"
"1","Yes",43,43,NA,"MCQ149"
"2","No",365,408,NA,"MCQ149"
"7","Refused",1,409,NA,"MCQ149"
"9","Don't know",1,410,NA,"MCQ149"
".","Missing",9699,10109,NA,"MCQ149"
"1","Yes",1674,1674,"","MCQ160A"
"2","No",4527,6201,"MCQ160N","MCQ160A"
"7","Refused",0,6201,"MCQ160N","MCQ160A"
"9","Don't know",17,6218,"MCQ160N","MCQ160A"
".","Missing",3891,10109,"","MCQ160A"
"2 to 79","Range of Values",1617,1617,NA,"MCQ180A"
"80","80 years or older",40,1657,NA,"MCQ180A"
"77777","Refused",0,1657,NA,"MCQ180A"
"99999","Don't know",17,1674,NA,"MCQ180A"
".","Missing",8435,10109,NA,"MCQ180A"
"1","Rheumatoid arthritis",316,316,NA,"MCQ191"
"2","Osteoarthritis",514,830,NA,"MCQ191"
"3","Psoriatic arthritis",8,838,NA,"MCQ191"
"4","Other",226,1064,NA,"MCQ191"
"7","Refused",5,1069,NA,"MCQ191"
"9","Don't know",605,1674,NA,"MCQ191"
".","Missing",8435,10109,NA,"MCQ191"
"1","Yes",277,277,"","MCQ160N"
"2","No",5934,6211,"MCQ160B","MCQ160N"
"7","Refused",0,6211,"MCQ160B","MCQ160N"
"9","Don't know",7,6218,"MCQ160B","MCQ160N"
".","Missing",3891,10109,"","MCQ160N"
"2 to 79","Range of Values",261,261,NA,"MCQ180N"
"80","80 years or older",11,272,NA,"MCQ180N"
"77777","Refused",0,272,NA,"MCQ180N"
"99999","Don't know",5,277,NA,"MCQ180N"
".","Missing",9832,10109,NA,"MCQ180N"
"1","Yes",174,174,"","MCQ160B"
"2","No",6025,6199,"MCQ160C","MCQ160B"
"7","Refused",0,6199,"MCQ160C","MCQ160B"
"9","Don't know",19,6218,"MCQ160C","MCQ160B"
".","Missing",3891,10109,"","MCQ160B"
"1 to 79","Range of Values",159,159,NA,"MCQ180B"
"80","80 years or older",10,169,NA,"MCQ180B"
"77777","Refused",0,169,NA,"MCQ180B"
"99999","Don't know",4,173,NA,"MCQ180B"
".","Missing",9936,10109,NA,"MCQ180B"
"1","Yes",254,254,"","MCQ160C"
"2","No",5936,6190,"MCQ160D","MCQ160C"
"7","Refused",0,6190,"MCQ160D","MCQ160C"
"9","Don't know",28,6218,"MCQ160D","MCQ160C"
".","Missing",3891,10109,"","MCQ160C"
"8 to 79","Range of Values",243,243,NA,"MCQ180C"
"80","80 years or older",7,250,NA,"MCQ180C"
"77777","Refused",0,250,NA,"MCQ180C"
"99999","Don't know",0,250,NA,"MCQ180C"
".","Missing",9859,10109,NA,"MCQ180C"
"1","Yes",155,155,"","MCQ160D"
"2","No",6045,6200,"MCQ160E","MCQ160D"
"7","Refused",0,6200,"MCQ160E","MCQ160D"
"9","Don't know",18,6218,"MCQ160E","MCQ160D"
".","Missing",3891,10109,"","MCQ160D"
"17 to 77","Range of Values",148,148,NA,"MCQ180D"
"80","80 years or older",2,150,NA,"MCQ180D"
"77777","Refused",0,150,NA,"MCQ180D"
"99999","Don't know",5,155,NA,"MCQ180D"
".","Missing",9954,10109,NA,"MCQ180D"
"1","Yes",261,261,"","MCQ160E"
"2","No",5940,6201,"MCQ160F","MCQ160E"
"7","Refused",0,6201,"MCQ160F","MCQ160E"
"9","Don't know",17,6218,"MCQ160F","MCQ160E"
".","Missing",3891,10109,"","MCQ160E"
"15 to 79","Range of Values",243,243,NA,"MCQ180E"
"80","80 years or older",13,256,NA,"MCQ180E"
"77777","Refused",0,256,NA,"MCQ180E"
"99999","Don't know",5,261,NA,"MCQ180E"
".","Missing",9848,10109,NA,"MCQ180E"
"1","Yes",227,227,"","MCQ160F"
"2","No",5983,6210,"MCQ160G","MCQ160F"
"7","Refused",0,6210,"MCQ160G","MCQ160F"
"9","Don't know",8,6218,"MCQ160G","MCQ160F"
".","Missing",3891,10109,"","MCQ160F"
"7 to 79","Range of Values",209,209,NA,"MCQ180F"
"80","80 years or older",14,223,NA,"MCQ180F"
"77777","Refused",0,223,NA,"MCQ180F"
"99999","Don't know",4,227,NA,"MCQ180F"
".","Missing",9882,10109,NA,"MCQ180F"
"1","Yes",137,137,"","MCQ160G"
