"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1448,1448,"","MCQ010"
"2","No",7906,9354,"MCQ053","MCQ010"
"7","Refused",1,9355,"MCQ053","MCQ010"
"9","Don't know",8,9363,"MCQ053","MCQ010"
".","Missing",1,9364,"","MCQ010"
"1 to 79","Range of Values",1423,1423,NA,"MCQ025"
"80","80 years or older",0,1423,NA,"MCQ025"
"77777","Refused",0,1423,NA,"MCQ025"
"99999","Don't know",25,1448,NA,"MCQ025"
".","Missing",7916,9364,NA,"MCQ025"
"1","Yes",882,882,"","MCQ035"
"2","No",546,1428,"MCQ053","MCQ035"
"7","Refused",0,1428,"MCQ053","MCQ035"
"9","Don't know",20,1448,"MCQ053","MCQ035"
".","Missing",7916,9364,"","MCQ035"
"1","Yes",454,454,NA,"MCQ040"
"2","No",426,880,NA,"MCQ040"
"7","Refused",0,880,NA,"MCQ040"
"9","Don't know",2,882,NA,"MCQ040"
".","Missing",8482,9364,NA,"MCQ040"
"1","Yes",187,187,NA,"MCQ050"
"2","No",695,882,NA,"MCQ050"
"7","Refused",0,882,NA,"MCQ050"
"9","Don't know",0,882,NA,"MCQ050"
".","Missing",8482,9364,NA,"MCQ050"
"1","Yes",559,559,NA,"MCQ051"
"2","No",321,880,NA,"MCQ051"
"7","Refused",0,880,NA,"MCQ051"
"9","Don't know",2,882,NA,"MCQ051"
".","Missing",8482,9364,NA,"MCQ051"
"1","Yes",289,289,NA,"MCQ053"
"2","No",9063,9352,NA,"MCQ053"
"7","Refused",1,9353,NA,"MCQ053"
"9","Don't know",10,9363,NA,"MCQ053"
".","Missing",1,9364,NA,"MCQ053"
"1","Yes",167,167,"","MCQ070"
"2","No",6000,6167,"MCQ080","MCQ070"
"7","Refused",1,6168,"MCQ080","MCQ070"
"9","Don't know",6,6174,"MCQ080","MCQ070"
".","Missing",3190,9364,"","MCQ070"
"1","little or no psoriasis,",92,92,NA,"MCQ075"
"2","only a few patches (that could be covered 
by one or two palms of {your/his/her} 
hand),",39,131,NA,"MCQ075"
"3","scattered patches (that could be covered 
between three and ten palms of {your/ 
his/her} hand), or",25,156,NA,"MCQ075"
"4","extensive psoriasis (covering large areas of 
the body, that would be more than ten 
palms of {your/his/her} hand)?",9,165,NA,"MCQ075"
"7","Refused",0,165,NA,"MCQ075"
"9","Don't know",2,167,NA,"MCQ075"
".","Missing",9197,9364,NA,"MCQ075"
"1","Yes",1895,1895,NA,"MCQ080"
"2","No",4275,6170,NA,"MCQ080"
"7","Refused",1,6171,NA,"MCQ080"
"9","Don't know",3,6174,NA,"MCQ080"
".","Missing",3190,9364,NA,"MCQ080"
"1","Yes",23,23,NA,"MCQ082"
"2","No",8131,8154,NA,"MCQ082"
"7","Refused",1,8155,NA,"MCQ082"
"9","Don't know",6,8161,NA,"MCQ082"
".","Missing",1203,9364,NA,"MCQ082"
"1","Yes",320,320,NA,"MCQ084"
"2","No",1469,1789,NA,"MCQ084"
"7","Refused",1,1790,NA,"MCQ084"
"9","Don't know",1,1791,NA,"MCQ084"
".","Missing",7573,9364,NA,"MCQ084"
"1","Yes",85,85,NA,"MCQ086"
"2","No",8074,8159,NA,"MCQ086"
"7","Refused",1,8160,NA,"MCQ086"
"9","Don't know",1,8161,NA,"MCQ086"
".","Missing",1203,9364,NA,"MCQ086"
"1","Yes",709,709,"","MCQ092"
"2","No",7398,8107,"MCQ140","MCQ092"
"7","Refused",1,8108,"MCQ140","MCQ092"
"9","Don't know",53,8161,"MCQ140","MCQ092"
".","Missing",1203,9364,"","MCQ092"
"1","Before 1972",125,125,NA,"MCD093"
"2","1972 - 1991",180,305,NA,"MCD093"
"3","1992 to present",380,685,NA,"MCD093"
"7","Refused",0,685,NA,"MCD093"
"9","Don't know",24,709,NA,"MCD093"
".","Missing",8655,9364,NA,"MCD093"
"1","Yes",1228,1228,NA,"MCQ140"
"2","No",7898,9126,NA,"MCQ140"
"7","Refused",1,9127,NA,"MCQ140"
"9","Don't know",7,9134,NA,"MCQ140"
".","Missing",230,9364,NA,"MCQ140"
"1","Yes",50,50,"","MCQ149"
"2","No",382,432,"MCQ300b","MCQ149"
"7","Refused",1,433,"MCQ300b","MCQ149"
"9","Don't know",1,434,"MCQ300b","MCQ149"
".","Missing",8930,9364,"","MCQ149"
"1","Yes",1365,1365,NA,"MCQ160A"
"2","No",4185,5550,NA,"MCQ160A"
"7","Refused",1,5551,NA,"MCQ160A"
"9","Don't know",7,5558,NA,"MCQ160A"
".","Missing",3806,9364,NA,"MCQ160A"
"0 to 79","Range of Values",1280,1280,NA,"MCQ180A"
"80","80 years or older",46,1326,NA,"MCQ180A"
"77777","Refused",0,1326,NA,"MCQ180A"
"99999","Don't know",39,1365,NA,"MCQ180A"
".","Missing",7999,9364,NA,"MCQ180A"
"1","Osteoarthritis or degenerative arthritis",576,576,NA,"MCQ195"
"2","Rheumatoid arthritis",249,825,NA,"MCQ195"
"3","Psoriatic arthritis",17,842,NA,"MCQ195"
"4","Other",104,946,NA,"MCQ195"
"7","Refused",0,946,NA,"MCQ195"
"9","Don't know",419,1365,NA,"MCQ195"
".","Missing",7999,9364,NA,"MCQ195"
"1","Yes",239,239,NA,"MCQ160N"
"2","No",5316,5555,NA,"MCQ160N"
"7","Refused",1,5556,NA,"MCQ160N"
"9","Don't know",3,5559,NA,"MCQ160N"
".","Missing",3805,9364,NA,"MCQ160N"
"9 to 79","Range of Values",223,223,NA,"MCQ180N"
"80","80 years or older",8,231,NA,"MCQ180N"
"77777","Refused",0,231,NA,"MCQ180N"
"99999","Don't know",6,237,NA,"MCQ180N"
