"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1538,1538,"","MCQ010"
"2","No",8222,9760,"MCQ053","MCQ010"
"7","Refused",1,9761,"MCQ053","MCQ010"
"9","Don't know",8,9769,"MCQ053","MCQ010"
".","Missing",1,9770,"","MCQ010"
"1 to 78","Range of Values",1507,1507,NA,"MCQ025"
"80","80 years or older",6,1513,NA,"MCQ025"
"77777","Refused",0,1513,NA,"MCQ025"
"99999","Don't know",25,1538,NA,"MCQ025"
".","Missing",8232,9770,NA,"MCQ025"
"1","Yes",939,939,"","MCQ035"
"2","No",582,1521,"MCQ053","MCQ035"
"7","Refused",0,1521,"MCQ053","MCQ035"
"9","Don't know",17,1538,"MCQ053","MCQ035"
".","Missing",8232,9770,"","MCQ035"
"1","Yes",464,464,NA,"MCQ040"
"2","No",473,937,NA,"MCQ040"
"7","Refused",0,937,NA,"MCQ040"
"9","Don't know",2,939,NA,"MCQ040"
".","Missing",8831,9770,NA,"MCQ040"
"1","Yes",193,193,NA,"MCQ050"
"2","No",745,938,NA,"MCQ050"
"7","Refused",0,938,NA,"MCQ050"
"9","Don't know",1,939,NA,"MCQ050"
".","Missing",8831,9770,NA,"MCQ050"
"1","Yes",261,261,NA,"AGQ030"
"2","No",675,936,NA,"AGQ030"
"7","Refused",0,936,NA,"AGQ030"
"9","Don't know",3,939,NA,"AGQ030"
".","Missing",8831,9770,NA,"AGQ030"
"1","Yes",308,308,NA,"MCQ053"
"2","No",9454,9762,NA,"MCQ053"
"7","Refused",1,9763,NA,"MCQ053"
"9","Don't know",6,9769,NA,"MCQ053"
".","Missing",1,9770,NA,"MCQ053"
"1","Yes",162,162,"","MCQ070"
"2","No",6296,6458,"MCQ080","MCQ070"
"7","Refused",0,6458,"MCQ080","MCQ070"
"9","Don't know",6,6464,"MCQ080","MCQ070"
".","Missing",3306,9770,"","MCQ070"
"1","little or no psoriasis,",88,88,NA,"MCQ075"
"2","only a few patches (that could be covered 
by one or two palms of {your/his/her} 
hand),",37,125,NA,"MCQ075"
"3","scattered patches (that could be covered 
between three and ten palms of {your/ 
his/her} hand), or",28,153,NA,"MCQ075"
"4","extensive psoriasis (covering large areas of 
the body, that would be more than ten 
palms of {your/his/her} hand)?",7,160,NA,"MCQ075"
"7","Refused",0,160,NA,"MCQ075"
"9","Don't know",2,162,NA,"MCQ075"
".","Missing",9608,9770,NA,"MCQ075"
"1","Yes",2154,2154,NA,"MCQ080"
