"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1443,1443,"","MCQ010"
"2","No",8121,9564,"MCQ053","MCQ010"
"7","Refused",1,9565,"MCQ053","MCQ010"
"9","Don't know",10,9575,"MCQ053","MCQ010"
".","Missing",0,9575,"","MCQ010"
"1 to 78","Range of Values",1406,1406,NA,"MCQ025"
"80","80 years or older",7,1413,NA,"MCQ025"
"77777","Refused",0,1413,NA,"MCQ025"
"99999","Don't know",30,1443,NA,"MCQ025"
".","Missing",8132,9575,NA,"MCQ025"
"1","Yes",877,877,"","MCQ035"
"2","No",546,1423,"MCQ053","MCQ035"
"7","Refused",0,1423,"MCQ053","MCQ035"
"9","Don't know",20,1443,"MCQ053","MCQ035"
".","Missing",8132,9575,"","MCQ035"
"1","Yes",422,422,NA,"MCQ040"
"2","No",454,876,NA,"MCQ040"
"7","Refused",0,876,NA,"MCQ040"
"9","Don't know",1,877,NA,"MCQ040"
".","Missing",8698,9575,NA,"MCQ040"
"1","Yes",170,170,NA,"MCQ050"
"2","No",707,877,NA,"MCQ050"
"7","Refused",0,877,NA,"MCQ050"
"9","Don't know",0,877,NA,"MCQ050"
".","Missing",8698,9575,NA,"MCQ050"
"1","Yes",231,231,NA,"AGQ030"
"2","No",640,871,NA,"AGQ030"
"7","Refused",0,871,NA,"AGQ030"
"9","Don't know",6,877,NA,"AGQ030"
".","Missing",8698,9575,NA,"AGQ030"
"1","Yes",280,280,NA,"MCQ053"
"2","No",9288,9568,NA,"MCQ053"
"7","Refused",1,9569,NA,"MCQ053"
"9","Don't know",6,9575,NA,"MCQ053"
".","Missing",0,9575,NA,"MCQ053"
"1","Yes",2221,2221,NA,"MCQ080"
"2","No",4101,6322,NA,"MCQ080"
"7","Refused",0,6322,NA,"MCQ080"
"9","Don't know",5,6327,NA,"MCQ080"
".","Missing",3248,9575,NA,"MCQ080"
"1","Yes",660,660,"","MCQ092"
"2","No",7627,8287,"MCQ149","MCQ092"
"7","Refused",0,8287,"MCQ149","MCQ092"
