"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1325,1325,"","MCQ010"
"2","No",7563,8888,"MCQ053","MCQ010"
"7","Refused",0,8888,"MCQ053","MCQ010"
"9","Don't know",9,8897,"MCQ053","MCQ010"
".","Missing",0,8897,"","MCQ010"
"1 to 79","Range of Values",1296,1296,NA,"MCQ025"
"80","80 years or older",8,1304,NA,"MCQ025"
"77777","Refused",0,1304,NA,"MCQ025"
"99999","Don't know",21,1325,NA,"MCQ025"
".","Missing",7572,8897,NA,"MCQ025"
"1","Yes",825,825,"","MCQ035"
"2","No",471,1296,"MCQ053","MCQ035"
"7","Refused",1,1297,"MCQ053","MCQ035"
"9","Don't know",28,1325,"MCQ053","MCQ035"
".","Missing",7572,8897,"","MCQ035"
"1","Yes",359,359,NA,"MCQ040"
"2","No",463,822,NA,"MCQ040"
"7","Refused",1,823,NA,"MCQ040"
"9","Don't know",2,825,NA,"MCQ040"
".","Missing",8072,8897,NA,"MCQ040"
"1","Yes",167,167,NA,"MCQ050"
"2","No",658,825,NA,"MCQ050"
"7","Refused",0,825,NA,"MCQ050"
"9","Don't know",0,825,NA,"MCQ050"
".","Missing",8072,8897,NA,"MCQ050"
"1","Yes",196,196,NA,"AGQ030"
"2","No",624,820,NA,"AGQ030"
"7","Refused",0,820,NA,"AGQ030"
"9","Don't know",5,825,NA,"AGQ030"
".","Missing",8072,8897,NA,"AGQ030"
"1","Yes",339,339,NA,"MCQ053"
"2","No",8543,8882,NA,"MCQ053"
"7","Refused",1,8883,NA,"MCQ053"
"9","Don't know",14,8897,NA,"MCQ053"
".","Missing",0,8897,NA,"MCQ053"
"1","Yes",2304,2304,NA,"MCQ080"
"2","No",3850,6154,NA,"MCQ080"
"7","Refused",0,6154,NA,"MCQ080"
"9","Don't know",7,6161,NA,"MCQ080"
".","Missing",2736,8897,NA,"MCQ080"
"1","Yes",689,689,"","MCQ092"
"2","No",7107,7796,"MCQ149","MCQ092"
"7","Refused",1,7797,"MCQ149","MCQ092"
"9","Don't know",81,7878,"MCQ149","MCQ092"
".","Missing",1019,8897,"","MCQ092"
"1","Before 1972",95,95,NA,"MCD093"
"2","1972 - 1991",162,257,NA,"MCD093"
"3","1992 to present",411,668,NA,"MCD093"
"7","Refused",0,668,NA,"MCD093"
"9","Don't know",21,689,NA,"MCD093"
".","Missing",8208,8897,NA,"MCD093"
"1","Yes",61,61,"","MCQ149"
"2","No",333,394,"MCQ203","MCQ149"
"7","Refused",0,394,"MCQ203","MCQ149"
"9","Don't know",0,394,"MCQ203","MCQ149"
".","Missing",8503,8897,"","MCQ149"
"7 to 11","Range of Values",61,61,"","MCQ151"
"77","Refused",0,61,"MCQ203","MCQ151"
"99","Don't know",0,61,"MCQ203","MCQ151"
".","Missing",8836,8897,"","MCQ151"
"86 to 142","Range of Values",46,46,NA,"RHD018"
"7777","Refused",0,46,NA,"RHD018"
"9999","Don't know",9,55,NA,"RHD018"
".","Missing",8842,8897,NA,"RHD018"
"1","Yes",1695,1695,NA,"MCQ160A"
"2","No",3857,5552,NA,"MCQ160A"
"7","Refused",0,5552,NA,"MCQ160A"
"9","Don't know",17,5569,NA,"MCQ160A"
".","Missing",3328,8897,NA,"MCQ160A"
"17 to 79","Range of Values",1582,1582,NA,"MCD180A"
"16","16 years or younger",38,1620,NA,"MCD180A"
"80","80 years or older",43,1663,NA,"MCD180A"
"77777","Refused",0,1663,NA,"MCD180A"
"99999","Don't know",32,1695,NA,"MCD180A"
".","Missing",7202,8897,NA,"MCD180A"
"1","Osteoarthritis or degenerative arthritis",711,711,NA,"MCQ195"
"2","Rheumatoid arthritis",337,1048,NA,"MCQ195"
"3","Psoriatic arthritis",26,1074,NA,"MCQ195"
"4","Other",175,1249,NA,"MCQ195"
"7","Refused",3,1252,NA,"MCQ195"
"9","Don't know",443,1695,NA,"MCQ195"
".","Missing",7202,8897,NA,"MCQ195"
"1","Yes",338,338,NA,"MCQ160N"
"2","No",5222,5560,NA,"MCQ160N"
"7","Refused",0,5560,NA,"MCQ160N"
"9","Don't know",9,5569,NA,"MCQ160N"
".","Missing",3328,8897,NA,"MCQ160N"
"17 to 79","Range of Values",320,320,NA,"MCD180N"
"16","16 years or younger",0,320,NA,"MCD180N"
"80","80 years or older",10,330,NA,"MCD180N"
"77777","Refused",0,330,NA,"MCD180N"
"99999","Don't know",8,338,NA,"MCD180N"
".","Missing",8559,8897,NA,"MCD180N"
"1","Yes",201,201,NA,"MCQ160B"
"2","No",5351,5552,NA,"MCQ160B"
"7","Refused",0,5552,NA,"MCQ160B"
"9","Don't know",17,5569,NA,"MCQ160B"
".","Missing",3328,8897,NA,"MCQ160B"
"18 to 79","Range of Values",182,182,NA,"MCD180B"
"16","16 years or younger",3,185,NA,"MCD180B"
"80","80 years or older",14,199,NA,"MCD180B"
"77777","Refused",0,199,NA,"MCD180B"
"99999","Don't know",2,201,NA,"MCD180B"
".","Missing",8696,8897,NA,"MCD180B"
"1","Yes",265,265,NA,"MCQ160C"
"2","No",5288,5553,NA,"MCQ160C"
"7","Refused",0,5553,NA,"MCQ160C"
"9","Don't know",16,5569,NA,"MCQ160C"
".","Missing",3328,8897,NA,"MCQ160C"
"20 to 79","Range of Values",253,253,NA,"MCD180C"
"16","16 years or younger",2,255,NA,"MCD180C"
"80","80 years or older",8,263,NA,"MCD180C"
"77777","Refused",0,263,NA,"MCD180C"
"99999","Don't know",2,265,NA,"MCD180C"
".","Missing",8632,8897,NA,"MCD180C"
"1","Yes",161,161,NA,"MCQ160D"
"2","No",5378,5539,NA,"MCQ160D"
"7","Refused",0,5539,NA,"MCQ160D"
"9","Don't know",30,5569,NA,"MCQ160D"
".","Missing",3328,8897,NA,"MCQ160D"
"20 to 78","Range of Values",148,148,NA,"MCD180D"
"16","16 years or younger",4,152,NA,"MCD180D"
"80","80 years or older",5,157,NA,"MCD180D"
"77777","Refused",0,157,NA,"MCD180D"
"99999","Don't know",4,161,NA,"MCD180D"
".","Missing",8736,8897,NA,"MCD180D"
"1","Yes",270,270,NA,"MCQ160E"
"2","No",5289,5559,NA,"MCQ160E"
"7","Refused",0,5559,NA,"MCQ160E"
"9","Don't know",10,5569,NA,"MCQ160E"
".","Missing",3328,8897,NA,"MCQ160E"
"19 to 79","Range of Values",251,251,NA,"MCD180E"
"16","16 years or younger",2,253,NA,"MCD180E"
"80","80 years or older",15,268,NA,"MCD180E"
"77777","Refused",0,268,NA,"MCD180E"
"99999","Don't know",2,270,NA,"MCD180E"
".","Missing",8627,8897,NA,"MCD180E"
