"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",11558,11558,"","RXD030"
"2","No",6845,18403,"End of Section","RXD030"
"7","Refused",9,18412,"End of Section","RXD030"
"9","Don't know",2,18414,"End of Section","RXD030"
".","Missing",4,18418,"","RXD030"
"Standard generic ingredient name","Value was recorded",11447,11447,NA,"RXD240B"
"55555","Unknown",36,11483,NA,"RXD240B"
"77777","Refused",14,11497,NA,"RXD240B"
"99999","Don't know",57,11554,NA,"RXD240B"
"< blank >","Missing",6864,18418,NA,"RXD240B"
"Standard generic ingredient code","Value was recorded",11447,11447,NA,"NHCODE"
"< blank >","Missing",6971,18418,NA,"NHCODE"
"1","Yes",9492,9492,NA,"RXQ250"
"2","No",2000,11492,NA,"RXQ250"
".","Missing",6926,18418,NA,"RXQ250"
"1 to 24820","Range of Values",11150,11150,NA,"RXD260"
"77777","Refused",1,11151,NA,"RXD260"
"99999","Don't know",309,11460,NA,"RXD260"
".","Missing",6958,18418,NA,"RXD260"
"FDA/NDC drug class code 1","Value was recorded",11390,11390,NA,"FDACODE1"
"99999","Unknown drug-no code",57,11447,NA,"FDACODE1"
"< blank >","Missing",6971,18418,NA,"FDACODE1"
"FDA/NDC drug class code 2","Value was recorded",6171,6171,NA,"FDACODE2"
"< blank >","Missing",12247,18418,NA,"FDACODE2"
"FDA/NDC drug class code 3","Value was recorded",3042,3042,NA,"FDACODE3"
"< blank >","Missing",15376,18418,NA,"FDACODE3"
"FDA/NDC drug class code 4","Value was recorded",1654,1654,NA,"FDACODE4"
"< blank >","Missing",16764,18418,NA,"FDACODE4"
"FDA/NDC drug class code 5","Value was recorded",891,891,NA,"FDACODE5"
"< blank >","Missing",17527,18418,NA,"FDACODE5"
"FDA/NDC drug class code 6","Value was recorded",517,517,NA,"FDACODE6"
"< blank >","Missing",17901,18418,NA,"FDACODE6"
"1 to 17","Range of Values",11554,11554,NA,"RXD295"
".","Missing",6864,18418,NA,"RXD295"
"Generic drug code","Value was recorded",11447,11447,NA,"RXDDRGID"
"< blank >","Missing",6971,18418,NA,"RXDDRGID"
