"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",12308,12308,"","RXDUSE"
"2","No",6072,18380,"End of Section","RXDUSE"
"7","Refused",5,18385,"End of Section","RXDUSE"
"9","Don't know",2,18387,"End of Section","RXDUSE"
".","Missing",14,18401,"","RXDUSE"
"Generic drug name","Value was recorded",12231,12231,NA,"RXDDRUG"
"55555","Unknown",13,12244,NA,"RXDDRUG"
"77777","Refused",11,12255,NA,"RXDDRUG"
"99999","Don't know",53,12308,NA,"RXDDRUG"
"< blank >","Missing",6093,18401,NA,"RXDDRUG"
"Generic drug code","Value was recorded",12231,12231,NA,"RXDDRGID"
"< blank >","Missing",6170,18401,NA,"RXDDRGID"
"1","Yes",10832,10832,NA,"RXQSEEN"
"2","No",1427,12259,NA,"RXQSEEN"
".","Missing",6142,18401,NA,"RXQSEEN"
"1 to 21900","Range of Values",11860,11860,NA,"RXDDAYS"
"77777","Refused",1,11861,NA,"RXDDAYS"
"99999","Don't know",174,12035,NA,"RXDDAYS"
".","Missing",6366,18401,NA,"RXDDAYS"
"1 to 20","Range of Values",12308,12308,NA,"RXDCOUNT"
".","Missing",6093,18401,NA,"RXDCOUNT"
