"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",11431,11431,"","RXDUSE"
"2","No",6565,17996,"End of Section","RXDUSE"
"7","Refused",8,18004,"End of Section","RXDUSE"
"9","Don't know",1,18005,"End of Section","RXDUSE"
".","Missing",0,18005,"","RXDUSE"
"Generic drug name","Value was recorded",11369,11369,NA,"RXDDRUG"
"55555","Unknown",2,11371,NA,"RXDDRUG"
"77777","Refused",13,11384,NA,"RXDDRUG"
"99999","Don't know",47,11431,NA,"RXDDRUG"
"< blank >","Missing",6574,18005,NA,"RXDDRUG"
"Generic drug code","Value was recorded",11369,11369,NA,"RXDDRGID"
"< blank >","Missing",6636,18005,NA,"RXDDRGID"
"1","Yes",9921,9921,NA,"RXQSEEN"
"2","No",1421,11342,NA,"RXQSEEN"
".","Missing",6663,18005,NA,"RXQSEEN"
"1 to 31025","Range of Values",11107,11107,NA,"RXDDAYS"
"77777","Refused",4,11111,NA,"RXDDAYS"
"99999","Don't know",259,11370,NA,"RXDDAYS"
".","Missing",6635,18005,NA,"RXDDAYS"
"1 to 20","Range of Values",11431,11431,NA,"RXDCOUNT"
".","Missing",6574,18005,NA,"RXDCOUNT"
