"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",14759,14759,"","RXDUSE"
"2","No",5751,20510,"End of Section","RXDUSE"
"7","Refused",2,20512,"End of Section","RXDUSE"
"9","Don't know",4,20516,"End of Section","RXDUSE"
".","Missing",0,20516,"","RXDUSE"
"Generic drug name","Value was recorded",14699,14699,NA,"RXDDRUG"
"55555","Unknown",7,14706,NA,"RXDDRUG"
"77777","Refused",8,14714,NA,"RXDDRUG"
"99999","Don't know",45,14759,NA,"RXDDRUG"
"< blank >","Missing",5757,20516,NA,"RXDDRUG"
"Generic drug code","Value was recorded",14699,14699,NA,"RXDDRGID"
"< blank >","Missing",5817,20516,NA,"RXDDRGID"
"1","Yes",12353,12353,NA,"RXQSEEN"
"2","No",2300,14653,NA,"RXQSEEN"
".","Missing",5863,20516,NA,"RXQSEEN"
"1 to 24455","Range of Values",14464,14464,NA,"RXDDAYS"
"77777","Refused",0,14464,NA,"RXDDAYS"
"99999","Don't know",231,14695,NA,"RXDDAYS"
".","Missing",5821,20516,NA,"RXDDAYS"
"1 to 18","Range of Values",14759,14759,NA,"RXDCOUNT"
".","Missing",5757,20516,NA,"RXDCOUNT"
