"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",14889,14889,"","RXDUSE"
"2","No",6008,20897,"End of Section","RXDUSE"
"7","Refused",3,20900,"End of Section","RXDUSE"
"9","Don't know",4,20904,"End of Section","RXDUSE"
".","Missing",1,20905,"","RXDUSE"
"Generic drug name","Value was recorded",14818,14818,NA,"RXDDRUG"
"55555","Unknown",3,14821,NA,"RXDDRUG"
"77777","Refused",12,14833,NA,"RXDDRUG"
"99999","Don't know",56,14889,NA,"RXDDRUG"
"< blank >","Missing",6016,20905,NA,"RXDDRUG"
"Generic drug code","Value was recorded",14818,14818,NA,"RXDDRGID"
"< blank >","Missing",6087,20905,NA,"RXDDRGID"
"1","Yes",11512,11512,NA,"RXQSEEN"
"2","No",3305,14817,NA,"RXQSEEN"
".","Missing",6088,20905,NA,"RXQSEEN"
"1 to 27010","Range of Values",14587,14587,NA,"RXDDAYS"
"77777","Refused",4,14591,NA,"RXDDAYS"
"99999","Don't know",224,14815,NA,"RXDDAYS"
".","Missing",6090,20905,NA,"RXDDAYS"
"1 to 20","Range of Values",14889,14889,NA,"RXDCOUNT"
".","Missing",6016,20905,NA,"RXDCOUNT"
