"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",12957,12957,"","RXDUSE"
"2","No",5744,18701,"End of Section","RXDUSE"
"7","Refused",2,18703,"End of Section","RXDUSE"
"9","Don't know",1,18704,"End of Section","RXDUSE"
".","Missing",0,18704,"","RXDUSE"
"Generic drug name","Value was recorded",12867,12867,NA,"RXDDRUG"
"55555","Unknown",4,12871,NA,"RXDDRUG"
"77777","Refused",13,12884,NA,"RXDDRUG"
"99999","Don't know",73,12957,NA,"RXDDRUG"
"< blank >","Missing",5747,18704,NA,"RXDDRUG"
"Generic drug code","Value was recorded",12867,12867,NA,"RXDDRGID"
"< blank >","Missing",5837,18704,NA,"RXDDRGID"
"1","Yes",10608,10608,NA,"RXQSEEN"
"2","No",2277,12885,NA,"RXQSEEN"
".","Missing",5819,18704,NA,"RXQSEEN"
"1 to 22995","Range of Values",12660,12660,NA,"RXDDAYS"
"77777","Refused",1,12661,NA,"RXDDAYS"
"99999","Don't know",221,12882,NA,"RXDDAYS"
".","Missing",5822,18704,NA,"RXDDAYS"
"1 to 19","Range of Values",12957,12957,NA,"RXDCOUNT"
".","Missing",5747,18704,NA,"RXDCOUNT"
