"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",14100,14100,"","RXDUSE"
"2","No",6089,20189,"End of Section","RXDUSE"
"7","Refused",4,20193,"End of Section","RXDUSE"
"9","Don't know",1,20194,"End of Section","RXDUSE"
".","Missing",0,20194,"","RXDUSE"
"Generic drug name","Value was recorded",14016,14016,NA,"RXDDRUG"
"55555","Unknown",6,14022,NA,"RXDDRUG"
"77777","Refused",16,14038,NA,"RXDDRUG"
"99999","Don't know",62,14100,NA,"RXDDRUG"
"< blank >","Missing",6094,20194,NA,"RXDDRUG"
"Generic drug code","Value was recorded",14016,14016,NA,"RXDDRGID"
"< blank >","Missing",6178,20194,NA,"RXDDRGID"
"1","Yes",12477,12477,NA,"RXQSEEN"
"2","No",767,13244,NA,"RXQSEEN"
"3","Only pharmacy print out seen",775,14019,NA,"RXQSEEN"
".","Missing",6175,20194,NA,"RXQSEEN"
"1 to 25550","Range of Values",13740,13740,NA,"RXDDAYS"
"77777","Refused",0,13740,NA,"RXDDAYS"
"99999","Don't know",278,14018,NA,"RXDDAYS"
".","Missing",6176,20194,NA,"RXDDAYS"
"ICD-10-CM code 1","Value was recorded",13633,13633,NA,"RXDRSC1"
"55555","Unknown",41,13674,NA,"RXDRSC1"
"77777","Refused",8,13682,NA,"RXDRSC1"
"99999","Don't know",340,14022,NA,"RXDRSC1"
"< blank >","Missing",6172,20194,NA,"RXDRSC1"
"ICD-10-CM code 2","Value was recorded",714,714,NA,"RXDRSC2"
"< blank >","Missing",19480,20194,NA,"RXDRSC2"
"ICD-10-CM code 3","Value was recorded",127,127,NA,"RXDRSC3"
"< blank >","Missing",20067,20194,NA,"RXDRSC3"
"ICD-10-CM code 1 description","Value was recorded",13633,13633,NA,"RXDRSD1"
"< blank >","Missing",6561,20194,NA,"RXDRSD1"
"ICD-10-CM code 2 description","Value was recorded",714,714,NA,"RXDRSD2"
"< blank >","Missing",19480,20194,NA,"RXDRSD2"
"ICD-10-CM code 3 description","Value was recorded",127,127,NA,"RXDRSD3"
"< blank >","Missing",20067,20194,NA,"RXDRSD3"
"1 to 23","Range of Values",14100,14100,NA,"RXDCOUNT"
".","Missing",6094,20194,NA,"RXDCOUNT"
