"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",13705,13705,"","RXDUSE"
"2","No",5934,19639,"End of Section","RXDUSE"
"7","Refused",3,19642,"End of Section","RXDUSE"
"9","Don't know",5,19647,"End of Section","RXDUSE"
".","Missing",0,19647,"","RXDUSE"
"Generic drug name","Value was recorded",13588,13588,NA,"RXDDRUG"
"55555","Unknown",7,13595,NA,"RXDDRUG"
"77777","Refused",27,13622,NA,"RXDDRUG"
"99999","Don't know",83,13705,NA,"RXDDRUG"
"< blank >","Missing",5942,19647,NA,"RXDDRUG"
"Generic drug code","Value was recorded",13588,13588,NA,"RXDDRGID"
"< blank >","Missing",6059,19647,NA,"RXDDRGID"
"1","Yes",12156,12156,NA,"RXQSEEN"
"2","No",922,13078,NA,"RXQSEEN"
"3","Only pharmacy print out seen",516,13594,NA,"RXQSEEN"
".","Missing",6053,19647,NA,"RXQSEEN"
"1 to 21900","Range of Values",13355,13355,NA,"RXDDAYS"
"77777","Refused",0,13355,NA,"RXDDAYS"
"99999","Don't know",219,13574,NA,"RXDDAYS"
".","Missing",6073,19647,NA,"RXDDAYS"
"ICD-10-CM code 1","Value was recorded",13089,13089,NA,"RXDRSC1"
"55555","Unknown",130,13219,NA,"RXDRSC1"
"77777","Refused",19,13238,NA,"RXDRSC1"
"99999","Don't know",357,13595,NA,"RXDRSC1"
"< blank >","Missing",6052,19647,NA,"RXDRSC1"
"ICD-10-CM code 2","Value was recorded",876,876,NA,"RXDRSC2"
"< blank >","Missing",18771,19647,NA,"RXDRSC2"
"ICD-10-CM code 3","Value was recorded",119,119,NA,"RXDRSC3"
"< blank >","Missing",19528,19647,NA,"RXDRSC3"
"ICD-10-CM code 1 description","Value was recorded",13089,13089,NA,"RXDRSD1"
"< blank >","Missing",6558,19647,NA,"RXDRSD1"
"ICD-10-CM code 2 description","Value was recorded",876,876,NA,"RXDRSD2"
"< blank >","Missing",18771,19647,NA,"RXDRSD2"
"ICD-10-CM code 3 description","Value was recorded",119,119,NA,"RXDRSD3"
"< blank >","Missing",19528,19647,NA,"RXDRSD3"
"1 to 20","Range of Values",13705,13705,NA,"RXDCOUNT"
".","Missing",5942,19647,NA,"RXDCOUNT"
