"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",14434,14434,"","RXDUSE"
"2","No",5198,19632,"End of Section","RXDUSE"
"7","Refused",5,19637,"End of Section","RXDUSE"
"9","Don't know",6,19643,"End of Section","RXDUSE"
".","Missing",0,19643,"","RXDUSE"
"Generic drug name","Value was recorded",14300,14300,NA,"RXDDRUG"
"55555","Unknown",13,14313,NA,"RXDDRUG"
"77777","Refused",30,14343,NA,"RXDDRUG"
"99999","Don't know",91,14434,NA,"RXDDRUG"
"< blank >","Missing",5209,19643,NA,"RXDDRUG"
"Generic drug code","Value was recorded",14300,14300,NA,"RXDDRGID"
"< blank >","Missing",5343,19643,NA,"RXDDRGID"
"1","Yes",12543,12543,NA,"RXQSEEN"
"2","No",1127,13670,NA,"RXQSEEN"
"3","Only pharmacy print out seen",641,14311,NA,"RXQSEEN"
".","Missing",5332,19643,NA,"RXQSEEN"
"1 to 21900","Range of Values",14027,14027,NA,"RXDDAYS"
"77777","Refused",4,14031,NA,"RXDDAYS"
"99999","Don't know",278,14309,NA,"RXDDAYS"
".","Missing",5334,19643,NA,"RXDDAYS"
"ICD-10-CM code 1","Value was recorded",13768,13768,NA,"RXDRSC1"
"55555","Unknown",84,13852,NA,"RXDRSC1"
"77777","Refused",5,13857,NA,"RXDRSC1"
"99999","Don't know",451,14308,NA,"RXDRSC1"
"< blank >","Missing",5335,19643,NA,"RXDRSC1"
"ICD-10-CM code 2","Value was recorded",1070,1070,NA,"RXDRSC2"
"< blank >","Missing",18573,19643,NA,"RXDRSC2"
"ICD-10-CM code 3","Value was recorded",187,187,NA,"RXDRSC3"
"< blank >","Missing",19456,19643,NA,"RXDRSC3"
"ICD-10-CM code 1 description","Value was recorded",13768,13768,NA,"RXDRSD1"
"< blank >","Missing",5875,19643,NA,"RXDRSD1"
"ICD-10-CM code 2 description","Value was recorded",1070,1070,NA,"RXDRSD2"
"< blank >","Missing",18573,19643,NA,"RXDRSD2"
"ICD-10-CM code 3 description","Value was recorded",187,187,NA,"RXDRSD3"
"< blank >","Missing",19456,19643,NA,"RXDRSD3"
"1 to 22","Range of Values",14434,14434,NA,"RXDCOUNT"
".","Missing",5209,19643,NA,"RXDCOUNT"
