"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1019,1019,"","SMQ620"
"2","No",1196,2215,"SMQ680","SMQ620"
"7","Refused",3,2218,"SMQ680","SMQ620"
"9","Don't know",0,2218,"SMQ680","SMQ620"
".","Missing",5227,7445,"","SMQ620"
"6 to 19","Range of Values",632,632,"","SMD630"
"55","Never smoked a whole cigarette",386,1018,"SMQ680","SMD630"
"77","Refused",1,1019,"SMQ680","SMD630"
"99","Don't know",0,1019,"SMQ680","SMD630"
".","Missing",6426,7445,"","SMD630"
"0 to 30","Range of Values",630,630,NA,"SMQ640"
"77","Refused",1,631,NA,"SMQ640"
"99","Don't  Know",1,632,NA,"SMQ640"
".","Missing",6813,7445,NA,"SMQ640"
"1 to 35","Range of Values",346,346,NA,"SMQ650"
"777","Refused",0,346,NA,"SMQ650"
"999","Don't know",0,346,NA,"SMQ650"
".","Missing",7099,7445,NA,"SMQ650"
"1","Within 5 minutes,",46,46,NA,"SMQ077"
"2","From 6 to 30 minutes,",58,104,NA,"SMQ077"
"3","From more than 30 minutes to one hour, or",35,139,NA,"SMQ077"
"4","More than one hour?",188,327,NA,"SMQ077"
"7","Refused",6,333,NA,"SMQ077"
"9","Don't know",13,346,NA,"SMQ077"
".","Missing",7099,7445,NA,"SMQ077"
"1","Marlboro",175,175,NA,"SMQ660"
"2","Camel",31,206,NA,"SMQ660"
"3","Newport",111,317,NA,"SMQ660"
"4","Kool",5,322,NA,"SMQ660"
"5","Winston",2,324,NA,"SMQ660"
"6","Benson and Hedges",4,328,NA,"SMQ660"
"7","Salem",0,328,NA,"SMQ660"
"8","Some other brand",17,345,NA,"SMQ660"
"77","Refused",0,345,NA,"SMQ660"
"99","Don't know",1,346,NA,"SMQ660"
".","Missing",7099,7445,NA,"SMQ660"
"1","Menthol",4,4,NA,"SMQ664B"
"2","Non-menthol",0,4,NA,"SMQ664B"
"7","Refused",0,4,NA,"SMQ664B"
"9","Don't know",0,4,NA,"SMQ664B"
".","Missing",7441,7445,NA,"SMQ664B"
"1","Menthol",2,2,NA,"SMQ664C"
"2","Non-menthol",29,31,NA,"SMQ664C"
"7","Refused",0,31,NA,"SMQ664C"
"9","Don't know",0,31,NA,"SMQ664C"
".","Missing",7414,7445,NA,"SMQ664C"
"1","Menthol",39,39,NA,"SMQ664M"
"2","Non-menthol",134,173,NA,"SMQ664M"
"7","Refused",0,173,NA,"SMQ664M"
"9","Don't know",2,175,NA,"SMQ664M"
".","Missing",7270,7445,NA,"SMQ664M"
"1","Menthol",7,7,NA,"SMQ664O"
"2","Non-menthol",10,17,NA,"SMQ664O"
"7","Refused",0,17,NA,"SMQ664O"
"9","Don't know",1,18,NA,"SMQ664O"
".","Missing",7427,7445,NA,"SMQ664O"
"1","Menthol",1,1,NA,"SMQ664W"
"2","Non-menthol",1,2,NA,"SMQ664W"
"7","Refused",0,2,NA,"SMQ664W"
"9","Don't know",0,2,NA,"SMQ664W"
".","Missing",7443,7445,NA,"SMQ664W"
"1","Regulars",1,1,NA,"SMQ666B"
"2","Lights",3,4,NA,"SMQ666B"
"3","Ultralights",0,4,NA,"SMQ666B"
"7","Refused",0,4,NA,"SMQ666B"
"9","Don't know",0,4,NA,"SMQ666B"
".","Missing",7441,7445,NA,"SMQ666B"
"1","Regulars",10,10,NA,"SMQ666C"
"2","Lights",20,30,NA,"SMQ666C"
"3","Ultralights",1,31,NA,"SMQ666C"
"7","Refused",0,31,NA,"SMQ666C"
"9","Don't know",0,31,NA,"SMQ666C"
".","Missing",7414,7445,NA,"SMQ666C"
"1","Regulars",2,2,NA,"SMQ666K"
"2","Lights",3,5,NA,"SMQ666K"
"3","Ultralights",0,5,NA,"SMQ666K"
"7","Refused",0,5,NA,"SMQ666K"
"9","Don't know",0,5,NA,"SMQ666K"
".","Missing",7440,7445,NA,"SMQ666K"
"1","Regulars",93,93,NA,"SMQ666M"
"2","Lights",69,162,NA,"SMQ666M"
"3","Ultralights",13,175,NA,"SMQ666M"
"7","Refused",0,175,NA,"SMQ666M"
"9","Don't know",0,175,NA,"SMQ666M"
".","Missing",7270,7445,NA,"SMQ666M"
"1","Regulars",100,100,NA,"SMQ666N"
"2","Lights",8,108,NA,"SMQ666N"
"3","Ultralights",1,109,NA,"SMQ666N"
"7","Refused",0,109,NA,"SMQ666N"
"9","Don't know",2,111,NA,"SMQ666N"
".","Missing",7334,7445,NA,"SMQ666N"
"1","Regular",11,11,NA,"SMQ666O"
"2","Light",6,17,NA,"SMQ666O"
"3","Ultralight",0,17,NA,"SMQ666O"
"7","Refused",1,18,NA,"SMQ666O"
"9","Don't know",0,18,NA,"SMQ666O"
".","Missing",7427,7445,NA,"SMQ666O"
"1","Regulars",0,0,NA,"SMQ666S"
"2","Lights",0,0,NA,"SMQ666S"
"3","Ultralights",0,0,NA,"SMQ666S"
"7","Refused",0,0,NA,"SMQ666S"
"9","Don't know",0,0,NA,"SMQ666S"
".","Missing",7445,7445,NA,"SMQ666S"
"1","Regulars",0,0,NA,"SMQ666W"
"2","Lights",1,1,NA,"SMQ666W"
"3","Ultralights",1,2,NA,"SMQ666W"
"7","Refused",0,2,NA,"SMQ666W"
"9","Don't know",0,2,NA,"SMQ666W"
".","Missing",7443,7445,NA,"SMQ666W"
"1","Yes",361,361,NA,"SMQ670"
"2","No",255,616,NA,"SMQ670"
"7","Refused",3,619,NA,"SMQ670"
"9","Don't know",12,631,NA,"SMQ670"
".","Missing",6814,7445,NA,"SMQ670"
"1","Yes",1484,1484,"","SMQ680"
"2","No",5352,6836,"End of Section","SMQ680"
"7","Refused",2,6838,"End of Section","SMQ680"
"9","Don't know",0,6838,"End of Section","SMQ680"
".","Missing",607,7445,"","SMQ680"
"1","Cigarettes",1296,1296,NA,"SMQ690A"
".","Missing",6149,7445,NA,"SMQ690A"
"2","Pipes",14,14,NA,"SMQ690B"
".","Missing",7431,7445,NA,"SMQ690B"
"3","Cigars",134,134,NA,"SMQ690C"
".","Missing",7311,7445,NA,"SMQ690C"
"4","Chewing tobacco",49,49,NA,"SMQ690D"
".","Missing",7396,7445,NA,"SMQ690D"
"5","Snuff",57,57,NA,"SMQ690E"
".","Missing",7388,7445,NA,"SMQ690E"
"6","Nicotine patches, gum, or other nicotine product",17,17,NA,"SMQ690F"
".","Missing",7428,7445,NA,"SMQ690F"
"1 to 5","Range of Values",1295,1295,NA,"SMQ710"
"7","Refused",0,1295,NA,"SMQ710"
"9","Don't know",1,1296,NA,"SMQ710"
".","Missing",6149,7445,NA,"SMQ710"
"1 to 60","Range of Values",1295,1295,NA,"SMQ720"
"777","Refused",0,1295,NA,"SMQ720"
"999","Don't know",1,1296,NA,"SMQ720"
".","Missing",6149,7445,NA,"SMQ720"
"1","Today",719,719,NA,"SMQ725"
"2","Yesterday",458,1177,NA,"SMQ725"
"3","3 to 5 days ago",117,1294,NA,"SMQ725"
"7","Refused",0,1294,NA,"SMQ725"
"9","Don't know",2,1296,NA,"SMQ725"
".","Missing",6149,7445,NA,"SMQ725"
"1 to 5","Range of Values",14,14,NA,"SMQ740"
"7","Refused",0,14,NA,"SMQ740"
"9","Don't know",0,14,NA,"SMQ740"
".","Missing",7431,7445,NA,"SMQ740"
"1 to 16","Range of Values",14,14,NA,"SMQ750"
"77","Refused",0,14,NA,"SMQ750"
"99","Don't know",0,14,NA,"SMQ750"
".","Missing",7431,7445,NA,"SMQ750"
"1","Today",5,5,NA,"SMQ755"
"2","Yesterday",3,8,NA,"SMQ755"
"3","3 to 5 days ago",5,13,NA,"SMQ755"
"7","Refused",0,13,NA,"SMQ755"
"9","Don't know",1,14,NA,"SMQ755"
".","Missing",7431,7445,NA,"SMQ755"
"1 to 5","Range of Values",134,134,NA,"SMQ770"
"7","Refused",0,134,NA,"SMQ770"
"9","Don't know",0,134,NA,"SMQ770"
".","Missing",7311,7445,NA,"SMQ770"
"1 to 20","Range of Values",134,134,NA,"SMQ780"
"77","Refused",0,134,NA,"SMQ780"
"99","Don't know",0,134,NA,"SMQ780"
".","Missing",7311,7445,NA,"SMQ780"
"1","Today",19,19,NA,"SMQ785"
"2","Yesterday",56,75,NA,"SMQ785"
"3","3 to 5 days ago",57,132,NA,"SMQ785"
"7","Refused",1,133,NA,"SMQ785"
"9","Don't know",1,134,NA,"SMQ785"
".","Missing",7311,7445,NA,"SMQ785"
"1 to 5","Range of Values",49,49,NA,"SMQ800"
"7","Refused",0,49,NA,"SMQ800"
"9","Don't know",0,49,NA,"SMQ800"
".","Missing",7396,7445,NA,"SMQ800"
"1","Today",18,18,NA,"SMQ815"
"2","Yesterday",19,37,NA,"SMQ815"
"3","3 to 5 days ago",11,48,NA,"SMQ815"
"7","Refused",0,48,NA,"SMQ815"
"9","Don't know",1,49,NA,"SMQ815"
".","Missing",7396,7445,NA,"SMQ815"
"1 to 5","Range of Values",57,57,NA,"SMQ817"
"7","Refused",0,57,NA,"SMQ817"
"9","Don't know",0,57,NA,"SMQ817"
".","Missing",7388,7445,NA,"SMQ817"
"1","Today",23,23,NA,"SMQ819"
"2","Yesterday",26,49,NA,"SMQ819"
"3","3 to 5 days ago",8,57,NA,"SMQ819"
"7","Refused",0,57,NA,"SMQ819"
"9","Don't know",0,57,NA,"SMQ819"
".","Missing",7388,7445,NA,"SMQ819"
"1 to 5","Range of Values",17,17,NA,"SMQ830"
"7","Refused",0,17,NA,"SMQ830"
"9","Don't know",0,17,NA,"SMQ830"
".","Missing",7428,7445,NA,"SMQ830"
"1","Today",5,5,NA,"SMQ840"
"2","Yesterday",8,13,NA,"SMQ840"
"3","3 to 5 days ago",4,17,NA,"SMQ840"
"7","Refused",0,17,NA,"SMQ840"
"9","Don't know",0,17,NA,"SMQ840"
".","Missing",7428,7445,NA,"SMQ840"
"1","A-CASI   B(12 Yrs.-19 Yrs.)",2418,2418,NA,"SMAQUEX"
"2","MEC CAPI   B(20 Yrs.-150 Yrs.)",5027,7445,NA,"SMAQUEX"
".","Missing",0,7445,NA,"SMAQUEX"
