"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",875,875,"","SMQ620"
"2","No",1179,2054,"SMQ680","SMQ620"
"7","Refused",2,2056,"SMQ680","SMQ620"
"9","Don't know",1,2057,"SMQ680","SMQ620"
".","Missing",4933,6990,"","SMQ620"
"6 to 19","Range of Values",543,543,"","SMD630"
"55","Never smoked a whole cigarette",330,873,"SMQ680","SMD630"
"77","Refused",0,873,"SMQ680","SMD630"
"99","Don't know",2,875,"SMQ680","SMD630"
".","Missing",6115,6990,"","SMD630"
"0 to 30","Range of Values",541,541,NA,"SMQ640"
"77","Refused",0,541,NA,"SMQ640"
"99","Don't  Know",2,543,NA,"SMQ640"
".","Missing",6447,6990,NA,"SMQ640"
"1 to 66","Range of Values",306,306,NA,"SMQ650"
"777","Refused",1,307,NA,"SMQ650"
"999","Don't know",3,310,NA,"SMQ650"
".","Missing",6680,6990,NA,"SMQ650"
"1","Within 5 minutes,",43,43,NA,"SMQ077"
"2","From 6 to 30 minutes,",56,99,NA,"SMQ077"
"3","From more than 30 minutes to one hour, or",51,150,NA,"SMQ077"
"4","More than one hour?",135,285,NA,"SMQ077"
"7","Refused",8,293,NA,"SMQ077"
"9","Don't know",17,310,NA,"SMQ077"
".","Missing",6680,6990,NA,"SMQ077"
"1","Marlboro",144,144,NA,"SMQ660"
"2","Camel",19,163,NA,"SMQ660"
"3","Newport",101,264,NA,"SMQ660"
"4","Kool",14,278,NA,"SMQ660"
"5","Winston",1,279,NA,"SMQ660"
"6","Benson and Hedges",2,281,NA,"SMQ660"
"7","Salem",0,281,NA,"SMQ660"
"8","Some other brand",26,307,NA,"SMQ660"
"77","Refused",0,307,NA,"SMQ660"
"99","Don't know",3,310,NA,"SMQ660"
".","Missing",6680,6990,NA,"SMQ660"
"1","Menthol",1,1,NA,"SMQ664B"
"2","Non-menthol",1,2,NA,"SMQ664B"
"7","Refused",0,2,NA,"SMQ664B"
"9","Don't know",0,2,NA,"SMQ664B"
".","Missing",6988,6990,NA,"SMQ664B"
"1","Menthol",4,4,NA,"SMQ664C"
"2","Non-menthol",15,19,NA,"SMQ664C"
"7","Refused",0,19,NA,"SMQ664C"
"9","Don't know",0,19,NA,"SMQ664C"
".","Missing",6971,6990,NA,"SMQ664C"
"1","Menthol",32,32,NA,"SMQ664M"
"2","Non-menthol",110,142,NA,"SMQ664M"
"7","Refused",0,142,NA,"SMQ664M"
"9","Don't know",2,144,NA,"SMQ664M"
".","Missing",6846,6990,NA,"SMQ664M"
"1","Menthol",4,4,NA,"SMQ664O"
"2","Non-menthol",21,25,NA,"SMQ664O"
"7","Refused",1,26,NA,"SMQ664O"
"9","Don't know",3,29,NA,"SMQ664O"
".","Missing",6961,6990,NA,"SMQ664O"
"1","Menthol",0,0,NA,"SMQ664W"
"2","Non-menthol",1,1,NA,"SMQ664W"
"7","Refused",0,1,NA,"SMQ664W"
"9","Don't know",0,1,NA,"SMQ664W"
".","Missing",6989,6990,NA,"SMQ664W"
"1","Regulars",0,0,NA,"SMQ666B"
"2","Lights",2,2,NA,"SMQ666B"
"3","Ultralights",0,2,NA,"SMQ666B"
"7","Refused",0,2,NA,"SMQ666B"
"9","Don't know",0,2,NA,"SMQ666B"
".","Missing",6988,6990,NA,"SMQ666B"
"1","Regulars",11,11,NA,"SMQ666C"
"2","Lights",8,19,NA,"SMQ666C"
"3","Ultralights",0,19,NA,"SMQ666C"
"7","Refused",0,19,NA,"SMQ666C"
"9","Don't know",0,19,NA,"SMQ666C"
".","Missing",6971,6990,NA,"SMQ666C"
"1","Regulars",11,11,NA,"SMQ666K"
"2","Lights",3,14,NA,"SMQ666K"
"3","Ultralights",0,14,NA,"SMQ666K"
"7","Refused",0,14,NA,"SMQ666K"
"9","Don't know",0,14,NA,"SMQ666K"
".","Missing",6976,6990,NA,"SMQ666K"
"1","Regulars",75,75,NA,"SMQ666M"
"2","Lights",65,140,NA,"SMQ666M"
"3","Ultralights",4,144,NA,"SMQ666M"
"7","Refused",0,144,NA,"SMQ666M"
"9","Don't know",0,144,NA,"SMQ666M"
".","Missing",6846,6990,NA,"SMQ666M"
"1","Regulars",86,86,NA,"SMQ666N"
"2","Lights",12,98,NA,"SMQ666N"
"3","Ultralights",2,100,NA,"SMQ666N"
"7","Refused",0,100,NA,"SMQ666N"
"9","Don't know",1,101,NA,"SMQ666N"
".","Missing",6889,6990,NA,"SMQ666N"
"1","Regular",12,12,NA,"SMQ666O"
"2","Light",11,23,NA,"SMQ666O"
"3","Ultralight",3,26,NA,"SMQ666O"
"7","Refused",0,26,NA,"SMQ666O"
"9","Don't know",3,29,NA,"SMQ666O"
".","Missing",6961,6990,NA,"SMQ666O"
"1","Regulars",0,0,NA,"SMQ666S"
"2","Lights",0,0,NA,"SMQ666S"
"3","Ultralights",0,0,NA,"SMQ666S"
"7","Refused",0,0,NA,"SMQ666S"
"9","Don't know",0,0,NA,"SMQ666S"
".","Missing",6990,6990,NA,"SMQ666S"
"1","Regulars",0,0,NA,"SMQ666W"
"2","Lights",1,1,NA,"SMQ666W"
"3","Ultralights",0,1,NA,"SMQ666W"
"7","Refused",0,1,NA,"SMQ666W"
"9","Don't know",0,1,NA,"SMQ666W"
".","Missing",6989,6990,NA,"SMQ666W"
"1","Yes",297,297,NA,"SMQ670"
"2","No",242,539,NA,"SMQ670"
"7","Refused",0,539,NA,"SMQ670"
"9","Don't know",4,543,NA,"SMQ670"
".","Missing",6447,6990,NA,"SMQ670"
"1","Yes",1414,1414,"","SMQ680"
"2","No",4954,6368,"End of Section","SMQ680"
"7","Refused",1,6369,"End of Section","SMQ680"
"9","Don't know",1,6370,"End of Section","SMQ680"
".","Missing",620,6990,"","SMQ680"
"1","Cigarettes",1212,1212,NA,"SMQ690A"
".","Missing",5778,6990,NA,"SMQ690A"
"2","Pipes",20,20,NA,"SMQ690B"
".","Missing",6970,6990,NA,"SMQ690B"
"3","Cigars",121,121,NA,"SMQ690C"
".","Missing",6869,6990,NA,"SMQ690C"
"4","Chewing tobacco",65,65,NA,"SMQ690D"
".","Missing",6925,6990,NA,"SMQ690D"
"5","Snuff",57,57,NA,"SMQ690E"
".","Missing",6933,6990,NA,"SMQ690E"
"6","Nicotine patches, gum, or other nicotine product",15,15,NA,"SMQ690F"
".","Missing",6975,6990,NA,"SMQ690F"
"1 to 5","Range of Values",1212,1212,NA,"SMQ710"
"7","Refused",1,1213,NA,"SMQ710"
"9","Don't know",0,1213,NA,"SMQ710"
".","Missing",5777,6990,NA,"SMQ710"
"1 to 60","Range of Values",1212,1212,NA,"SMQ720"
"777","Refused",1,1213,NA,"SMQ720"
"999","Don't know",0,1213,NA,"SMQ720"
".","Missing",5777,6990,NA,"SMQ720"
"1","Today",722,722,NA,"SMQ725"
"2","Yesterday",389,1111,NA,"SMQ725"
"3","3 to 5 days ago",101,1212,NA,"SMQ725"
"7","Refused",0,1212,NA,"SMQ725"
"9","Don't know",1,1213,NA,"SMQ725"
".","Missing",5777,6990,NA,"SMQ725"
"1 to 5","Range of Values",20,20,NA,"SMQ740"
"7","Refused",0,20,NA,"SMQ740"
"9","Don't know",1,21,NA,"SMQ740"
".","Missing",6969,6990,NA,"SMQ740"
"1 to 14","Range of Values",20,20,NA,"SMQ750"
"77","Refused",0,20,NA,"SMQ750"
"99","Don't know",1,21,NA,"SMQ750"
".","Missing",6969,6990,NA,"SMQ750"
"1","Today",5,5,NA,"SMQ755"
"2","Yesterday",7,12,NA,"SMQ755"
"3","3 to 5 days ago",8,20,NA,"SMQ755"
"7","Refused",0,20,NA,"SMQ755"
"9","Don't know",1,21,NA,"SMQ755"
".","Missing",6969,6990,NA,"SMQ755"
"1 to 5","Range of Values",121,121,NA,"SMQ770"
"7","Refused",0,121,NA,"SMQ770"
"9","Don't know",1,122,NA,"SMQ770"
".","Missing",6868,6990,NA,"SMQ770"
"1 to 20","Range of Values",120,120,NA,"SMQ780"
"77","Refused",1,121,NA,"SMQ780"
"99","Don't know",1,122,NA,"SMQ780"
".","Missing",6868,6990,NA,"SMQ780"
"1","Today",24,24,NA,"SMQ785"
"2","Yesterday",58,82,NA,"SMQ785"
"3","3 to 5 days ago",38,120,NA,"SMQ785"
"7","Refused",0,120,NA,"SMQ785"
"9","Don't know",2,122,NA,"SMQ785"
".","Missing",6868,6990,NA,"SMQ785"
"1 to 5","Range of Values",64,64,NA,"SMQ800"
"7","Refused",1,65,NA,"SMQ800"
"9","Don't know",1,66,NA,"SMQ800"
".","Missing",6924,6990,NA,"SMQ800"
"1","Today",28,28,NA,"SMQ815"
"2","Yesterday",30,58,NA,"SMQ815"
"3","3 to 5 days ago",6,64,NA,"SMQ815"
"7","Refused",1,65,NA,"SMQ815"
"9","Don't know",1,66,NA,"SMQ815"
".","Missing",6924,6990,NA,"SMQ815"
"1 to 5","Range of Values",57,57,NA,"SMQ817"
"7","Refused",0,57,NA,"SMQ817"
"9","Don't know",1,58,NA,"SMQ817"
".","Missing",6932,6990,NA,"SMQ817"
"1","Today",18,18,NA,"SMQ819"
"2","Yesterday",25,43,NA,"SMQ819"
"3","3 to 5 days ago",12,55,NA,"SMQ819"
"7","Refused",2,57,NA,"SMQ819"
"9","Don't know",1,58,NA,"SMQ819"
".","Missing",6932,6990,NA,"SMQ819"
"1 to 5","Range of Values",14,14,NA,"SMQ830"
"7","Refused",1,15,NA,"SMQ830"
"9","Don't know",1,16,NA,"SMQ830"
".","Missing",6974,6990,NA,"SMQ830"
"1","Today",5,5,NA,"SMQ840"
"2","Yesterday",7,12,NA,"SMQ840"
"3","3 to 5 days ago",3,15,NA,"SMQ840"
"7","Refused",0,15,NA,"SMQ840"
"9","Don't know",1,16,NA,"SMQ840"
".","Missing",6974,6990,NA,"SMQ840"
"1","A-CASI   B(12 Yrs.-19 Yrs.)",2248,2248,NA,"SMAQUEX"
"2","MEC CAPI   B(20 Yrs.-150 Yrs.)",4742,6990,NA,"SMAQUEX"
".","Missing",0,6990,NA,"SMAQUEX"
