"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1383,1383,"","SMQ680"
"2","No",4987,6370,"SMAQUEX","SMQ680"
"7","Refused",2,6372,"SMAQUEX","SMQ680"
"9","Don't know",0,6372,"SMAQUEX","SMQ680"
".","Missing",608,6980,"","SMQ680"
"1","Cigarettes",1184,1184,NA,"SMQ690A"
"77","Refused",1,1185,NA,"SMQ690A"
"99","Don't know",1,1186,NA,"SMQ690A"
".","Missing",5794,6980,NA,"SMQ690A"
"2","Pipes",19,19,NA,"SMQ690B"
".","Missing",6961,6980,NA,"SMQ690B"
"3","Cigars",141,141,NA,"SMQ690C"
".","Missing",6839,6980,NA,"SMQ690C"
"4","Chewing tobacco",64,64,NA,"SMQ690D"
".","Missing",6916,6980,NA,"SMQ690D"
"5","Snuff",31,31,NA,"SMQ690E"
".","Missing",6949,6980,NA,"SMQ690E"
"6","Nicotine patches, gum, or other nicotine product",15,15,NA,"SMQ690F"
".","Missing",6965,6980,NA,"SMQ690F"
"1 to 5","Range of Values",1184,1184,NA,"SMQ710"
"7","Refused",0,1184,NA,"SMQ710"
"9","Don't know",0,1184,NA,"SMQ710"
".","Missing",5796,6980,NA,"SMQ710"
"1 to 60","Range of Values",1182,1182,NA,"SMQ720"
"95","95 cigarettes or more",0,1182,NA,"SMQ720"
"777","Refused",1,1183,NA,"SMQ720"
"999","Don't know",1,1184,NA,"SMQ720"
".","Missing",5796,6980,NA,"SMQ720"
"1","Today",851,851,NA,"SMQ725"
"2","Yesterday",252,1103,NA,"SMQ725"
"3","3 to 5 days ago",81,1184,NA,"SMQ725"
"7","Refused",0,1184,NA,"SMQ725"
"9","Don't know",0,1184,NA,"SMQ725"
".","Missing",5796,6980,NA,"SMQ725"
"1 to 5","Range of Values",19,19,NA,"SMQ740"
"7","Refused",0,19,NA,"SMQ740"
"9","Don't know",0,19,NA,"SMQ740"
".","Missing",6961,6980,NA,"SMQ740"
"1 to 12","Range of Values",19,19,NA,"SMQ750"
"77","Refused",0,19,NA,"SMQ750"
"99","Don't know",0,19,NA,"SMQ750"
".","Missing",6961,6980,NA,"SMQ750"
"1","Today",5,5,NA,"SMQ755"
"2","Yesterday",8,13,NA,"SMQ755"
"3","3 to 5 days ago",6,19,NA,"SMQ755"
"7","Refused",0,19,NA,"SMQ755"
"9","Don't know",0,19,NA,"SMQ755"
".","Missing",6961,6980,NA,"SMQ755"
"1 to 5","Range of Values",141,141,NA,"SMQ770"
"7","Refused",0,141,NA,"SMQ770"
"9","Don't know",0,141,NA,"SMQ770"
".","Missing",6839,6980,NA,"SMQ770"
"1 to 20","Range of Values",141,141,NA,"SMQ780"
"77","Refused",0,141,NA,"SMQ780"
"99","Don't know",0,141,NA,"SMQ780"
".","Missing",6839,6980,NA,"SMQ780"
"1","Today",34,34,NA,"SMQ785"
"2","Yesterday",52,86,NA,"SMQ785"
"3","3 to 5 days ago",55,141,NA,"SMQ785"
"7","Refused",0,141,NA,"SMQ785"
"9","Don't know",0,141,NA,"SMQ785"
".","Missing",6839,6980,NA,"SMQ785"
"1 to 5","Range of Values",64,64,NA,"SMQ800"
"7","Refused",0,64,NA,"SMQ800"
"9","Don't know",0,64,NA,"SMQ800"
".","Missing",6916,6980,NA,"SMQ800"
"1","Today",32,32,NA,"SMQ815"
"2","Yesterday",21,53,NA,"SMQ815"
"3","3 to 5 days ago",11,64,NA,"SMQ815"
"7","Refused",0,64,NA,"SMQ815"
"9","Don't know",0,64,NA,"SMQ815"
".","Missing",6916,6980,NA,"SMQ815"
"1 to 5","Range of Values",31,31,NA,"SMQ817"
"7","Refused",0,31,NA,"SMQ817"
"9","Don't know",0,31,NA,"SMQ817"
".","Missing",6949,6980,NA,"SMQ817"
"1","Today",15,15,NA,"SMQ819"
"2","Yesterday",12,27,NA,"SMQ819"
"3","3 to 5 days ago",4,31,NA,"SMQ819"
"7","Refused",0,31,NA,"SMQ819"
"9","Don't know",0,31,NA,"SMQ819"
".","Missing",6949,6980,NA,"SMQ819"
"1 to 5","Range of Values",15,15,NA,"SMQ830"
"7","Refused",0,15,NA,"SMQ830"
"9","Don't know",0,15,NA,"SMQ830"
".","Missing",6965,6980,NA,"SMQ830"
"1","Today",6,6,NA,"SMQ840"
"2","Yesterday",5,11,NA,"SMQ840"
"3","3 to 5 days ago",4,15,NA,"SMQ840"
"7","Refused",0,15,NA,"SMQ840"
"9","Don't know",0,15,NA,"SMQ840"
".","Missing",6965,6980,NA,"SMQ840"
"1","A-CASI   B(12 Yrs.-19 Yrs.)",2207,2207,NA,"SMAQUEX"
"2","MEC CAPI   B(20 Yrs.-150 Yrs.)",4773,6980,NA,"SMAQUEX"
".","Missing",0,6980,NA,"SMAQUEX"
