"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1551,1551,"","SMQ680"
"2","No",4783,6334,"SMAQUEX","SMQ680"
"7","Refused",1,6335,"SMAQUEX","SMQ680"
"9","Don't know",0,6335,"SMAQUEX","SMQ680"
".","Missing",582,6917,"","SMQ680"
"1","Cigarettes",1343,1343,NA,"SMQ690A"
"77","Refused",0,1343,NA,"SMQ690A"
"99","Don't know",0,1343,NA,"SMQ690A"
".","Missing",5574,6917,NA,"SMQ690A"
"2","Pipes",15,15,NA,"SMQ690B"
".","Missing",6902,6917,NA,"SMQ690B"
"3","Cigars",115,115,NA,"SMQ690C"
".","Missing",6802,6917,NA,"SMQ690C"
"4","Chewing tobacco",90,90,NA,"SMQ690D"
".","Missing",6827,6917,NA,"SMQ690D"
"5","Snuff",39,39,NA,"SMQ690E"
".","Missing",6878,6917,NA,"SMQ690E"
"6","Nicotine patches, gum, or other nicotine product",8,8,NA,"SMQ690F"
".","Missing",6909,6917,NA,"SMQ690F"
"1 to 5","Range of Values",1343,1343,NA,"SMQ710"
"7","Refused",0,1343,NA,"SMQ710"
"9","Don't know",0,1343,NA,"SMQ710"
".","Missing",5574,6917,NA,"SMQ710"
"1 to 80","Range of Values",1342,1342,NA,"SMQ720"
"95","95 cigarettes or more",0,1342,NA,"SMQ720"
"777","Refused",0,1342,NA,"SMQ720"
"999","Don't know",1,1343,NA,"SMQ720"
".","Missing",5574,6917,NA,"SMQ720"
"1","Today",1020,1020,NA,"SMQ725"
"2","Yesterday",217,1237,NA,"SMQ725"
"3","3 to 5 days ago",106,1343,NA,"SMQ725"
"7","Refused",0,1343,NA,"SMQ725"
"9","Don't know",0,1343,NA,"SMQ725"
".","Missing",5574,6917,NA,"SMQ725"
"1 to 5","Range of Values",15,15,NA,"SMQ740"
"7","Refused",0,15,NA,"SMQ740"
"9","Don't know",0,15,NA,"SMQ740"
".","Missing",6902,6917,NA,"SMQ740"
"1 to 6","Range of Values",14,14,NA,"SMQ750"
"77","Refused",0,14,NA,"SMQ750"
"99","Don't know",1,15,NA,"SMQ750"
".","Missing",6902,6917,NA,"SMQ750"
"1","Today",5,5,NA,"SMQ755"
"2","Yesterday",7,12,NA,"SMQ755"
"3","3 to 5 days ago",3,15,NA,"SMQ755"
"7","Refused",0,15,NA,"SMQ755"
"9","Don't know",0,15,NA,"SMQ755"
".","Missing",6902,6917,NA,"SMQ755"
"1 to 5","Range of Values",115,115,NA,"SMQ770"
"7","Refused",0,115,NA,"SMQ770"
"9","Don't know",0,115,NA,"SMQ770"
".","Missing",6802,6917,NA,"SMQ770"
"1 to 59","Range of Values",115,115,NA,"SMQ780"
"77","Refused",0,115,NA,"SMQ780"
"99","Don't know",0,115,NA,"SMQ780"
".","Missing",6802,6917,NA,"SMQ780"
"1","Today",30,30,NA,"SMQ785"
"2","Yesterday",46,76,NA,"SMQ785"
"3","3 to 5 days ago",39,115,NA,"SMQ785"
"7","Refused",0,115,NA,"SMQ785"
"9","Don't know",0,115,NA,"SMQ785"
".","Missing",6802,6917,NA,"SMQ785"
"1 to 5","Range of Values",90,90,NA,"SMQ800"
"7","Refused",0,90,NA,"SMQ800"
"9","Don't know",0,90,NA,"SMQ800"
".","Missing",6827,6917,NA,"SMQ800"
"1","Today",45,45,NA,"SMQ815"
"2","Yesterday",36,81,NA,"SMQ815"
"3","3 to 5 days ago",9,90,NA,"SMQ815"
"7","Refused",0,90,NA,"SMQ815"
"9","Don't know",0,90,NA,"SMQ815"
".","Missing",6827,6917,NA,"SMQ815"
"1 to 5","Range of Values",39,39,NA,"SMQ817"
"7","Refused",0,39,NA,"SMQ817"
"9","Don't know",0,39,NA,"SMQ817"
".","Missing",6878,6917,NA,"SMQ817"
"1","Today",24,24,NA,"SMQ819"
"2","Yesterday",12,36,NA,"SMQ819"
"3","3 to 5 days ago",3,39,NA,"SMQ819"
"7","Refused",0,39,NA,"SMQ819"
"9","Don't know",0,39,NA,"SMQ819"
".","Missing",6878,6917,NA,"SMQ819"
"1 to 5","Range of Values",8,8,NA,"SMQ830"
"7","Refused",0,8,NA,"SMQ830"
"9","Don't know",0,8,NA,"SMQ830"
".","Missing",6909,6917,NA,"SMQ830"
"1","Today",5,5,NA,"SMQ840"
"2","Yesterday",0,5,NA,"SMQ840"
"3","3 to 5 days ago",3,8,NA,"SMQ840"
"7","Refused",0,8,NA,"SMQ840"
"9","Don't know",0,8,NA,"SMQ840"
".","Missing",6909,6917,NA,"SMQ840"
"1","A-CASI   B(12 Yrs.-19 Yrs.)",1210,1210,NA,"SMAQUEX"
"2","MEC CAPI   B(20 Yrs.-150 Yrs.)",5707,6917,NA,"SMAQUEX"
".","Missing",0,6917,NA,"SMAQUEX"
