"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Yes",1488,1488,"","SMQ680"
"2","No",5040,6528,"SMAQUEX","SMQ680"
"7","Refused",0,6528,"SMAQUEX","SMQ680"
"9","Don't know",0,6528,"SMAQUEX","SMQ680"
".","Missing",841,7369,"","SMQ680"
"1","Cigarettes",1275,1275,NA,"SMQ690A"
"77","Refused",0,1275,NA,"SMQ690A"
"99","Don't know",1,1276,NA,"SMQ690A"
".","Missing",6093,7369,NA,"SMQ690A"
"2","Pipes",19,19,NA,"SMQ690B"
".","Missing",7350,7369,NA,"SMQ690B"
"3","Cigars",125,125,NA,"SMQ690C"
".","Missing",7244,7369,NA,"SMQ690C"
"4","Chewing tobacco",87,87,NA,"SMQ690D"
".","Missing",7282,7369,NA,"SMQ690D"
"5","Snuff",35,35,NA,"SMQ690E"
".","Missing",7334,7369,NA,"SMQ690E"
"6","Nicotine patches, gum, or other nicotine product",17,17,NA,"SMQ690F"
".","Missing",7352,7369,NA,"SMQ690F"
"1 to 5","Range of Values",1275,1275,NA,"SMQ710"
"7","Refused",0,1275,NA,"SMQ710"
"9","Don't know",0,1275,NA,"SMQ710"
".","Missing",6094,7369,NA,"SMQ710"
"1 to 60","Range of Values",1273,1273,NA,"SMQ720"
"95","95 cigarettes or more",1,1274,NA,"SMQ720"
"777","Refused",0,1274,NA,"SMQ720"
"999","Don't know",1,1275,NA,"SMQ720"
".","Missing",6094,7369,NA,"SMQ720"
"1","Today",937,937,NA,"SMQ725"
"2","Yesterday",245,1182,NA,"SMQ725"
"3","3 to 5 days ago",93,1275,NA,"SMQ725"
"7","Refused",0,1275,NA,"SMQ725"
"9","Don't know",0,1275,NA,"SMQ725"
".","Missing",6094,7369,NA,"SMQ725"
"1 to 5","Range of Values",19,19,NA,"SMQ740"
"7","Refused",0,19,NA,"SMQ740"
"9","Don't know",0,19,NA,"SMQ740"
".","Missing",7350,7369,NA,"SMQ740"
"1 to 10","Range of Values",19,19,NA,"SMQ750"
"77","Refused",0,19,NA,"SMQ750"
"99","Don't know",0,19,NA,"SMQ750"
".","Missing",7350,7369,NA,"SMQ750"
"1","Today",6,6,NA,"SMQ755"
"2","Yesterday",8,14,NA,"SMQ755"
"3","3 to 5 days ago",5,19,NA,"SMQ755"
"7","Refused",0,19,NA,"SMQ755"
"9","Don't know",0,19,NA,"SMQ755"
".","Missing",7350,7369,NA,"SMQ755"
"1 to 5","Range of Values",125,125,NA,"SMQ770"
"7","Refused",0,125,NA,"SMQ770"
"9","Don't know",0,125,NA,"SMQ770"
".","Missing",7244,7369,NA,"SMQ770"
"1 to 30","Range of Values",125,125,NA,"SMQ780"
"77","Refused",0,125,NA,"SMQ780"
"99","Don't know",0,125,NA,"SMQ780"
".","Missing",7244,7369,NA,"SMQ780"
"1","Today",39,39,NA,"SMQ785"
"2","Yesterday",46,85,NA,"SMQ785"
"3","3 to 5 days ago",40,125,NA,"SMQ785"
"7","Refused",0,125,NA,"SMQ785"
"9","Don't know",0,125,NA,"SMQ785"
".","Missing",7244,7369,NA,"SMQ785"
"1 to 5","Range of Values",87,87,NA,"SMQ800"
"7","Refused",0,87,NA,"SMQ800"
"9","Don't know",0,87,NA,"SMQ800"
".","Missing",7282,7369,NA,"SMQ800"
"1","Today",35,35,NA,"SMQ815"
"2","Yesterday",34,69,NA,"SMQ815"
"3","3 to 5 days ago",18,87,NA,"SMQ815"
"7","Refused",0,87,NA,"SMQ815"
"9","Don't know",0,87,NA,"SMQ815"
".","Missing",7282,7369,NA,"SMQ815"
"1 to 5","Range of Values",35,35,NA,"SMQ817"
"7","Refused",0,35,NA,"SMQ817"
"9","Don't know",0,35,NA,"SMQ817"
".","Missing",7334,7369,NA,"SMQ817"
"1","Today",13,13,NA,"SMQ819"
"2","Yesterday",16,29,NA,"SMQ819"
"3","3 to 5 days ago",6,35,NA,"SMQ819"
"7","Refused",0,35,NA,"SMQ819"
"9","Don't know",0,35,NA,"SMQ819"
".","Missing",7334,7369,NA,"SMQ819"
"1 to 5","Range of Values",16,16,NA,"SMQ830"
"7","Refused",0,16,NA,"SMQ830"
"9","Don't know",1,17,NA,"SMQ830"
".","Missing",7352,7369,NA,"SMQ830"
"1","Today",10,10,NA,"SMQ840"
"2","Yesterday",5,15,NA,"SMQ840"
"3","3 to 5 days ago",2,17,NA,"SMQ840"
"7","Refused",0,17,NA,"SMQ840"
"9","Don't know",0,17,NA,"SMQ840"
".","Missing",7352,7369,NA,"SMQ840"
"1","A-CASI   B(12 Yrs.-19 Yrs.)",1310,1310,NA,"SMAQUEX"
"2","MEC CAPI   B(20 Yrs.-150 Yrs.)",6059,7369,NA,"SMAQUEX"
".","Missing",0,7369,NA,"SMAQUEX"
